Travel_Time_Code,County_Code,Mpo_Code
104+04236,36029,36197401
104-04237,36029,36197401
104+04237,36029,36197401
104-04238,36029,36197401
104+04238,36029,36197401
104-04239,36029,36197401
104+04239,36029,36197401
104-04240,36029,36197401
104+04240,36029,36197401
104-04241,36063,
104+04241,36029,36197401
104-04242,36063,36197401
104+04242,36029,
104-04243,36063,36197401
104+04243,36063,36197401
104-04244,36063,36197401
104+04244,36063,36197401
104-04245,36063,36197401
104+04245,36063,36197401
104-04246,36063,36197401
104+04246,36063,36197401
104-04247,36063,36197401
104+04247,36063,36197401
104-04248,36063,36197401
104+04248,36063,36197401
104-04249,36063,
104+04249,36063,36197401
104-04250,36029,
104+04250,36013,
104-04251,36029,36197401
104+04251,36029,
104-04252,36029,36197401
104+04252,36029,36197401
104-04253,36029,36197401
104+04253,36029,36197401
104-04254,36029,36197401
104+04254,36029,36197401
104-04255,36029,36197401
104+04255,36029,36197401
104-04256,36029,36197401
104+04256,36029,36197401
104-04257,36029,36197401
104+04257,36029,36197401
104-04258,36029,36197401
104+04258,36029,36197401
104-04259,36029,36197401
104+04259,36029,36197401
104-04260,36029,36197401
104+04260,36029,36197401
104-04261,36029,36197401
104+04261,36029,36197401
104-04262,36029,36197401
104+04262,36029,36197401
104-04263,36029,36197401
104+04263,36029,36197401
104-04264,36029,36197401
104+04264,36029,36197401
104-04265,36029,36197401
104+04265,36029,36197401
104-04266,36029,
104+04266,36029,36197401
104-04267,36037,
104+04267,36029,
104-04268,36069,36197700
104+04268,36069,36197700
104-04269,36055,36197700
104+04269,36069,36197700
104-04270,36055,36197700
104+04270,36055,36197700
104-04271,36055,36197700
104+04271,36055,36197700
104-04272,36055,36197700
104+04272,36055,36197700
104-04273,36055,36197700
104+04273,36055,36197700
104-04274,36055,36197700
104+04274,36055,36197700
104-04275,36055,36197700
104+04275,36055,36197700
104-04276,36055,36197700
104+04276,36055,36197700
104-04277,36055,36197700
104+04277,36055,36197700
104-04278,36055,36197700
104+04278,36055,36197700
104-04279,36055,36197700
104+04279,36055,36197700
104-04280,36055,36197700
104+04280,36055,36197700
104-04281,36055,36197700
104+04281,36055,36197700
104-04282,36055,36197700
104+04282,36055,36197700
104-04283,36055,36197700
104+04283,36055,36197700
104-04284,36055,36197700
104+04284,36055,36197700
104-04285,36055,36197700
104+04285,36055,36197700
104-04286,36055,36197700
104+04286,36055,36197700
104-04287,36055,36197700
104+04287,36055,36197700
104-04288,36055,36197700
104+04288,36055,36197700
104-04289,36055,36197700
104+04289,36055,36197700
104-04290,36055,36197700
104+04290,36055,36197700
104-04291,36055,36197700
104+04291,36055,36197700
104-04292,36055,36197700
104+04292,36055,36197700
104-04293,36055,36197700
104+04293,36055,36197700
104-04294,36055,36197700
104+04294,36055,36197700
104-04295,36055,36197700
104+04295,36055,36197700
104-04296,36055,36197700
104+04296,36055,36197700
104-04297,36055,
104+04297,36055,
104-04298,36029,36197401
104-04299,36029,36197401
104+04299,36029,36197401
104-04300,36029,36197401
104+04300,36029,36197401
104-04301,36029,36197401
104+04301,36029,36197401
104-04302,36029,36197401
104+04302,36029,36197401
104-04303,36029,36197401
104+04303,36029,36197401
104-04304,36029,36197401
104+04304,36029,36197401
104-04305,36029,36197401
104+04305,36029,36197401
104+04306,36029,36197401
104-04307,36029,36197401
104+04307,36029,36197401
104-04308,36029,36197401
104+04308,36029,36197401
104-04309,36029,36197401
104+04309,36029,36197401
104-04310,36029,36197401
104+04310,36029,36197401
104-04311,36029,36197401
104+04311,36029,36197401
104-04312,36029,36197401
104+04312,36029,36197401
104-04313,36029,36197401
104+04313,36029,36197401
104+04314,36029,36197401
104-04315,36029,36197401
104+04315,36029,36197401
104-04316,36029,36197401
104+04316,36029,36197401
104-04317,36029,36197401
104+04317,36029,36197401
104+04318,36029,36197401
104-04319,36029,36197401
104+04319,36029,36197401
104-04320,36029,36197401
104+04320,36029,36197401
104-04321,36029,36197401
104+04321,36029,36197401
104-04322,36029,36197401
104+04322,36029,36197401
104-04323,36029,36197401
104-04324,36029,36197401
104+04324,36029,36197401
104-04325,36029,36197401
104+04325,36029,36197401
104-04326,36029,36197401
104+04326,36029,36197401
104-04327,36029,36197401
104+04327,36029,36197401
104-04328,36029,36197401
104+04328,36029,36197401
104-04329,36029,36197401
104+04329,36029,36197401
104-04330,36029,36197401
104+04330,36029,36197401
104-04331,36029,36197401
104+04331,36029,36197401
104+04332,36029,36197401
104-04346,36029,36197401
104-04347,36029,36197401
104+04347,36029,36197401
104-04348,36029,36197401
104+04348,36029,36197401
104-04349,36029,36197401
104+04349,36029,36197401
104-04350,36029,36197401
104+04350,36029,36197401
104+04351,36029,36197401
104-04352,36063,36197401
104-04353,36063,36197401
104+04353,36063,36197401
104-04354,36063,36197401
104+04354,36063,36197401
104-04355,36063,36197401
104+04355,36063,36197401
104+04356,36063,36197401
104-04357,36063,36197401
104-04358,36063,36197401
104+04358,36063,36197401
104+04359,36063,36197401
104-04360,36055,36197700
104-04361,36055,36197700
104-04362,36055,36197700
104+04362,36055,36197700
104-04363,36055,36197700
104-04364,36055,36197700
104+04364,36055,36197700
104-04365,36055,36197700
104+04365,36055,36197700
104-04366,36055,36197700
104+04366,36055,36197700
104-04367,36055,36197700
104+04367,36055,36197700
104-04368,36055,36197700
104+04368,36055,36197700
