tmc,length,avg_speedlimit,avo,nhs,nhs_pct,is_controlled_access,is_interstate,directionality,congestion_level,aadt,directional_aadt,county,mpo,ua,regionvd_total,vd_jan,vd_feb,vd_mar,vd_apr,vd_may,vd_jun,vd_jul,vd_aug,vd_sep,vd_oct,vd_nov,vd_decd_total,d_jan,d_feb,d_mar,d_apr,d_may,d_jun,d_jul,d_aug,d_sep,d_oct,d_nov,d_dec
104N04236,0.1686400894,62.253,1.76214,1,100,true,true,EVEN_DIST,NO2LOW_CONGESTION,59096,29548,Erie, GBNRTC,Buffalo, NY,Western New York,890.14,0.21,24.36,15.84,32.45,2.34,149.61,72.38,158.13,137.09,112.75,54.95,130.01890.14,1.49,202.46,114.97,249.7,16.48,888.93,454.61,963.76,937.02,812.3,386.6,1044.09
120+15886,0.31131929842,30,1.87574,1,1,false,false,EVEN_DIST,NO2LOW_CONGESTION,21006,10503,Westchester, NYMTC,New York--Newark, NY--NJ--CT,Hudson Valley,11207.9,266.46,655.17,863.05,904.73,1116.92,1392.01,852.79,857.94,1031.24,1169.82,1077.13,1020.6711207.9,5402.66,13883.81,17992.55,18795.83,22532.85,28123.67,17447.86,17449.77,20964.83,24229.74,22414.24,20485.43
104+08342,1.63409388322,50.445,1.81764,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,21060,10530,Erie, GBNRTC,Buffalo, NY,Western New York,2303.25,0,106.91,257.45,162.22,194.05,192.38,365.64,256.17,251.43,126.81,214.64,175.562303.25,0,2233.1,5134.12,3432.54,3866.84,3755.04,7482.2,5265.04,4751.7,2715.65,4579.98,3806.45
104+06862,1.28182002219,52.981,2.09975,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,4753,2376.5,Cayuga, null,null,Central New York,114.6,0,21.14,10.4,11.23,6.85,11,0.84,12.82,17.07,6.36,3.35,13.54114.6,0,2070.91,959.56,909.69,547.36,1120.53,85.18,1131.85,1569.36,690.18,369.51,1365.54
120N07160,0.02565640859,30,1.87551,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,8319,4159.5,Westchester, NYMTC,New York--Newark, NY--NJ--CT,Hudson Valley,53.05,0,3.66,3.4,4.31,4.85,4.33,3.1,3.88,7.25,7.54,6.22,4.553.05,0,183.93,171.46,215.87,231.51,218.46,159.26,201.55,379.35,390.93,318.38,211.75
120P06717,0.02764479579,30,1.71119,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,38901,19450.5,Nassau, NYMTC,New York--Newark, NY--NJ--CT,Long Island,1777.72,0,138.03,169.19,141.18,141.74,165.11,206.23,130.02,178.02,183.26,175.64,149.31777.72,0,1614.11,1936.14,1628.44,1621.4,1912.36,2470.38,1493.81,2039.69,2084.05,2024.21,1711.49
120N05254,0.27623669176,55,1.85283,1,100,true,false,EVEN_DIST,NO2LOW_CONGESTION,40948,20474,Suffolk, NYMTC,New York--Newark, NY--NJ--CT,Long Island,638.11,569.08,15.23,45.05,0,0.93,0,0,2.61,0,3.32,0,1.9638.11,6027.14,170.33,470.33,0,7.73,0,0,21.87,0,27.6,0,19.33
120N05096,0.39745374644,55,1.85279,1,100,true,false,PM_PEAK,MODERATE_CONGESTION,156509,78254.5,Nassau, NYMTC,New York--Newark, NY--NJ--CT,Long Island,9408.68,838.04,548.33,836.9,544.32,790.14,1085.15,712.68,590.88,668.4,718.88,1123.62,951.349408.68,1932.02,1332.85,1925.94,1351.78,1893.34,2456.68,1976.66,1369.89,1740.1,1747.13,2669.41,2268.39
120-04366,0.48338314203,50,2.16422,1,100,true,true,EVEN_DIST,SEVERE_CONGESTION,92453,46226.5,Bronx, NYMTC,New York--Newark, NY--NJ--CT,New York City,18446.05,1046.69,896.03,1279.64,1088.71,1726.91,1232.54,965.47,3915.39,1847.44,2315.85,1124.93,1006.4518446.05,5132.65,4300.74,6070.37,5318.69,8348.92,6133.46,4835.87,18607.63,8668.43,11003.21,5278.69,4785.7
120-17297,1.35158755807,30,1.6848,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,21891,10945.5,Nassau, NYMTC,New York--Newark, NY--NJ--CT,Long Island,30372.47,2128.4,2496.07,2788.71,2035.15,2629.42,2216.11,1952.73,2309.55,3035.08,3234.78,3130.64,2415.8530372.47,41931.83,49630.27,55496.55,41273.7,51926.98,44372.98,38324.41,46447.12,60219.12,64000.69,61131.26,46380.27
120+18159,0.29970587443,25,2.04584,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,41319,20659.5,Kings, NYMTC,New York--Newark, NY--NJ--CT,New York City,22551.77,1153.17,1710,2095.41,1772.81,2010.65,2180.42,1957.32,1929.32,1886.4,2197.09,1937.55,1721.6522551.77,12086.89,18095.54,22236.57,18770.91,21477.94,23245.52,20795.87,20575.51,20134.76,23234.15,20799.93,18583.76
120-08218,1.31425558839,48.202,1.93915,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,3149,1574.5,Essex, null,null,Capital District,32.23,0,2.55,0.1,0.86,4.93,11.89,1.63,1.28,1.23,1.42,2.98,3.3732.23,0,364.03,13.81,134.63,851.47,1647.72,223.85,202.85,194.28,227.88,438.88,476.69
120-11561,0.38436145947,34.647,1.93728,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,4435,2217.5,Dutchess, PDCTC,null,Hudson Valley,9.47,0,0.77,0,0.62,1.05,1.16,1.15,0.75,1.03,0.1,1.01,1.839.47,0,91.31,0,57.88,92.63,87.44,125.88,96.44,78.88,10.44,118.88,224.88
120N10201,0.22463183021,42.406,1.90836,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,15716,7858,Ulster, UCTC,Kingston, NY,Hudson Valley,21.56,1.48,2.35,1.81,0.88,1.32,4.72,0.77,0.51,3.15,1.99,1.44,1.1321.56,36.43,64.52,45.3,28.87,30.52,119.95,17.65,12.87,73.74,56.95,31.52,35.08
120P07231,0.05821003528,30,1.87588,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,23187,11593.5,Westchester, NYMTC,New York--Newark, NY--NJ--CT,Hudson Valley,2166.35,0,150.58,184.46,156.44,199.85,185.44,184.86,178.39,197.39,232.37,204.74,291.832166.35,0,2790.33,3378.1,2942.34,3767.72,3401.88,3370.87,3345.49,3643,4304.51,3786.31,5343.12
120N04906,0.23952609308,55,1.89644,1,100,false,false,PM_PEAK,MODERATE_CONGESTION,145212,72606,Suffolk, NYMTC,New York--Newark, NY--NJ--CT,Long Island,24382.43,15797.57,510.93,639.2,459.22,833.39,894.08,883.49,740.61,890.8,1116.5,760.99,855.6724382.43,43603.4,1384.14,1636.89,1167.88,2203.2,2328.73,2254.76,1929.11,2382.63,3007.87,2054.37,2139.05
120N16855,0.09665425905,40,1.88092,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,4566,4566,Suffolk, NYMTC,New York--Newark, NY--NJ--CT,Long Island,211.26,40.16,14.81,9.69,16.01,14.7,12.35,19.36,17.27,14.57,17.65,18.27,16.4211.26,1844.8,738.19,477.17,765.65,693.14,587.67,934.16,847.18,732.66,915.74,890.68,818.69
104-10312,0.55097587941,30,1.99049,1,1,false,false,EVEN_DIST,MODERATE_CONGESTION,7202,3601,Erie, GBNRTC,Buffalo, NY,Western New York,3520.39,0,252.98,260.94,274.39,307.71,376.81,273.73,300.95,444.32,369.41,370.65,288.493520.39,0,15027.91,15642.4,16543.19,18095.92,22847.44,16012.85,17767.11,25979.02,22392.26,21872.53,16860.15
120+04946,0.0316277839,50,2.05283,1,100,true,true,AM_PEAK,SEVERE_CONGESTION,140716,70358,Queens, NYMTC,New York--Newark, NY--NJ--CT,New York City,16383.26,4083.29,707.81,1097.54,871.44,1050.47,987.08,1128.95,1007.19,1103.68,1519.74,1521.28,1304.816383.26,12024.08,2007.92,3114.23,2443.83,2977.79,2827.21,3255.92,2891.53,3196.28,4378.47,4390.53,3748.16
120+10248,0.41474028766,26,1.76828,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,30466,15233,Queens, NYMTC,New York--Newark, NY--NJ--CT,New York City,23681.74,577.16,1499.77,1941.28,1621.52,2229.07,2616.1,2053.22,1983.98,2342.77,2436.77,2422.57,1957.5423681.74,8447.1,21111.11,27203.19,22918.49,30839.54,36450.05,28638.47,27647.89,32379.49,33945.05,34211.54,27478.04
120P18443,0.04413598213,25,2.1158,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,22246,11123,Queens, NYMTC,New York--Newark, NY--NJ--CT,New York City,1527.47,37.75,118.64,129.1,111.62,152.1,143.83,126.08,123.53,157.34,165.79,134.88,126.791527.47,783.55,2283.21,2495.27,2179.05,2944.93,2769.77,2380.55,2403.49,3076.27,3134.99,2613.1,2391.82
120+16932,0.55257280288,25,1.89335,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,49165,24582.5,Queens, NYMTC,New York--Newark, NY--NJ--CT,New York City,19967.16,1376,990.82,1793.61,1422.15,2834.94,2174.16,681.33,738.75,2370.78,2282.27,1685.2,1617.1619967.16,12628.64,9098.85,15816.4,12226.1,23461.1,18534.46,6446.08,6877.11,19273.91,18875.7,14941.79,14226.61
104+09897,0.49157902552,30,1.89434,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,10255,5127.5,Cortland, null,Cortland, NY,Central New York,302.57,0,7.44,38.04,24.37,49.29,19.39,41.93,40.31,28.57,18.29,19.27,15.69302.57,0,319.28,1603.44,983.96,2145.18,909.41,1698.57,1617.05,1215.86,821.54,783.44,677.63
120P07054,0.01007242391,25,2.11595,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,22072,22072,New York, NYMTC,New York--Newark, NY--NJ--CT,New York City,161.66,0,8.77,22.59,7.88,11.2,9.82,8.06,11.17,21.25,18.4,22.15,20.36161.66,0,92.92,229.97,85.74,117.11,102.23,75.05,110.8,226.1,198.97,230.53,210.47
120+29402,0.02316471088,30,1.87596,1,100,false,false,EVEN_DIST,MODERATE_CONGESTION,14188,14188,Westchester, NYMTC,New York--Newark, NY--NJ--CT,Hudson Valley,157.27,62.72,4.7,6.1,8.94,10.72,10.92,10.41,7.81,7.88,11.51,10.7,4.86157.27,956.69,74.48,92.46,133.09,168.83,162.68,154.92,118.41,119.09,173.95,161.36,71.16
120N16304,0.01390006927,25,2.11589,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,17546,8773,Bronx, NYMTC,New York--Newark, NY--NJ--CT,New York City,438.67,46.86,30.91,35.95,32.56,38.45,37.09,31.55,35.29,35.07,40.98,39.48,34.49438.67,1177.27,744.79,859.07,762.77,891.21,839.79,746.37,812.3,807.26,954.12,923.67,785.82
120N18737,0.05162350268,30,2.04978,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,7789,3894.5,Richmond, NYMTC,New York--Newark, NY--NJ--CT,New York City,328.06,23.85,25.55,33.8,24.36,36.03,26.89,22.58,21.31,26.35,26.02,28.99,32.32328.06,1344.34,1498.88,1901.28,1351.8,1981.81,1490.57,1287.68,1191.22,1469.63,1444.88,1609.33,1834.51
104N04279,0.44711371676,55,1.74331,1,100,true,true,PM_PEAK,NO2LOW_CONGESTION,102983,51491.5,Monroe, GTC,Rochester, NY,Genesee Valley,2065.9,148.77,20.66,196,44.29,264.66,108.94,23.41,841.32,160.67,82.2,97.57,77.422065.9,567.06,98.24,626.6,186.26,966.18,375.6,77.14,2401.82,490.94,309.03,359.93,303.26
120-10955,0.25464404951,25,2.41912,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,21060,10530,New York, NYMTC,New York--Newark, NY--NJ--CT,New York City,11920.32,0,1009.63,1111.56,833.83,1041.28,1049.49,910.48,982.46,1122.09,1239.85,1335.53,1284.1111920.32,0,20475.52,22575.62,16657.55,20975.76,20999.29,18319.15,19666.99,22959.38,25644.09,27518.78,26223.25
104+04679,0.13725464019,65,1.715,1,100,true,true,EVEN_DIST,NO2LOW_CONGESTION,8210,4105,Chautauqua, null,null,Western New York,48.84,0,5.83,4.61,3.93,3.93,2.43,4.55,6.69,3.79,4.16,4.46,4.4548.84,0,329.16,241.52,212.24,197.91,115.89,242.57,367.57,202.23,217.92,212.92,223.9
120N04757,0.39323463735,55,1.85285,1,100,true,false,EVEN_DIST,NO2LOW_CONGESTION,71826,35913,Suffolk, NYMTC,New York--Newark, NY--NJ--CT,Long Island,140.04,5.29,9.78,0,0,0,46.86,43.37,1.35,7.7,0,25.67,0.02140.04,33.12,60.02,0,0,0,261.71,215.61,8.1,62.2,0,187.2,0.1
104-12430,0.85559058474,30,1.81865,1,100,false,false,EVEN_DIST,NO2LOW_CONGESTION,3648,1824,Niagara, GBNRTC,Buffalo, NY,Western New York,99.73,0,3.69,19.68,9.16,4.77,14.93,5.01,3.83,5.52,11.64,13.82,7.6699.73,0,500.97,2368.96,928.96,650.96,1890.96,525.97,522.95,607.95,1452.95,1748.96,919.96
104-06786,7.51028136973,36.19,2.35946,1,1,false,false,EVEN_DIST,NO2LOW_CONGESTION,5894,2947,Livingston, GTC,Avon, NY,Genesee Valley,1761.33,0,209.89,132.65,97.62,132.05,161.89,145.05,96.81,128.28,320.27,135.29,201.531761.33,0,14995.3,9821.3,7095.01,9192.3,10650.3,10115.3,6782.02,9465.59,22751.02,10998.16,15270.17
