tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
104-04098,1.02941,1.02941,1.02941,1.02941
104+04098,1,1,1,1
104-04099,1.03318,1.03302,1.03756,1.04265
104+04099,1.02857,1.02857,1.02857,1.04286
104-04100,1.04895,1.04861,1.05517,1.07042
104+04100,1.02857,1.02857,1.02857,1.0381
104-04101,1,1,1,1
104+04101,1.03704,1.02963,1.02963,1.03731
104-04102,1.04594,1.0386,1.04561,1.06429
104+04102,1.1,1.1,1.1,1.1
104-04103,1.02532,1.02532,1.03165,1.03822
104+04103,1.02804,1.02804,1.02791,1.03738
104-04104,1.05,1.05,1.05,1.10526
104+04104,1.02924,1.02924,1.02907,1.03509
104-04105,1.09091,1.09091,1.09091,1.09091
104+04105,1.05263,1.05263,1.05263,1.05263
104-04106,1.04082,1.04167,1.0625,1.06383
104+04106,1.03704,1.03704,1.03704,1.03704
104-04107,1.4,1.2,1.4,1.2
104+04107,1.06977,1.02326,1.04651,1.04762
104-04108,1.43478,1.09091,1.13636,1.14286
104+04108,1.14286,1.14286,1.14286,1
104-04109,1.33333,1.05714,1.08571,1.08824
104+04109,1.0625,1.0625,1.05882,1.0625
104-04110,,,,
104+04110,1.05556,1.05405,1.08108,1.08333
104-04111,1.4,1,1,1
104+04111,,,,
104-04112,,,,
104+04112,1,1,1,1
104-04113,1.22222,1,1,1.125
104+04113,1,1,1,1
104-04114,1.13333,1.06667,1.06667,1.06667
104+04114,1.125,1,1,1.125
104-04115,1,1,1.2,1.2
104+04115,1,1,1,1
104-04116,1.10714,1.07143,1.07143,1.11111
104+04116,1,1,1,1
104-04117,1.25,1.25,1.25,1.25
104+04117,1.07407,1.07692,1.11538,1.07692
104-04118,1.08163,1.08163,1.08163,1.1087
104+04118,1.125,1.125,1.25,1.28571
104-04119,1.0625,1.05882,1.0625,1.0625
104+04119,1.08696,1.08889,1.13333,1.11628
104-04120,1.05,1.05,1.05,1.05263
104+04120,1.07143,1.07143,1.07143,1.07143
104-04121,1.06818,1.04444,1.04545,1.06977
104+04121,1,1,1,1
104-04122,1.04808,1.03774,1.03774,1.04808
104+04122,1.04762,1.04762,1.07317,1.07317
104-04123,1.04145,1.02525,1.03046,1.04615
104+04123,1.05102,1.05155,1.04124,1.05208
104-04124,1,1,1,1
104+04124,1.02899,1.03415,1.03431,1.04412
104-04125,,,,
104+04125,1.33333,1.33333,1.33333,1.33333
104-04126,1.0148,1.0148,1.01645,1.02632
104+04126,1,1,1,1
104-04127,1.02105,1.01579,1.02083,1.02632
104+04127,1.01974,1.01473,1.01629,1.02117
104-04128,1.04211,1.04211,1.0625,1.05319
104+04128,1.0303,1.02424,1.03049,1.0303
104-04129,1.06897,1.06897,1.06897,1.10714
104+04129,1.04255,1.03191,1.04301,1.04301
104-04130,1.03774,1.02844,1.03302,1.03333
104+04130,1.06977,1.04651,1.06977,1.07143
104-04131,1.04598,1.03448,1.04598,1.03448
104+04131,1.0398,1.03,1.04,1.045
104-04132,1.02286,1.02273,1.0226,1.03409
104+04132,1.04444,1.03371,1.04494,1.04494
104-04133,1,1,1,1
104+04133,1.02646,1.02116,1.03175,1.03158
104-04134,1,1,1,1
104-04135,1.05263,1.05263,1.05263,1.05263
104-04136,1.04673,1.03704,1.04717,1.0566
104+04136,1.08333,1.04167,1.04167,1.04
104-04137,1.04054,1.04,1.05405,1.05405
104+04137,1.03846,1.03883,1.03883,1.04808
104-04138,1.06122,1.06122,1.08333,1.08333
104+04138,1.0597,1.06061,1.06061,1.06061
104-04139,1.06522,1.06522,1.06522,1.06667
104+04139,1.05085,1.05,1.05,1.0678
104-04140,1.08163,1.06,1.1,1.12245
104+04140,1.05357,1.03571,1.05455,1.07273
104-04141,1.11538,1.11321,1.18182,1.2
104+04141,1.1,1.08163,1.10417,1.12245
104-04142,1.05556,1.05556,1.06993,1.08451
104+04142,1.125,1.10909,1.12963,1.15789
104-04143,1.07547,1.07547,1.09259,1.1
104+04143,1.04138,1.04138,1.04861,1.05517
104-04144,1.13333,1.0625,1.13333,1.125
104+04144,1.08511,1.06522,1.06522,1.08696
104+04145,1.11111,1.11111,1.11111,1.11111
104-04146,1.08333,1.08696,1.13636,1.13636
104-04147,1,1,1,1
104+04147,1.09524,1.09524,1.14286,1.15
104-04148,1.05556,1.05556,1.07547,1.07843
104+04148,1,1,1,1
104-04149,1.06061,1.06061,1.09091,1.09677
104+04149,1.06897,1.06897,1.17241,1.07143
104-04150,1.13514,1.13158,1.48718,1.08571
104+04150,1.15152,1.08824,1.41176,1.09375
104-04151,1.67857,1.11538,1.18519,1.07692
104+04151,1.06977,1.04651,1.13953,1.07317
104-04152,1.25,1.0625,1.0625,1.13333
104+04152,1.08333,1.08333,1.08333,1.08333
104-04153,1.10526,1.05263,1.05263,1.05556
104+04153,1.0625,1.0625,1.0625,1.0625
104-04154,1,1,1,1
104+04154,1,1.0625,1,1.0625
104-04155,1.13636,1.09091,1.09091,1.04545
104+04155,1.1,1.1,1.1,1.1
104-04156,1.06667,1.04444,1.04444,1.06818
104+04156,1.10526,1.05263,1.10526,1.05263
104-04157,1,1,1,1
104+04157,1.06522,1.06522,1.06522,1.06667
104-04158,1.06667,1.06667,1.06667,1.14286
104+04158,1,1.125,1.125,1.125
104-04159,1.03158,1.03158,1.04255,1.05376
104+04159,1,1,1,1
104-04160,1.06897,1.06897,1.10714,1.07143
104+04160,1.04494,1.03371,1.04494,1.04545
104-04161,1,1,1,1
104+04161,1.07407,1.03704,1.07407,1.07692
104-04162,1.05882,1.05882,1.05882,1.125
104+04162,1.11111,1,1.125,1.125
104-04163,1.14286,1.14286,1.14286,1.14286
104+04163,1.08696,1.09091,1.09091,1.09091
104+04164,1.1,1.1,1.22222,1.22222
104-04165,1.05814,1.04545,1.04545,1.06977
104-04166,1.0515,1.04202,1.05021,1.05508
104+04166,1.04762,1.03571,1.04878,1.04762
104-04167,1.05645,1.04724,1.04724,1.05556
104+04167,1.03782,1.03814,1.05195,1.05085
104-04168,,,,
104+04168,1.03175,1.04,1.05785,1.04839
104-04169,1.07895,1.06494,1.07895,1.09211
104-04170,1.05172,1.0431,1.06034,1.06034
104+04170,1.1,1.07071,1.09184,1.12371
104-04171,1.0625,1.06122,1.08163,1.06122
104+04171,1.04762,1.0381,1.05769,1.06731
104-04172,1.13253,1.11905,1.16279,1.15116
104+04172,1.11111,1.06667,1.06818,1.09091
104-04173,1.05263,1.05263,1.05263,1.05263
104-04174,1.05556,1.05556,1.05556,1.05556
104+04174,1.05556,1.05556,1.05556,1.05556
104-04175,1.07143,1.07143,1.07407,1.11111
104+04175,1.05882,1,1.125,1.125
104+04176,1.05882,1.05882,1.05882,1.05882
104-04177,1.10959,1.11429,1.1194,1.16418
104+04177,1.13174,1.10778,1.11446,1.12579
104-04178,1.08,1.06,1.08333,1.06122
104+04178,1.10938,1.10938,1.11111,1.12903
104-04179,1.05714,1.05882,1.05882,1.05882
104+04179,1.07843,1.05769,1.07843,1.07843
104-04180,1.10345,1.10345,1.14286,1.10714
104+04180,1.05882,1.05882,1.05882,1.05882
104-04181,1.04167,1.04167,1.08696,1.08696
104+04181,1.125,1.08333,1.08333,1.125
104-04182,1.1875,1.19149,1.19149,1.21277
104+04182,1.1,1.04762,1.1,1.1
104-04183,1.24658,1.19595,1.21333,1.24113
104+04183,1.36986,1.52308,1.60294,1.54098
104-04184,1.18868,1.15094,1.18,1.17021
104+04184,1.33333,1,1,1.33333
104-04185,1.13636,1.09091,1.14286,1.09524
104+04185,1.1087,1.13043,1.13333,1.16667
104-04186,1.10526,1.05263,1.05263,1.11111
104+04186,1.05263,1.11111,1.11111,1.11765
104-04187,1.07692,1,1.08333,1.08333
104+04187,1.1,1.05,1.1,1.10526
104-04188,1.125,1.0625,1.0625,1.0625
104+04188,1.1,1.1,1.2,1.1
104-04189,1.16667,1.08333,1.08333,1.08333
104+04189,1,1.06667,1.0625,1.06667
104-04190,1.09091,1.09091,1.09091,1.1
104+04190,1.08333,1,1.08333,1.09091
104-04191,1.09091,1.04545,1.09091,1.09524
104+04191,1.09091,1.09091,1.18182,1.09091
104-04192,1.125,1,1,1
104+04192,1.07692,1.07692,1.15385,1.08
104-04193,1.5,1.5,1.5,1.5
104+04193,1,1,1.125,1
104-04194,1.16667,1,1,1
104+04194,1.33333,1.33333,1.33333,1.33333
104-04195,,,,
104+04195,1,1,1,1
104-04196,1.27273,1.09091,1.09091,1
104+04196,1,1,1,1
104-04197,1.07692,1.08333,1.08333,1.08333
104+04197,1.07692,1,1.07143,1.07692
104-04198,1.5,1,1,1
104+04198,1.07143,1.07143,1.28571,1.07692
104-04199,1.05882,1.06061,1.09091,1.09677
104+04199,1.07143,1.07143,1.35714,1
104-04200,1.09091,1.09091,1.09091,1.09524
104+04200,1.08696,1.08696,1.5,1.09091
104-04201,1.08333,1.08333,1.08333,1.08696
104+04201,1.10526,1.10526,1.15789,1.11111
104-04202,1,1,1,1
104+04202,1.16279,1.16667,1.14634,1.18919
104-04203,1.22165,1.22335,1.32212,1.35976
104+04203,,,,
104-04204,1,1,1.5,1.5
104-04205,1.07407,1.07273,1.09259,1.11538
104+04205,1,1,1,1
104-04206,1.06667,1.06667,1.06667,1.14286
104+04206,1.07692,1.07895,1.07895,1.10811
104-04207,1.08824,1.08824,1.08824,1.09091
104+04207,1.07576,1.06061,1.06061,1.09524
104-04208,1.14474,1.14474,1.22785,1.12857
104+04208,1.08889,1.06667,1.06667,1.09302
104-04209,1.5,1,1.33333,1.5
104+04209,1.25862,1.19643,1.2037,1.18367
104-04210,1.0625,1.0625,1.17647,1.0625
104-04211,1,1,2,1
104+04211,1.05556,1,1.05556,1.05882
104-04212,1.02857,1.05882,1.22857,1.02941
104+04212,2,1,1,1
104-04213,1.04082,1.02041,1.12,1.04167
104+04213,1.04348,1.04444,1.04444,1.06818
104-04214,1.04545,1.04545,1.17391,1.06977
104+04214,1.19231,1.04,1.08,1.04
104-04215,1.03922,1.03922,1.21154,1.04
104+04215,1.08511,1.04348,1.06522,1.06667
104-04216,1.04167,1.04167,1.20833,1.04348
104+04216,1.09375,1.03125,1.0625,1.06452
104-04217,1.33333,1,1.33333,1
104+04217,1.11429,1.05882,1.08571,1.09091
104-04218,,,,
104+04218,1.09091,1.04545,1.18182,1.09524
104-04219,1.0625,1.0625,1.15152,1.06452
104+04219,,,,
104-04220,1.14286,1.11429,1.18919,1.17647
104+04220,1.14286,1.14286,1.625,1.14286
104-04221,1.15385,1.07692,1.07143,1.07692
104+04221,1.0625,1.06061,1.83784,1.125
104-04222,1.08434,1.03614,1.08434,1.0625
104+04222,1.08696,1.08333,1.42308,1.13043
104-04223,1.25,1.0625,1.125,1.0625
104+04223,1.0375,1.0375,1.14634,1.0641
104-04224,1,1,1,1
104+04224,1.07692,1.07692,1.15385,1.16667
104-04225,2,1,2,1
104+04225,,,,
104-04226,1.375,1,1.125,1.06667
104+04226,2,2,1,2
104-04227,1.18182,1.04545,1.04545,1.04762
104+04227,1.06667,1,1.0625,1.06667
104-04228,1.23077,1.03922,1.05882,1.06122
104+04228,1.05882,1.05882,1.11765,1.0625
104-04229,1.24324,1.02778,1.05556,1.05714
104+04229,1.04,1.01961,1.05882,1.06122
104-04230,1.09677,1.03333,1.06667,1.06897
104+04230,1.05405,1.02632,1.07895,1.05556
104-04231,1.23077,1.07692,1.07692,1.08333
104+04231,1.03571,1.03448,1.03448,1.03571
104-04232,1.05556,1.02778,1.05556,1.05714
104+04232,1.33333,1.33333,1.33333,1.33333
104-04233,1.08333,1,1.18182,1.09091
104+04233,1.05,1.075,1.2381,1.10811
104-04234,1.33333,1.09091,1.18182,1.09091
104+04234,1.16667,1.15,1.68182,1.25
104-04235,1.14286,1.14286,1.14286,1
104+04235,1.08696,1.08696,1.08333,1.09091
104-04236,1.04615,1.03125,1.04688,1.04762
104+04236,1,1,1,1.07692
104-04237,1.03659,1.02439,1.04938,1.05
104+04237,1.03333,1.01639,1.05,1.05085
104-04238,1.11111,1.11111,1.11111,1.11111
104+04238,1.03571,1.03529,1.04762,1.04762
104-04239,1.09091,1.09091,1.15152,1.17647
104+04239,1.16667,1.16667,1.16667,1.16667
104-04240,1.15385,1.14286,1.14286,1.2
104+04240,1.15152,1.24242,1.27273,1.21212
104-04241,1.08621,1.06667,1.10169,1.11864
104+04241,1.3,1.6,1.54545,1.5
104-04242,1.11111,1.11111,1.11111,1.11111
104+04242,1.46809,1.77083,1.77551,1.64
104-04243,1.08333,1.08333,1.08333,1.08333
104+04243,1.2,1.2,1.2,1.2
104-04244,1.06349,1.04762,1.06452,1.08197
104+04244,1.16667,1.16667,1.16667,1.25
104-04245,1.04808,1.04854,1.05825,1.07921
104+04245,1.08955,1.08955,1.10606,1.10769
104-04246,1.08235,1.07143,1.10843,1.13253
104+04246,1.07143,1.05102,1.07292,1.08511
104-04247,1.5,2,2,1.75
104+04247,1.09677,1.08511,1.11957,1.12791
104-04248,1.75269,1.72222,1.77419,1.91566
104+04248,1.25,1.25,1.25,1.66667
104-04249,1.63636,1.75,1.57143,1.53333
104+04249,1.25373,1.25758,1.30303,1.35593
104-04250,1.015,1.01508,1.015,1.02
104+04250,1.25,1.25,1.25,1.25
104-04251,1.02727,1.02727,1.01802,1.01802
104+04251,1.02239,1.01493,1.02239,1.02723
104-04252,1.02009,1.01562,1.02232,1.02679
104+04252,1.0303,1.03061,1.03061,1.04082
104-04253,1.02577,1.02062,1.02564,1.02577
104+04253,1.01978,1.01978,1.01532,1.02637
104-04254,1.04202,1.03306,1.04132,1.05882
104+04254,1.01878,1.01402,1.01869,1.02347
104-04255,1.11765,1.11111,1.10526,1.16667
104+04255,1.05172,1.04237,1.05085,1.06838
104-04256,1.0219,1.02174,1.04317,1.03731
104+04256,1.1,1.09524,1.14286,1.13636
104-04257,1.02564,1.02564,1.1125,1.03947
104+04257,1.04688,1.02381,1.0315,1.032
104-04258,1.05556,1.01852,1.07407,1.03846
104+04258,1.08537,1.01235,1.03704,1.025
104-04259,1.0303,1.0303,1.08955,1.03125
104+04259,1.11905,1.02439,1.04762,1.02439
104-04260,1.03279,1.04839,1.34848,1.03333
104+04260,1.3038,1.03896,1.12821,1.02632
104-04261,1.15,1.05,2.47619,1.05263
104+04261,1.35385,1.07937,1.52308,1.05
104-04262,1,1,2,1
104+04262,1.2381,1.09524,1.36364,1.05
104-04263,1.08571,1.08108,1.13158,1.13889
104+04263,1.2,1.1,1.18182,1
104-04264,1.04082,1.04667,1.0719,1.07483
104+04264,1.08571,1.05556,1.08108,1.11111
104-04265,1.02182,1.01812,1.01805,1.02545
104+04265,1.03378,1.03401,1.03356,1.04762
104-04266,1.02,1.01493,1.01737,1.02239
104+04266,1.01887,1.01509,1.02256,1.02256
104-04267,1.025,1.025,1.025,1.025
104+04267,1.01504,1.01003,1.01496,1.0225
104-04268,1.05,1.0495,1.07071,1.06122
104+04268,1.125,1.25,1.375,1.22222
104-04269,1.05769,1.05769,1.05882,1.05882
104+04269,1.05319,1.05319,1.05376,1.06522
104-04270,1.03947,1.03896,1.05333,1.05333
104+04270,1.04878,1.04878,1.04878,1.075
104-04271,1.04317,1.04286,1.06475,1.05926
104+04271,1.05376,1.03191,1.06383,1.05435
104-04272,1.07143,1.07143,1.07407,1.07407
104+04272,1.05785,1.04098,1.06612,1.05932
104-04273,1.04082,1.04082,1.06122,1.0625
104+04273,1.04348,1.04348,1.08696,1.04348
104-04274,1.05556,1.02778,1.05556,1.05882
104+04274,1.04878,1.02439,1.09756,1.07692
104-04275,1,1,1,1
104+04275,1.07692,1.05263,1.33333,1.08333
104-04276,1.03571,1.03571,1.06897,1.07143
104+04276,1.18182,1.09091,1.33333,1.09091
104-04277,2,1,1,2
104+04277,1.1,1,1.1,1.11111
104-04278,1.05263,1.05128,1.2,1.08108
104+04278,1,1,1,1
104-04279,1,1,1.5,1.14286
104+04279,1.10811,1.02703,1.05405,1.05714
104-04280,1,1,1.66667,1
104+04280,1.09091,1.1,1,1.1
104-04281,1.0303,1.0303,1.26471,1.0625
104+04281,1.5,1,1,1
104-04282,,,,
104+04282,1.27778,1.11765,1.16667,1.05882
104-04283,1.04762,1.04762,1.14286,1.1
104+04283,1.14286,1.14286,1.125,1.14286
104-04284,1.08,1.04,1.08,1.08333
104+04284,1.05556,1.05556,1.27778,1.11765
104-04285,1.09091,1,1.09091,1
104+04285,1.03704,1.03704,1.21429,1.07692
104-04286,1.14286,1.07692,1.07692,1.07692
104+04286,1.06667,1.06667,1.375,1.06667
104-04287,1.17647,1.05882,1.05882,1.0625
104+04287,1.04762,1.04762,1.45455,1.1
104-04288,1.15385,1.08,1.08,1.04167
104+04288,1.05882,1.05882,1.66667,1.0625
104-04289,1.1,1.06897,1.10345,1.07143
104+04289,1.04167,1.04167,1.34615,1.04167
104-04290,1.09524,1.0241,1.03659,1.05
104+04290,1.06667,1.09677,1.48485,1.06897
104-04291,1,1,1.25,1.25
104+04291,1.03488,1.02326,1.06897,1.04819
104-04292,1.09091,1.04348,1.09091,1.09091
104+04292,1.08333,1.08333,1.08333,1.09091
104-04293,1.02941,1.02941,1.04412,1.04412
104+04293,1.05556,1.05556,1.05556,1.08571
104-04294,1.03185,1.02532,1.04487,1.05696
104+04294,1.03571,1.01786,1.05357,1.05357
104-04295,1.02765,1.02752,1.03721,1.05505
104+04295,1.03185,1.02532,1.03774,1.0443
104-04296,1.03623,1.02878,1.0438,1.05797
104+04296,1.03182,1.0362,1.03604,1.04505
104-04297,1.04828,1.04138,1.05594,1.04828
104+04297,1.03472,1.03448,1.04138,1.05556
104-04298,1.08871,1.07317,1.09091,1.10833
104-04299,1.08824,1.09901,1.07143,1.09091
104+04299,1.07965,1.07826,1.08772,1.08182
104-04300,1.05696,1.05732,1.07792,1.07237
104+04300,1.09091,1.09804,1.09901,1.10204
104-04301,1.04444,1.06818,1.06977,1.06977
104+04301,1.05806,1.05696,1.07643,1.07143
104-04302,1.04651,1.05325,1.05455,1.06061
104+04302,1.08772,1.08621,1.10526,1.08929
104-04303,1.05161,1.03896,1.06579,1.07333
104+04303,1.03614,1.0355,1.0479,1.06061
104-04304,1.07812,1.0625,1.08065,1.08197
104+04304,1.04321,1.04268,1.06211,1.06832
104-04305,1.07692,1.07692,1.07692,1.07692
104+04305,1.06383,1.04167,1.06383,1.08696
104+04306,1.06667,1.06667,1.10345,1.06897
104-04307,1.05263,1.03448,1.05263,1.05263
104+04307,1.07619,1.07692,1.08654,1.08824
104-04308,1.0641,1.05363,1.07668,1.09615
104+04308,1.07143,1.05357,1.07143,1.07143
104-04309,1.10288,1.09717,1.12757,1.15481
104+04309,1.04886,1.04207,1.04854,1.05229
104-04310,1.04688,1.04167,1.05291,1.0582
104+04310,1.04425,1.03947,1.03947,1.04889
104-04311,1.05405,1.05405,1.05556,1.05556
104+04311,1.07292,1.05759,1.06316,1.05851
104-04312,1.11111,1.15556,1.25581,1.11628
104+04312,1.13636,1.09091,1.09091,1.04545
104-04313,1.06,1.0495,1.07143,1.07292
104+04313,1.21875,1.12308,1.125,1.1129
104+04314,1.05155,1.04124,1.06316,1.06452
104-04315,1.45098,1.38333,1.58621,1.52174
104+04315,1.74286,1.71795,1.71795,1.64706
104-04316,1.19231,1.18519,1.24,1.27273
104+04316,1.44444,1.475,1.5,1.4375
104-04317,1.15625,1.15625,1.25806,1.27586
104+04317,1.13333,1.16129,1.17241,1.23077
104+04318,1.17241,1.13333,1.17241,1.22222
104-04319,1.08696,1.08696,1.33333,1.09091
104+04319,1.12169,1.09474,1.12299,1.16384
104-04320,1.04878,1.04938,1.08537,1.07595
104+04320,1.12,1.04,1.08,1.08333
104-04321,1.09901,1.09901,1.09901,1.11458
104+04321,1.09091,1.05682,1.07955,1.08235
104-04322,1.5097,1.46802,1.59118,1.71203
104+04322,1.11215,1.07547,1.10377,1.12245
104-04323,1.33333,1,2,1.2
104-04324,1.24242,1.04615,2.23881,1.03175
104+04324,1,1.14286,1,1.14286
104-04325,1.25,1,1.75,1.14286
104+04325,1.02941,1.04478,1.0597,1.04615
104-04326,1.06452,1.06667,1.1,1.06897
104+04326,1.1,1.1,1.1,1.1
104-04327,1.0625,1,1.06667,1.06667
104+04327,1.04545,1.04545,1.04545,1.04762
104-04328,1.04225,1.02857,1.05797,1.0597
104+04328,1.09091,1.09091,1.09091,1.09524
104-04329,1.07143,1.04762,1.04762,1.075
104+04329,1.02985,1.02985,1.07463,1.04688
104-04330,1,1,1.14286,1.14286
104+04330,1.04762,1.04762,1.04878,1.05
104-04331,1.03774,1.02857,1.04808,1.05941
104+04331,1,1,1,1
104+04332,1.03774,1.02804,1.0566,1.04808
104-04346,1.19101,1.18182,1.26667,1.14943
104-04347,1.10606,1.07576,1.06349,1.06349
104+04347,1.07292,1.07071,1.09278,1.07292
104-04348,1.09524,1.09524,1.1,1.1
104+04348,1.06452,1.07937,1.08197,1.08475
104-04349,1.09302,1.06977,1.07143,1.07317
104+04349,1.0625,1.09375,1.0625,1.06452
104-04350,1.11111,1.07407,1.07692,1.07692
104+04350,1.06452,1.09677,1.06452,1.10345
104+04351,1.09524,1.09524,1.09524,1.1
104-04352,1.10714,1.09639,1.12195,1.10976
104-04353,1.11111,1.11111,1.11111,1.05556
104+04353,1.10976,1.08333,1.08642,1.07407
104-04354,1.0625,1.0625,1.0625,1.13333
104+04354,1.1,1.1,1.10526,1.10526
104-04355,1.11111,1.11111,1.11111,1.11111
104+04355,1.2,1.2,1,1
104+04356,1.16,1.12,1.125,1.08333
104-04357,1.1087,1.1087,1.08333,1.10204
104-04358,1.21311,1.16942,1.21339,1.25703
104+04358,1.10169,1.1,1.11667,1.11475
104+04359,1.14957,1.16318,1.19231,1.21941
104-04360,1.31818,1.28571,1.22727,1.31579
104-04361,1.33333,1.33333,1.22222,1.22222
104+04361,1.5,1.5,1.5,2
104-04362,1.81159,1.78125,1.72727,1.81159
104+04362,1.44444,1.33333,1.2,1.22222
104-04363,1.77381,1.59524,1.5443,1.5443
104-04364,1.7,1.64,1.84211,1.58333
104+04364,1.64646,1.61458,1.70588,2
104-04365,1.26667,1.21429,1.38462,1.25
104+04365,1.61905,1.61905,1.71429,1.44444
104-04366,1.23077,1.25,1.25,1.18182
104+04366,1.25,1.25,1.25,1.18182
104-04367,1.33333,1.33333,1.33333,1
104+04367,1.16667,1.16667,1.33333,1.08333
104-04368,1.09091,1,1.09091,1.1
104+04368,1,1,1,1
104+04369,1.09091,1.09091,1.5,1.09091
104-04370,1.31343,1.29412,1.28571,1.25
104-04371,1.10714,1.06897,1.14286,1.10345
104+04371,1.25,1.19403,1.20155,1.20301
104-04372,1.08696,1.13043,1.13043,1.13043
104+04372,1.10345,1.06897,1.07143,1.07143
104-04373,1.07143,1.06863,1.1,1.07
104+04373,1.13043,1.08333,1.08333,1.16667
104-04374,1.12048,1.09412,1.09412,1.09639
104+04374,1.1,1.07843,1.1,1.07843
104-04375,1.10784,1.06604,1.09434,1.06731
104+04375,1.09412,1.09412,1.09639,1.09412
104-04376,1.10526,1.07519,1.0916,1.05426
104+04376,1.11429,1.1068,1.17822,1.10101
104-04377,1.06875,1.07547,1.08917,1.07006
104+04377,1.09756,1.07438,1.07563,1.07563
104-04378,1.14857,1.09659,1.1875,1.11176
104+04378,1.11696,1.07229,1.07143,1.06627
104+04379,1.17931,1.08966,1.09155,1.09286
104-04381,1.03089,1.02682,1.03831,1.04231
104+04381,1,1,1,1
104-04382,1,1,1,1
104+04382,1.03529,1.02724,1.03113,1.0428
104-04383,1.0375,1.03106,1.04348,1.05625
104+04383,1.08333,1,1,1
104-04384,1.5,1.5,1.5,1.5
104+04384,1.03896,1.03226,1.03846,1.05195
104-04385,1.05085,1.0339,1.06897,1.05172
104+04385,1.05,1.05,1.1,1.1
104-04386,1.07692,1.05128,1.07692,1.05263
104+04386,1.04082,1.04082,1.04082,1.04082
104-04387,1,1,1,1
104+04387,1.03571,1.03571,1.03571,1.07407
104-04388,1.125,1.125,1.125,1.125
104+04388,1,1,1,1
104-04389,1.07143,1.07143,1.14286,1.07143
104+04389,1.05128,1.02564,1.05128,1.05263
104-04390,1,1,1,1
104+04390,1.0625,1.06667,1.06667,1.06667
104-04391,1.1,1.0625,1.0625,1.08511
104+04391,1.08333,1.08333,1.08333,1.08333
104-04392,1.08824,1.06061,1.06061,1.09375
104+04392,1.04,1.03947,1.11688,1.04054
104-04393,1.08333,1.02778,1.05714,1.08824
104+04393,1.03846,1.03846,1.25926,1.11538
104-04394,1.11392,1.03846,1.05195,1.06667
104+04394,1.03125,1.03125,1.66667,1.06452
104+04395,1.04478,1.0597,1.55714,1.0625
104-04446,1.02344,1.0155,1.0155,1.03125
104+04446,1,1,1,1
104-04447,1.02439,1.01449,1.01923,1.02913
104+04447,1.0137,1.0137,1.02055,1.0274
104-04448,1.01542,1.01535,1.01781,1.02302
104+04448,1.02392,1.01923,1.02404,1.02871
104-04449,1.0625,1.0625,1.0625,1.06452
104-04450,1.06667,1.05,1.0678,1.06897
104+04450,1.05263,1.08108,1.13158,1.11111
104-04451,1.05,1.05,1.05,1.10526
104+04451,1.03333,1.05085,1.15,1.05172
104-04452,1.04,1,1.04167,1.04167
104+04452,1.02326,1.02326,1.65909,1.07317
104-04453,1.08333,1,1,1.09091
104+04453,1.04348,1.04348,1.41667,1.09091
104+04454,1,1,1.25,1.14286
104-04455,1.25,1.14286,1.14286,1
104-04456,1.57143,1.03704,1.07692,1.03846
104+04456,1.09524,1.04545,1.21739,1.04762
104-04457,2,1.03448,1.03448,1.03509
104+04457,1,1,1.2,1.11111
104-04458,1.28,1.04167,1.04167,1.04167
104+04458,1.05357,1.05357,1.08621,1.05455
104-04459,1.10345,1.03448,1.03448,1.07143
104+04459,1.04,1.04,1.05882,1.06122
104-04460,1.23077,1.15385,1.07692,1.07692
104+04460,1.03846,1.03846,1.11538,1.08
104+04461,1.2,1.1,1.2,1.1
104-04462,1.28571,1.28571,1.42857,1.33333
104+04462,1.13043,1.18182,1.18182,1.14286
104-04463,1.13333,1.13333,1.13333,1.14286
104+04463,1.1,1.1,1.1,1.11111
104-04464,1.06667,1.06667,1.06667,1.07143
104+04464,1.0625,1.13333,1.13333,1.14286
104-04465,1.05882,1.05882,1.05882,1.125
104+04465,1.05882,1.05882,1.05882,1.125
104-04466,1.05556,1.05556,1.05556,1.05556
104+04466,1.05882,1,1.0625,1.0625
104-04467,1.11111,1.05263,1.05263,1.11111
104+04467,1.04545,1.04545,1.09091,1.09524
104-04468,1.04444,1.02941,1.04444,1.05303
104+04468,1.05556,1.05556,1.05556,1.05556
104-04469,1.05051,1.04,1.0404,1.06122
104+04469,1.0443,1.03165,1.04459,1.05882
104-04470,1.05,1.05,1.05,1.05
104+04470,1.04706,1.03529,1.04706,1.06024
104-04471,1.04348,1.04348,1.04348,1.09091
104+04471,1.02439,1.05,1.05,1.07692
104-04472,1.09091,1.09091,1.09091,1.09091
104+04472,1,1,1,1
104-04473,1.11111,1.1,1.11111,1.11111
104+04473,1.1,1.1,1.1,1
104-04474,1.04878,1.04878,1.04878,1.05
104+04474,1.1,1.1,1,1.11111
104-04475,1.11765,1.10294,1.08955,1.09231
104+04475,1.04878,1.04878,1.02439,1.05
104-04476,1.11765,1.05882,1.05882,1.05882
104-04477,1.04545,1.04545,1.09524,1.04762
104+04477,1,1,1.08333,1
104-04478,1,1,1,1
104+04478,1.11111,1.11111,1.11111,1.11111
104-04479,1.04516,1.0443,1.05732,1.05161
104+04479,1,1,1,1
104-04480,1.10448,1.09489,1.125,1.10606
104+04480,1.04054,1.04795,1.04895,1.06993
104-04481,1.50725,1.40299,1.52174,1.44776
104+04482,1.51613,1.42623,1.62687,1.61538
104-04483,1.31579,1.26316,1.21053,1.15789
