tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120-14200,1.42222,1.48936,1.53793,1.45865
120-14201,1.26136,1.1954,1.26374,1.15663
120+14201,1.45985,1.33835,1.39098,1.4
120+14202,1.43564,1.25,1.37634,1.18182
120-14212,1.21907,1.20858,1.21206,1.2253
120+14213,1.2668,1.25761,1.25647,1.52277
120-14331,1.44444,1.4,1.36364,1.5
120-14332,1.21739,1.375,1.43478,1.33333
120+14332,1.5,1.64286,1.57143,1.71429
120+14333,1.43478,1.48148,1.48148,1.5
120-14334,1.36667,1.41379,1.73333,1.34615
120-14337,1.17442,1.14973,1.26316,1.2449
120-14340,1.45263,1.49495,1.61947,1.53684
120-14348,1.388,1.36162,1.58537,1.5041
120+14349,1.40613,1.38931,1.47794,1.52917
120-14353,1.15888,1.18095,1.28571,1.15238
120+14354,1.11304,1.2087,1.2963,1.21488
120-14355,1.21849,1.17241,1.17241,1.25
120+14356,1.2605,1.26087,1.15741,1.23636
120-14358,1.3931,1.65093,1.39706,1.28893
120+14358,1.52764,1.57055,1.30769,1.30256
120+14359,1.42838,1.49931,1.51771,1.35226
120-14360,1.43696,1.58161,1.68257,1.55895
120+14361,1.53879,1.39683,1.43049,1.53719
120-14365,1.22308,1.23134,1.1746,1.14634
120-14366,1.36364,1.36364,1.27586,1.21429
120+14366,1.47761,1.3913,1.32308,1.39231
120+14367,1.275,1.20513,1.24324,1.28571
120-14384,1.13333,1.0625,1.13333,1.06667
120+14385,1.0625,1.0625,1.13333,1.06667
120-14418,1.13333,1.12621,1.18269,1.15534
120+14419,1.21818,1.13333,1.17143,1.17143
120-14422,1.17431,1.20183,1.28319,1.19608
120-14423,1.24272,1.26923,1.49587,1.19588
120+14423,1.40984,1.28319,1.36283,1.26667
120+14424,1.53153,1.27778,1.2973,1.26
120-14455,1.24359,1.27632,1.32877,1.27143
120-14456,1.25,1.15385,1.16667,1.16667
120+14456,1.30526,1.28846,1.34951,1.38824
120+14457,1,2,2,2
120-14463,1.24176,1.25532,1.25532,1.23595
120+14464,1.34375,1.3945,1.51282,1.36364
120+14498,1.21429,1.18557,1.22222,1.24444
120-14502,1.26667,1.24675,1.24658,1.3
120-14503,1.16,1.16279,1.20635,1.19008
