Bin,120P04340,,120N05397,,120+14882,,120-07060,,
283,206,0.0055774411,279,0.0053552919,37,0.0053291085,262,0.0057777974,Tue 10:45 PM
284,190,0.0051442418,257,0.0049330109,34,0.0048970186,243,0.0053587968,Tue 11:00 PM
285,167,0.0045215178,219,0.0042036163,29,0.0041768688,209,0.0046090063,Tue 11:15 PM
286,147,0.0039800187,181,0.0034742217,24,0.003456719,181,0.0039915318,Tue 11:30 PM
287,128,0.0034655945,153,0.002936773,20,0.0028805992,162,0.0035725312,Tue 11:45 PM
288,112,0.0030323952,131,0.0025144919,17,0.0024485093,138,0.0030432673,Wed 12:00 AM
289,97,0.0026262708,115,0.0022073784,15,0.0021604494,124,0.0027345301,Wed 12:15 AM
290,85,0.0023013713,98,0.0018810703,13,0.0018723895,114,0.0025140034,Wed 12:30 AM
291,74,0.0020035468,88,0.0016891243,12,0.0017283595,100,0.0022052662,Wed 12:45 AM
292,66,0.0017869472,77,0.0014779838,10,0.0014402996,90,0.0019847396,Wed 01:00 AM
293,58,0.0015703475,71,0.0013628162,9,0.0012962696,86,0.0018965289,Wed 01:15 AM
294,54,0.0014620477,60,0.0011516757,8,0.0011522397,86,0.0018965289,Wed 01:30 AM
295,50,0.0013537479,55,0.0010557027,7,0.0010082097,81,0.0017862656,Wed 01:45 AM
296,50,0.0013537479,49,0.0009405351,7,0.0010082097,76,0.0016760023,Wed 02:00 AM
297,47,0.001272523,44,0.0008445622,6,0.0008641797,71,0.001565739,Wed 02:15 AM
298,47,0.001272523,44,0.0008445622,6,0.0008641797,67,0.0014775283,Wed 02:30 AM
299,43,0.0011642232,38,0.0007293946,5,0.0007201498,62,0.001367265,Wed 02:45 AM
300,43,0.0011642232,38,0.0007293946,5,0.0007201498,57,0.0012570017,Wed 03:00 AM
301,47,0.001272523,38,0.0007293946,5,0.0007201498,62,0.001367265,Wed 03:15 AM
302,50,0.0013537479,44,0.0008445622,6,0.0008641797,67,0.0014775283,Wed 03:30 AM
303,54,0.0014620477,44,0.0008445622,6,0.0008641797,71,0.001565739,Wed 03:45 AM
304,58,0.0015703475,49,0.0009405351,7,0.0010082097,76,0.0016760023,Wed 04:00 AM
305,70,0.001895247,60,0.0011516757,8,0.0011522397,95,0.0020950029,Wed 04:15 AM
306,85,0.0023013713,77,0.0014779838,10,0.0014402996,129,0.0028447934,Wed 04:30 AM
307,105,0.0028428705,93,0.0017850973,12,0.0017283595,167,0.0036827945,Wed 04:45 AM
308,132,0.0035738943,115,0.0022073784,15,0.0021604494,219,0.0048295329,Wed 05:00 AM
309,167,0.0045215178,148,0.0028408,20,0.0028805992,281,0.006196798,Wed 05:15 AM
310,213,0.0057669658,191,0.0036661676,26,0.0037447789,367,0.0080933269,Wed 05:30 AM
311,268,0.0072560885,252,0.0048370379,34,0.0048970186,500,0.0110263309,Wed 05:45 AM
312,341,0.0092325603,328,0.0062958271,44,0.0063373182,628,0.0138490716,Wed 06:00 AM
313,384,0.0103967835,383,0.0073515298,51,0.0073455279,671,0.014797336,Wed 06:15 AM
314,438,0.0118588312,449,0.0086183731,60,0.0086417975,714,0.0157456005,Wed 06:30 AM
315,496,0.0134291787,531,0.0101923298,71,0.010226127,762,0.0168041283,Wed 06:45 AM
316,562,0.0152161258,618,0.0118622596,82,0.0118104566,814,0.0179508667,Wed 07:00 AM
317,547,0.0148100015,624,0.0119774272,83,0.0119544865,800,0.0176421294,Wed 07:15 AM
318,531,0.0143768022,624,0.0119774272,83,0.0119544865,786,0.0173333921,Wed 07:30 AM
319,512,0.013862378,629,0.0120734001,84,0.0120985165,776,0.0171128655,Wed 07:45 AM
320,500,0.0135374785,635,0.0121885677,85,0.0122425464,762,0.0168041283,Wed 08:00 AM
321,481,0.0130230543,629,0.0120734001,84,0.0120985165,733,0.0161646011,Wed 08:15 AM
322,465,0.012589855,624,0.0119774272,83,0.0119544865,714,0.0157456005,Wed 08:30 AM
323,450,0.0121837307,624,0.0119774272,83,0.0119544865,695,0.0153265999,Wed 08:45 AM
324,434,0.0117505313,624,0.0119774272,83,0.0119544865,671,0.014797336,Wed 09:00 AM
325,438,0.0118588312,640,0.0122845407,85,0.0122425464,667,0.0147091254,Wed 09:15 AM
326,442,0.011967131,667,0.0128027947,89,0.0128186663,657,0.0144885988,Wed 09:30 AM
327,446,0.0120754308,673,0.0129179623,90,0.0129626962,657,0.0144885988,Wed 09:45 AM
328,454,0.0122920305,695,0.0133402434,93,0.0133947861,657,0.0144885988,Wed 10:00 AM
329,462,0.0125086301,722,0.0138584974,96,0.013826876,657,0.0144885988,Wed 10:15 AM
330,473,0.0128064547,755,0.0144919191,101,0.0145470258,657,0.0144885988,Wed 10:30 AM
331,485,0.0131313542,788,0.0151253407,105,0.0151231456,667,0.0147091254,Wed 10:45 AM
332,496,0.0134291787,821,0.0157587623,109,0.0156992654,671,0.014797336,Wed 11:00 AM
333,504,0.0136457783,842,0.0161618488,112,0.0161313553,671,0.014797336,Wed 11:15 AM
334,512,0.013862378,864,0.0165841299,115,0.0165634452,671,0.014797336,Wed 11:30 AM
335,520,0.0140789776,886,0.017006411,118,0.0169955351,676,0.0149075993,Wed 11:45 AM
336,527,0.0142685023,914,0.0175438596,122,0.0175716549,676,0.0149075993,Wed 12:00 PM
337,527,0.0142685023,903,0.0173327191,120,0.017283595,681,0.0150178627,Wed 12:15 PM
338,531,0.0143768022,892,0.0171215786,119,0.017139565,686,0.015128126,Wed 12:30 PM
339,535,0.014485102,881,0.016910438,117,0.0168515051,690,0.0152163366,Wed 12:45 PM
340,539,0.0145934018,875,0.0167952705,117,0.0168515051,695,0.0153265999,Wed 01:00 PM
341,558,0.015107826,897,0.0172175515,120,0.017283595,705,0.0155471265,Wed 01:15 PM
342,574,0.0155410253,908,0.0174286921,121,0.0174276249,709,0.0156353372,Wed 01:30 PM
343,589,0.0159471497,919,0.0176398326,122,0.0175716549,719,0.0158558638,Wed 01:45 PM
344,609,0.0164886488,935,0.0179469461,125,0.0180037448,724,0.0159661271,Wed 02:00 PM
345,648,0.0175445721,979,0.0187915083,130,0.0187238946,738,0.0162748644,Wed 02:15 PM
346,690,0.0186817203,1023,0.0196360705,136,0.0195880743,752,0.0165836016,Wed 02:30 PM
347,737,0.0199542433,1061,0.0203654651,141,0.0203082241,767,0.0169143916,Wed 02:45 PM
348,787,0.0213079912,1110,0.0213060002,148,0.0213164338,781,0.0172231288,Wed 03:00 PM
349,822,0.0222556147,1138,0.0218434489,152,0.0218925537,790,0.0174216028,Wed 03:15 PM
350,861,0.023311538,1203,0.0230910975,160,0.0230447933,795,0.0175318661,Wed 03:30 PM
351,900,0.0243674613,1242,0.0238396867,165,0.0237649431,805,0.0177523927,Wed 03:45 PM
352,942,0.0255046095,1291,0.0247802219,172,0.0247731528,814,0.0179508667,Wed 04:00 PM
353,942,0.0255046095,1302,0.0249913624,174,0.0250612127,805,0.0177523927,Wed 04:15 PM
354,942,0.0255046095,1302,0.0249913624,174,0.0250612127,795,0.0175318661,Wed 04:30 PM
355,946,0.0256129093,1302,0.0249913624,174,0.0250612127,790,0.0174216028,Wed 04:45 PM
356,950,0.0257212092,1307,0.0250873354,174,0.0250612127,781,0.0172231288,Wed 05:00 PM
357,857,0.0232032382,1176,0.0225728435,157,0.0226127034,752,0.0165836016,Wed 05:15 PM
358,772,0.0209018668,1078,0.0206917732,144,0.020740314,728,0.0160543378,Wed 05:30 PM
359,698,0.01889832,979,0.0187915083,130,0.0187238946,700,0.0154368632,Wed 05:45 PM
360,632,0.0171113728,881,0.016910438,117,0.0168515051,676,0.0149075993,Wed 06:00 PM
361,574,0.0155410253,815,0.0156435948,109,0.0156992654,643,0.0141798615,Wed 06:15 PM
362,524,0.0141872775,760,0.014587892,101,0.0145470258,609,0.013430071,Wed 06:30 PM
363,477,0.0129147545,706,0.0135513839,94,0.0135388161,581,0.0128125965,Wed 06:45 PM
364,434,0.0117505313,662,0.0127068218,88,0.0126746363,552,0.0121730693,Wed 07:00 PM
365,407,0.0110195075,629,0.0120734001,84,0.0120985165,519,0.0114453315,Wed 07:15 PM
366,388,0.0105050833,596,0.0114399785,79,0.0113783667,490,0.0108058043,Wed 07:30 PM
367,365,0.0098823593,569,0.0109217244,76,0.0109462768,462,0.0101883297,Wed 07:45 PM
368,345,0.0093408602,542,0.0104034704,72,0.010370157,433,0.0095488025,Wed 08:00 PM
369,337,0.0091242605,520,0.0099811893,69,0.0099380671,429,0.0094605919,Wed 08:15 PM
370,330,0.0089347358,503,0.0096548812,67,0.0096500072,419,0.0092400653,Wed 08:30 PM
371,322,0.0087181362,487,0.0093477677,65,0.0093619473,409,0.0090195387,Wed 08:45 PM
372,318,0.0086098363,470,0.0090214596,63,0.0090738874,400,0.0088210647,Wed 09:00 PM
373,299,0.0080954121,432,0.008292065,58,0.0083537376,381,0.0084020641,Wed 09:15 PM
374,283,0.0076622128,399,0.0076586433,53,0.0076335878,367,0.0080933269,Wed 09:30 PM
375,268,0.0072560885,372,0.0071403893,50,0.0072014979,352,0.0077625369,Wed 09:45 PM
376,252,0.0068228892,345,0.0066221352,46,0.0066253781,338,0.0074537997,Wed 10:00 PM
377,237,0.0064167648,323,0.0061998541,43,0.0061932882,309,0.0068142725,Wed 10:15 PM
378,217,0.0058752657,295,0.0056624055,39,0.0056171684,286,0.0063070613,Wed 10:30 PM
379,206,0.0055774411,279,0.0053552919,37,0.0053291085,262,0.0057777974,Wed 10:45 PM
380,190,0.0051442418,257,0.0049330109,34,0.0048970186,243,0.0053587968,Wed 11:00 PM
381,167,0.0045215178,219,0.0042036163,29,0.0041768688,209,0.0046090063,Wed 11:15 PM
382,147,0.0039800187,181,0.0034742217,24,0.003456719,181,0.0039915318,Wed 11:30 PM
383,128,0.0034655945,153,0.002936773,20,0.0028805992,162,0.0035725312,Wed 11:45 PM
384,112,0.0030323952,131,0.0025144919,17,0.0024485093,138,0.0030432673,Thu 12:00 AM
385,97,0.0026262708,115,0.0022073784,15,0.0021604494,124,0.0027345301,Thu 12:15 AM
386,85,0.0023013713,98,0.0018810703,13,0.0018723895,114,0.0025140034,Thu 12:30 AM
387,74,0.0020035468,88,0.0016891243,12,0.0017283595,100,0.0022052662,Thu 12:45 AM
388,66,0.0017869472,77,0.0014779838,10,0.0014402996,90,0.0019847396,Thu 01:00 AM
389,58,0.0015703475,71,0.0013628162,9,0.0012962696,86,0.0018965289,Thu 01:15 AM
390,54,0.0014620477,60,0.0011516757,8,0.0011522397,86,0.0018965289,Thu 01:30 AM
391,50,0.0013537479,55,0.0010557027,7,0.0010082097,81,0.0017862656,Thu 01:45 AM
392,50,0.0013537479,49,0.0009405351,7,0.0010082097,76,0.0016760023,Thu 02:00 AM
393,47,0.001272523,44,0.0008445622,6,0.0008641797,71,0.001565739,Thu 02:15 AM
394,47,0.001272523,44,0.0008445622,6,0.0008641797,67,0.0014775283,Thu 02:30 AM
395,43,0.0011642232,38,0.0007293946,5,0.0007201498,62,0.001367265,Thu 02:45 AM
396,43,0.0011642232,38,0.0007293946,5,0.0007201498,57,0.0012570017,Thu 03:00 AM
397,47,0.001272523,38,0.0007293946,5,0.0007201498,62,0.001367265,Thu 03:15 AM
398,50,0.0013537479,44,0.0008445622,6,0.0008641797,67,0.0014775283,Thu 03:30 AM
399,54,0.0014620477,44,0.0008445622,6,0.0008641797,71,0.001565739,Thu 03:45 AM
400,58,0.0015703475,49,0.0009405351,7,0.0010082097,76,0.0016760023,Thu 04:00 AM
401,70,0.001895247,60,0.0011516757,8,0.0011522397,95,0.0020950029,Thu 04:15 AM
402,85,0.0023013713,77,0.0014779838,10,0.0014402996,129,0.0028447934,Thu 04:30 AM
403,105,0.0028428705,93,0.0017850973,12,0.0017283595,167,0.0036827945,Thu 04:45 AM
404,132,0.0035738943,115,0.0022073784,15,0.0021604494,219,0.0048295329,Thu 05:00 AM
405,167,0.0045215178,148,0.0028408,20,0.0028805992,281,0.006196798,Thu 05:15 AM
406,213,0.0057669658,191,0.0036661676,26,0.0037447789,367,0.0080933269,Thu 05:30 AM
407,268,0.0072560885,252,0.0048370379,34,0.0048970186,500,0.0110263309,Thu 05:45 AM
408,341,0.0092325603,328,0.0062958271,44,0.0063373182,628,0.0138490716,Thu 06:00 AM
409,384,0.0103967835,383,0.0073515298,51,0.0073455279,671,0.014797336,Thu 06:15 AM
410,438,0.0118588312,449,0.0086183731,60,0.0086417975,714,0.0157456005,Thu 06:30 AM
411,496,0.0134291787,531,0.0101923298,71,0.010226127,762,0.0168041283,Thu 06:45 AM
412,562,0.0152161258,618,0.0118622596,82,0.0118104566,814,0.0179508667,Thu 07:00 AM
413,547,0.0148100015,624,0.0119774272,83,0.0119544865,800,0.0176421294,Thu 07:15 AM
414,531,0.0143768022,624,0.0119774272,83,0.0119544865,786,0.0173333921,Thu 07:30 AM
415,512,0.013862378,629,0.0120734001,84,0.0120985165,776,0.0171128655,Thu 07:45 AM
416,500,0.0135374785,635,0.0121885677,85,0.0122425464,762,0.0168041283,Thu 08:00 AM
417,481,0.0130230543,629,0.0120734001,84,0.0120985165,733,0.0161646011,Thu 08:15 AM
418,465,0.012589855,624,0.0119774272,83,0.0119544865,714,0.0157456005,Thu 08:30 AM
419,450,0.0121837307,624,0.0119774272,83,0.0119544865,695,0.0153265999,Thu 08:45 AM
420,434,0.0117505313,624,0.0119774272,83,0.0119544865,671,0.014797336,Thu 09:00 AM
421,438,0.0118588312,640,0.0122845407,85,0.0122425464,667,0.0147091254,Thu 09:15 AM
422,442,0.011967131,667,0.0128027947,89,0.0128186663,657,0.0144885988,Thu 09:30 AM
423,446,0.0120754308,673,0.0129179623,90,0.0129626962,657,0.0144885988,Thu 09:45 AM
424,454,0.0122920305,695,0.0133402434,93,0.0133947861,657,0.0144885988,Thu 10:00 AM
425,462,0.0125086301,722,0.0138584974,96,0.013826876,657,0.0144885988,Thu 10:15 AM
426,473,0.0128064547,755,0.0144919191,101,0.0145470258,657,0.0144885988,Thu 10:30 AM
427,485,0.0131313542,788,0.0151253407,105,0.0151231456,667,0.0147091254,Thu 10:45 AM
428,496,0.0134291787,821,0.0157587623,109,0.0156992654,671,0.014797336,Thu 11:00 AM
429,504,0.0136457783,842,0.0161618488,112,0.0161313553,671,0.014797336,Thu 11:15 AM
430,512,0.013862378,864,0.0165841299,115,0.0165634452,671,0.014797336,Thu 11:30 AM
431,520,0.0140789776,886,0.017006411,118,0.0169955351,676,0.0149075993,Thu 11:45 AM
432,527,0.0142685023,914,0.0175438596,122,0.0175716549,676,0.0149075993,Thu 12:00 PM
433,527,0.0142685023,903,0.0173327191,120,0.017283595,681,0.0150178627,Thu 12:15 PM
434,531,0.0143768022,892,0.0171215786,119,0.017139565,686,0.015128126,Thu 12:30 PM
435,535,0.014485102,881,0.016910438,117,0.0168515051,690,0.0152163366,Thu 12:45 PM
436,539,0.0145934018,875,0.0167952705,117,0.0168515051,695,0.0153265999,Thu 01:00 PM
437,558,0.015107826,897,0.0172175515,120,0.017283595,705,0.0155471265,Thu 01:15 PM
438,574,0.0155410253,908,0.0174286921,121,0.0174276249,709,0.0156353372,Thu 01:30 PM
439,589,0.0159471497,919,0.0176398326,122,0.0175716549,719,0.0158558638,Thu 01:45 PM
440,609,0.0164886488,935,0.0179469461,125,0.0180037448,724,0.0159661271,Thu 02:00 PM
441,648,0.0175445721,979,0.0187915083,130,0.0187238946,738,0.0162748644,Thu 02:15 PM
442,690,0.0186817203,1023,0.0196360705,136,0.0195880743,752,0.0165836016,Thu 02:30 PM
443,737,0.0199542433,1061,0.0203654651,141,0.0203082241,767,0.0169143916,Thu 02:45 PM
444,787,0.0213079912,1110,0.0213060002,148,0.0213164338,781,0.0172231288,Thu 03:00 PM
445,822,0.0222556147,1138,0.0218434489,152,0.0218925537,790,0.0174216028,Thu 03:15 PM
446,861,0.023311538,1203,0.0230910975,160,0.0230447933,795,0.0175318661,Thu 03:30 PM
447,900,0.0243674613,1242,0.0238396867,165,0.0237649431,805,0.0177523927,Thu 03:45 PM
448,942,0.0255046095,1291,0.0247802219,172,0.0247731528,814,0.0179508667,Thu 04:00 PM
449,942,0.0255046095,1302,0.0249913624,174,0.0250612127,805,0.0177523927,Thu 04:15 PM
450,942,0.0255046095,1302,0.0249913624,174,0.0250612127,795,0.0175318661,Thu 04:30 PM
451,946,0.0256129093,1302,0.0249913624,174,0.0250612127,790,0.0174216028,Thu 04:45 PM
452,950,0.0257212092,1307,0.0250873354,174,0.0250612127,781,0.0172231288,Thu 05:00 PM
453,857,0.0232032382,1176,0.0225728435,157,0.0226127034,752,0.0165836016,Thu 05:15 PM
454,772,0.0209018668,1078,0.0206917732,144,0.020740314,728,0.0160543378,Thu 05:30 PM
455,698,0.01889832,979,0.0187915083,130,0.0187238946,700,0.0154368632,Thu 05:45 PM
456,632,0.0171113728,881,0.016910438,117,0.0168515051,676,0.0149075993,Thu 06:00 PM
457,574,0.0155410253,815,0.0156435948,109,0.0156992654,643,0.0141798615,Thu 06:15 PM
458,524,0.0141872775,760,0.014587892,101,0.0145470258,609,0.013430071,Thu 06:30 PM
459,477,0.0129147545,706,0.0135513839,94,0.0135388161,581,0.0128125965,Thu 06:45 PM
460,434,0.0117505313,662,0.0127068218,88,0.0126746363,552,0.0121730693,Thu 07:00 PM
461,407,0.0110195075,629,0.0120734001,84,0.0120985165,519,0.0114453315,Thu 07:15 PM
462,388,0.0105050833,596,0.0114399785,79,0.0113783667,490,0.0108058043,Thu 07:30 PM
463,365,0.0098823593,569,0.0109217244,76,0.0109462768,462,0.0101883297,Thu 07:45 PM
464,345,0.0093408602,542,0.0104034704,72,0.010370157,433,0.0095488025,Thu 08:00 PM
465,337,0.0091242605,520,0.0099811893,69,0.0099380671,429,0.0094605919,Thu 08:15 PM
466,330,0.0089347358,503,0.0096548812,67,0.0096500072,419,0.0092400653,Thu 08:30 PM
467,322,0.0087181362,487,0.0093477677,65,0.0093619473,409,0.0090195387,Thu 08:45 PM
468,318,0.0086098363,470,0.0090214596,63,0.0090738874,400,0.0088210647,Thu 09:00 PM
469,299,0.0080954121,432,0.008292065,58,0.0083537376,381,0.0084020641,Thu 09:15 PM
470,283,0.0076622128,399,0.0076586433,53,0.0076335878,367,0.0080933269,Thu 09:30 PM
471,268,0.0072560885,372,0.0071403893,50,0.0072014979,352,0.0077625369,Thu 09:45 PM
472,252,0.0068228892,345,0.0066221352,46,0.0066253781,338,0.0074537997,Thu 10:00 PM
473,237,0.0064167648,323,0.0061998541,43,0.0061932882,309,0.0068142725,Thu 10:15 PM
474,217,0.0058752657,295,0.0056624055,39,0.0056171684,286,0.0063070613,Thu 10:30 PM
475,206,0.0055774411,279,0.0053552919,37,0.0053291085,262,0.0057777974,Thu 10:45 PM
476,190,0.0051442418,257,0.0049330109,34,0.0048970186,243,0.0053587968,Thu 11:00 PM
477,167,0.0045215178,219,0.0042036163,29,0.0041768688,209,0.0046090063,Thu 11:15 PM
478,147,0.0039800187,181,0.0034742217,24,0.003456719,181,0.0039915318,Thu 11:30 PM
479,128,0.0034655945,153,0.002936773,20,0.0028805992,162,0.0035725312,Thu 11:45 PM
480,118,0.0031948449,138,0.0026488541,18,0.0025925392,145,0.003197636,Fri 12:00 AM
481,102,0.0027616456,120,0.0023033514,16,0.0023044793,130,0.002866846,Fri 12:15 AM
482,89,0.0024096712,103,0.0019770433,14,0.0020164194,120,0.0026463194,Fri 12:30 AM
483,77,0.0020847717,92,0.0017659027,12,0.0017283595,105,0.0023155295,Fri 12:45 AM
484,69,0.001868172,80,0.0015355676,11,0.0015843295,95,0.0020950029,Fri 01:00 AM
485,61,0.0016515724,75,0.0014395946,10,0.0014402996,90,0.0019847396,Fri 01:15 AM
486,57,0.0015432726,63,0.0012092595,8,0.0011522397,90,0.0019847396,Fri 01:30 AM
487,53,0.0014349727,57,0.0010940919,8,0.0011522397,85,0.0018744762,Fri 01:45 AM
488,53,0.0014349727,52,0.0009981189,7,0.0010082097,80,0.0017642129,Fri 02:00 AM
489,49,0.0013266729,46,0.0008829514,6,0.0008641797,75,0.0016539496,Fri 02:15 AM
490,49,0.0013266729,46,0.0008829514,6,0.0008641797,70,0.0015436863,Fri 02:30 AM
491,45,0.0012183731,40,0.0007677838,5,0.0007201498,65,0.001433423,Fri 02:45 AM
492,45,0.0012183731,40,0.0007677838,5,0.0007201498,60,0.0013231597,Fri 03:00 AM
493,49,0.0013266729,40,0.0007677838,5,0.0007201498,65,0.001433423,Fri 03:15 AM
494,53,0.0014349727,46,0.0008829514,6,0.0008641797,70,0.0015436863,Fri 03:30 AM
495,57,0.0015432726,46,0.0008829514,6,0.0008641797,75,0.0016539496,Fri 03:45 AM
496,61,0.0016515724,52,0.0009981189,7,0.0010082097,80,0.0017642129,Fri 04:00 AM
497,73,0.0019764719,63,0.0012092595,8,0.0011522397,100,0.0022052662,Fri 04:15 AM
498,89,0.0024096712,80,0.0015355676,11,0.0015843295,135,0.0029771093,Fri 04:30 AM
499,110,0.0029782453,97,0.0018618757,13,0.0018723895,175,0.0038592158,Fri 04:45 AM
500,138,0.0037363441,120,0.0023033514,16,0.0023044793,229,0.0050500595,Fri 05:00 AM
501,175,0.0047381175,155,0.0029751622,21,0.0030246291,294,0.0064834826,Fri 05:15 AM
502,223,0.0060377154,201,0.0038581136,27,0.0038888089,384,0.0084682221,Fri 05:30 AM
503,280,0.007580988,264,0.005067373,35,0.0050410485,524,0.0115555948,Fri 05:45 AM
504,358,0.0096928346,344,0.0066029406,46,0.0066253781,658,0.0145106514,Fri 06:00 AM
505,402,0.0108841327,401,0.0076970325,53,0.0076335878,703,0.0155030212,Fri 06:15 AM
506,459,0.0124274053,470,0.0090214596,63,0.0090738874,748,0.016495391,Fri 06:30 AM
507,520,0.0140789776,556,0.0106721947,74,0.0106582169,798,0.0175980241,Fri 06:45 AM
508,589,0.0159471497,648,0.0124380974,86,0.0123865764,853,0.0188109205,Fri 07:00 AM
509,573,0.0155139504,653,0.0125340704,87,0.0125306064,838,0.0184801306,Fri 07:15 AM
510,557,0.0150807511,653,0.0125340704,87,0.0125306064,823,0.0181493406,Fri 07:30 AM
511,536,0.014512177,659,0.012649238,88,0.0126746363,813,0.017928814,Fri 07:45 AM
512,524,0.0141872775,665,0.0127644055,89,0.0128186663,798,0.0175980241,Fri 08:00 AM
513,504,0.0136457783,659,0.012649238,88,0.0126746363,768,0.0169364442,Fri 08:15 AM
514,488,0.013212579,653,0.0125340704,87,0.0125306064,748,0.016495391,Fri 08:30 AM
515,471,0.0127523048,653,0.0125340704,87,0.0125306064,728,0.0160543378,Fri 08:45 AM
516,455,0.0123191054,653,0.0125340704,87,0.0125306064,703,0.0155030212,Fri 09:00 AM
517,459,0.0124274053,671,0.0128795731,89,0.0128186663,698,0.0153927579,Fri 09:15 AM
518,463,0.0125357051,699,0.0134170218,93,0.0133947861,688,0.0151722313,Fri 09:30 AM
519,467,0.0126440049,705,0.0135321893,94,0.0135388161,688,0.0151722313,Fri 09:45 AM
520,475,0.0128606046,728,0.013973665,97,0.0139709059,688,0.0151722313,Fri 10:00 AM
521,483,0.0130772042,756,0.0145111137,101,0.0145470258,688,0.0151722313,Fri 10:15 AM
522,496,0.0134291787,791,0.0151829245,105,0.0151231456,688,0.0151722313,Fri 10:30 AM
523,508,0.0137540782,825,0.0158355407,110,0.0158432954,698,0.0153927579,Fri 10:45 AM
524,520,0.0140789776,860,0.0165073515,115,0.0165634452,703,0.0155030212,Fri 11:00 AM
525,528,0.0142955773,883,0.0169488272,118,0.0169955351,703,0.0155030212,Fri 11:15 AM
526,536,0.014512177,905,0.0173711083,121,0.0174276249,703,0.0155030212,Fri 11:30 AM
527,544,0.0147287766,928,0.017812584,124,0.0178597148,708,0.0156132845,Fri 11:45 AM
528,553,0.0149724512,957,0.0183692272,128,0.0184358347,708,0.0156132845,Fri 12:00 PM
529,553,0.0149724512,946,0.0181580867,126,0.0181477747,713,0.0157235478,Fri 12:15 PM
530,557,0.0150807511,934,0.0179277515,124,0.0178597148,718,0.0158338111,Fri 12:30 PM
531,561,0.0151890509,923,0.017716611,123,0.0177156849,723,0.0159440744,Fri 12:45 PM
532,565,0.0152973507,917,0.0176014434,122,0.0175716549,728,0.0160543378,Fri 01:00 PM
533,585,0.0158388499,940,0.0180429191,125,0.0180037448,738,0.0162748644,Fri 01:15 PM
534,601,0.0162720492,951,0.0182540597,127,0.0182918047,743,0.0163851277,Fri 01:30 PM
535,618,0.0167323234,963,0.0184843948,128,0.0184358347,753,0.0166056543,Fri 01:45 PM
536,638,0.0172738226,980,0.0188107029,131,0.0188679245,758,0.0167159176,Fri 02:00 PM
537,678,0.0183568209,1026,0.0196936543,137,0.0197321043,773,0.0170467075,Fri 02:15 PM
538,723,0.0195751939,1072,0.0205766056,143,0.020596284,788,0.0173774975,Fri 02:30 PM
539,772,0.0209018668,1112,0.0213443894,148,0.0213164338,803,0.0177082874,Fri 02:45 PM
540,825,0.0223368395,1163,0.0223233138,155,0.0223246435,818,0.0180390773,Fri 03:00 PM
541,861,0.023311538,1192,0.022879957,159,0.0229007634,828,0.0182596039,Fri 03:15 PM
542,902,0.0244216112,1261,0.024204384,168,0.024197033,833,0.0183698672,Fri 03:30 PM
543,943,0.0255316845,1301,0.0249721678,173,0.0249171828,843,0.0185903939,Fri 03:45 PM
544,987,0.0267229826,1352,0.0259510922,180,0.0259253925,853,0.0188109205,Fri 04:00 PM
545,987,0.0267229826,1364,0.0261814273,182,0.0262134524,843,0.0185903939,Fri 04:15 PM
546,987,0.0267229826,1364,0.0261814273,182,0.0262134524,833,0.0183698672,Fri 04:30 PM
547,991,0.0268312824,1364,0.0261814273,182,0.0262134524,828,0.0182596039,Fri 04:45 PM
548,995,0.0269395822,1370,0.0262965949,183,0.0263574824,818,0.0180390773,Fri 05:00 PM
549,898,0.0243133114,1232,0.0236477408,164,0.0236209131,788,0.0173774975,Fri 05:15 PM
550,809,0.0219036402,1129,0.0216706975,150,0.0216044937,763,0.0168261809,Fri 05:30 PM
551,731,0.0197917936,1026,0.0196936543,137,0.0197321043,733,0.0161646011,Fri 05:45 PM
552,662,0.0179236215,923,0.017716611,123,0.0177156849,708,0.0156132845,Fri 06:00 PM
553,601,0.0162720492,854,0.016392184,114,0.0164194152,673,0.0148414414,Fri 06:15 PM
554,548,0.0148370764,797,0.0152980921,106,0.0152671756,638,0.0140695982,Fri 06:30 PM
555,500,0.0135374785,739,0.0141848056,99,0.0142589659,609,0.013430071,Fri 06:45 PM
556,455,0.0123191054,693,0.0133018542,92,0.0132507562,579,0.0127684912,Fri 07:00 PM
557,427,0.0115610066,659,0.012649238,88,0.0126746363,544,0.011996648,Fri 07:15 PM
558,406,0.0109924325,625,0.0119966218,83,0.0119544865,514,0.0113350681,Fri 07:30 PM
559,382,0.0103426336,596,0.0114399785,79,0.0113783667,484,0.0106734883,Fri 07:45 PM
560,362,0.0098011344,567,0.0108833353,76,0.0109462768,454,0.0100119084,Fri 08:00 PM
561,353,0.0095574598,544,0.0104418596,73,0.010514187,449,0.0099016451,Fri 08:15 PM
562,345,0.0093408602,527,0.0101155515,70,0.0100820971,439,0.0096811185,Fri 08:30 PM
563,337,0.0091242605,510,0.0097892433,68,0.0097940372,429,0.0094605919,Fri 08:45 PM
564,333,0.0090159607,493,0.0094629352,66,0.0095059772,419,0.0092400653,Fri 09:00 PM
565,313,0.0084744615,453,0.0086951514,60,0.0086417975,399,0.008799012,Fri 09:15 PM
566,297,0.0080412622,418,0.0080233406,56,0.0080656777,384,0.0084682221,Fri 09:30 PM
567,280,0.007580988,390,0.007485892,52,0.0074895578,369,0.0081374322,Fri 09:45 PM
568,264,0.0071477887,361,0.0069292487,48,0.006913438,354,0.0078066423,Fri 10:00 PM
