bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
305,124.751,0.003,188.419,0.004,19.195,0.003,125.366,0.003,Wed 04:15 AM
306,156.540,0.004,245.173,0.005,24.459,0.004,159.747,0.004,Wed 04:30 AM
307,196.078,0.005,309.897,0.006,31.126,0.004,203.290,0.004,Wed 04:45 AM
308,246.579,0.007,382.297,0.007,39.720,0.006,259.421,0.006,Wed 05:00 AM
309,313.926,0.008,469.635,0.009,51.089,0.007,333.674,0.007,Wed 05:15 AM
310,389.716,0.011,564.255,0.011,63.984,0.009,417.892,0.009,Wed 05:30 AM
311,460.453,0.012,651.971,0.013,76.425,0.011,499.145,0.011,Wed 05:45 AM
312,514.712,0.014,720.897,0.014,86.821,0.013,567.046,0.013,Wed 06:00 AM
313,556.673,0.015,775.895,0.015,96.164,0.014,628.067,0.014,Wed 06:15 AM
314,589.067,0.016,819.258,0.016,104.393,0.015,681.813,0.015,Wed 06:30 AM
315,610.308,0.017,848.305,0.016,110.473,0.016,721.522,0.016,Wed 06:45 AM
316,618.049,0.017,859.443,0.016,113.321,0.016,740.120,0.016,Wed 07:00 AM
317,608.373,0.016,847.583,0.016,112.297,0.016,733.431,0.016,Wed 07:15 AM
318,587.008,0.016,820.494,0.016,108.779,0.016,710.457,0.016,Wed 07:30 AM
319,563.057,0.015,790.342,0.015,104.665,0.015,683.589,0.015,Wed 07:45 AM
320,544.077,0.015,767.115,0.015,101.498,0.015,662.901,0.015,Wed 08:00 AM
321,526.463,0.014,745.732,0.014,98.426,0.014,642.837,0.014,Wed 08:15 AM
322,509.306,0.014,725.328,0.014,95.388,0.014,622.996,0.014,Wed 08:30 AM
323,495.333,0.013,710.148,0.014,93.168,0.013,608.498,0.013,Wed 08:45 AM
324,487.042,0.013,704.218,0.014,92.503,0.013,604.156,0.013,Wed 09:00 AM
325,484.544,0.013,708.244,0.014,93.497,0.013,610.645,0.013,Wed 09:15 AM
326,486.127,0.013,718.916,0.014,95.568,0.014,624.172,0.014,Wed 09:30 AM
327,490.125,0.013,732.417,0.014,98.088,0.014,640.627,0.014,Wed 09:45 AM
328,495.322,0.013,745.743,0.014,100.557,0.014,656.759,0.014,Wed 10:00 AM
329,503.132,0.014,760.890,0.015,103.331,0.015,674.871,0.015,Wed 10:15 AM
330,512.800,0.014,777.607,0.015,106.342,0.015,694.540,0.015,Wed 10:30 AM
331,522.236,0.014,793.690,0.015,109.182,0.016,713.085,0.016,Wed 10:45 AM
332,529.542,0.014,807.207,0.015,111.505,0.016,728.260,0.016,Wed 11:00 AM
333,534.789,0.014,818.552,0.016,113.433,0.016,740.853,0.016,Wed 11:15 AM
334,539.113,0.015,828.519,0.016,115.055,0.017,751.447,0.017,Wed 11:30 AM
335,543.476,0.015,837.458,0.016,116.327,0.017,759.756,0.017,Wed 11:45 AM
336,548.514,0.015,845.422,0.016,117.149,0.017,765.122,0.017,Wed 12:00 PM
337,553.016,0.015,851.221,0.016,117.239,0.017,765.712,0.017,Wed 12:15 PM
338,557.891,0.015,856.106,0.016,116.967,0.017,763.932,0.017,Wed 12:30 PM
339,565.155,0.015,862.380,0.017,116.943,0.017,763.774,0.017,Wed 12:45 PM
340,576.805,0.016,872.178,0.017,117.710,0.017,768.783,0.017,Wed 01:00 PM
341,593.516,0.016,885.613,0.017,119.176,0.017,778.358,0.017,Wed 01:15 PM
342,613.294,0.017,901.208,0.017,121.096,0.017,790.900,0.017,Wed 01:30 PM
343,633.623,0.017,917.488,0.018,123.334,0.018,805.517,0.018,Wed 01:45 PM
344,652.560,0.018,933.478,0.018,125.815,0.018,821.720,0.018,Wed 02:00 PM
345,671.629,0.018,950.868,0.018,128.759,0.019,840.946,0.019,Wed 02:15 PM
346,690.418,0.019,968.444,0.019,131.975,0.019,861.953,0.019,Wed 02:30 PM
347,707.055,0.019,983.465,0.019,135.071,0.019,882.174,0.019,Wed 02:45 PM
348,720.074,0.019,993.716,0.019,137.794,0.020,899.958,0.020,Wed 03:00 PM
349,730.696,0.020,1000.549,0.019,140.631,0.020,918.489,0.020,Wed 03:15 PM
350,738.523,0.020,1003.908,0.019,143.215,0.021,935.363,0.021,Wed 03:30 PM
351,742.036,0.020,1002.414,0.019,144.735,0.021,945.291,0.021,Wed 03:45 PM
352,739.938,0.020,994.925,0.019,144.470,0.021,943.562,0.021,Wed 04:00 PM
353,732.678,0.020,981.961,0.019,142.515,0.021,930.792,0.021,Wed 04:15 PM
354,720.590,0.020,963.674,0.018,139.226,0.020,909.309,0.020,Wed 04:30 PM
355,703.534,0.019,939.741,0.018,134.832,0.019,880.613,0.019,Wed 04:45 PM
356,681.033,0.018,909.239,0.017,129.412,0.019,845.212,0.019,Wed 05:00 PM
357,651.459,0.018,869.492,0.017,122.364,0.018,799.180,0.018,Wed 05:15 PM
358,616.877,0.017,823.979,0.016,114.288,0.016,746.434,0.016,Wed 05:30 PM
359,580.757,0.016,778.537,0.015,106.326,0.015,694.435,0.015,Wed 05:45 PM
360,545.729,0.015,738.205,0.014,99.459,0.014,649.583,0.014,Wed 06:00 PM
361,509.256,0.014,701.515,0.013,93.388,0.013,609.936,0.013,Wed 06:15 PM
362,472.410,0.013,666.850,0.013,87.813,0.013,573.521,0.013,Wed 06:30 PM
363,438.674,0.012,634.176,0.012,82.750,0.012,540.454,0.012,Wed 06:45 PM
364,411.213,0.011,603.532,0.012,78.249,0.011,511.057,0.011,Wed 07:00 PM
365,389.934,0.011,575.321,0.011,74.467,0.011,486.356,0.011,Wed 07:15 PM
366,372.920,0.010,549.080,0.011,71.204,0.010,465.044,0.010,Wed 07:30 PM
367,358.513,0.010,523.977,0.010,68.116,0.010,444.880,0.010,Wed 07:45 PM
368,345.545,0.009,499.443,0.010,64.931,0.009,424.077,0.009,Wed 08:00 PM
369,335.702,0.009,476.457,0.009,61.815,0.009,403.723,0.009,Wed 08:15 PM
370,327.895,0.009,454.319,0.009,58.760,0.008,383.773,0.008,Wed 08:30 PM
371,319.487,0.009,431.458,0.008,55.601,0.008,363.142,0.008,Wed 08:45 PM
372,308.222,0.008,406.437,0.008,52.175,0.008,340.764,0.008,Wed 09:00 PM
373,294.784,0.008,379.162,0.007,48.445,0.007,316.405,0.007,Wed 09:15 PM
374,279.865,0.008,350.651,0.007,44.554,0.006,290.989,0.006,Wed 09:30 PM
375,263.387,0.007,321.872,0.006,40.670,0.006,265.625,0.006,Wed 09:45 PM
376,245.140,0.007,293.590,0.006,36.926,0.005,241.171,0.005,Wed 10:00 PM
377,224.427,0.006,265.172,0.005,33.233,0.005,217.050,0.005,Wed 10:15 PM
378,202.132,0.005,236.809,0.005,29.603,0.004,193.343,0.004,Wed 10:30 PM
379,179.766,0.005,209.315,0.004,26.136,0.004,170.698,0.004,Wed 10:45 PM
380,158.251,0.004,182.998,0.004,22.876,0.003,149.411,0.003,Wed 11:00 PM
381,135.602,0.004,155.980,0.003,19.624,0.003,128.170,0.003,Wed 11:15 PM
382,113.369,0.003,130.083,0.002,16.566,0.002,108.196,0.002,Wed 11:30 PM
383,94.964,0.003,108.842,0.002,14.077,0.002,91.941,0.002,Wed 11:45 PM
384,84.609,0.002,96.693,0.002,12.598,0.002,82.281,0.002,Thu 12:00 AM
385,78.330,0.002,88.750,0.002,11.456,0.002,74.820,0.002,Thu 12:15 AM
386,70.291,0.002,78.646,0.002,10.006,0.001,65.349,0.001,Thu 12:30 AM
387,62.364,0.002,69.041,0.001,8.647,0.001,56.474,0.001,Thu 12:45 AM
388,56.132,0.002,62.197,0.001,7.728,0.001,50.475,0.001,Thu 01:00 AM
389,50.951,0.001,57.454,0.001,7.177,0.001,46.875,0.001,Thu 01:15 AM
390,46.510,0.001,54.090,0.001,6.850,0.001,44.737,0.001,Thu 01:30 AM
391,43.160,0.001,52.105,0.001,6.684,0.001,43.652,0.001,Thu 01:45 AM
392,41.089,0.001,51.322,0.001,6.609,0.001,43.166,0.001,Thu 02:00 AM
393,39.665,0.001,50.934,0.001,6.575,0.001,42.942,0.001,Thu 02:15 AM
394,39.448,0.001,51.935,0.001,6.682,0.001,43.642,0.001,Thu 02:30 AM
395,41.558,0.001,55.988,0.001,7.071,0.001,46.180,0.001,Thu 02:45 AM
396,46.704,0.001,64.024,0.001,7.806,0.001,50.980,0.001,Thu 03:00 AM
397,53.549,0.001,73.313,0.001,8.601,0.001,56.174,0.001,Thu 03:15 AM
398,63.093,0.002,86.223,0.002,9.725,0.001,63.516,0.001,Thu 03:30 AM
399,77.551,0.002,107.573,0.002,11.709,0.002,76.472,0.002,Thu 03:45 AM
400,98.625,0.003,141.713,0.003,14.969,0.002,97.764,0.002,Thu 04:00 AM
401,124.751,0.003,188.419,0.004,19.195,0.003,125.366,0.003,Thu 04:15 AM
402,156.540,0.004,245.173,0.005,24.459,0.004,159.747,0.004,Thu 04:30 AM
403,196.078,0.005,309.897,0.006,31.126,0.004,203.290,0.004,Thu 04:45 AM
404,246.579,0.007,382.297,0.007,39.720,0.006,259.421,0.006,Thu 05:00 AM
405,313.926,0.008,469.635,0.009,51.089,0.007,333.674,0.007,Thu 05:15 AM
406,389.716,0.011,564.255,0.011,63.984,0.009,417.892,0.009,Thu 05:30 AM
407,460.453,0.012,651.971,0.013,76.425,0.011,499.145,0.011,Thu 05:45 AM
408,514.712,0.014,720.897,0.014,86.821,0.013,567.046,0.013,Thu 06:00 AM
409,556.673,0.015,775.895,0.015,96.164,0.014,628.067,0.014,Thu 06:15 AM
410,589.067,0.016,819.258,0.016,104.393,0.015,681.813,0.015,Thu 06:30 AM
411,610.308,0.017,848.305,0.016,110.473,0.016,721.522,0.016,Thu 06:45 AM
412,618.049,0.017,859.443,0.016,113.321,0.016,740.120,0.016,Thu 07:00 AM
413,608.373,0.016,847.583,0.016,112.297,0.016,733.431,0.016,Thu 07:15 AM
414,587.008,0.016,820.494,0.016,108.779,0.016,710.457,0.016,Thu 07:30 AM
415,563.057,0.015,790.342,0.015,104.665,0.015,683.589,0.015,Thu 07:45 AM
416,544.077,0.015,767.115,0.015,101.498,0.015,662.901,0.015,Thu 08:00 AM
417,526.463,0.014,745.732,0.014,98.426,0.014,642.837,0.014,Thu 08:15 AM
418,509.306,0.014,725.328,0.014,95.388,0.014,622.996,0.014,Thu 08:30 AM
419,495.333,0.013,710.148,0.014,93.168,0.013,608.498,0.013,Thu 08:45 AM
420,487.042,0.013,704.218,0.014,92.503,0.013,604.156,0.013,Thu 09:00 AM
421,484.544,0.013,708.244,0.014,93.497,0.013,610.645,0.013,Thu 09:15 AM
422,486.127,0.013,718.916,0.014,95.568,0.014,624.172,0.014,Thu 09:30 AM
423,490.125,0.013,732.417,0.014,98.088,0.014,640.627,0.014,Thu 09:45 AM
424,495.322,0.013,745.743,0.014,100.557,0.014,656.759,0.014,Thu 10:00 AM
425,503.132,0.014,760.890,0.015,103.331,0.015,674.871,0.015,Thu 10:15 AM
426,512.800,0.014,777.607,0.015,106.342,0.015,694.540,0.015,Thu 10:30 AM
427,522.236,0.014,793.690,0.015,109.182,0.016,713.085,0.016,Thu 10:45 AM
428,529.542,0.014,807.207,0.015,111.505,0.016,728.260,0.016,Thu 11:00 AM
429,534.789,0.014,818.552,0.016,113.433,0.016,740.853,0.016,Thu 11:15 AM
430,539.113,0.015,828.519,0.016,115.055,0.017,751.447,0.017,Thu 11:30 AM
431,543.476,0.015,837.458,0.016,116.327,0.017,759.756,0.017,Thu 11:45 AM
432,548.514,0.015,845.422,0.016,117.149,0.017,765.122,0.017,Thu 12:00 PM
433,553.016,0.015,851.221,0.016,117.239,0.017,765.712,0.017,Thu 12:15 PM
434,557.891,0.015,856.106,0.016,116.967,0.017,763.932,0.017,Thu 12:30 PM
435,565.155,0.015,862.380,0.017,116.943,0.017,763.774,0.017,Thu 12:45 PM
436,576.805,0.016,872.178,0.017,117.710,0.017,768.783,0.017,Thu 01:00 PM
437,593.516,0.016,885.613,0.017,119.176,0.017,778.358,0.017,Thu 01:15 PM
438,613.294,0.017,901.208,0.017,121.096,0.017,790.900,0.017,Thu 01:30 PM
439,633.623,0.017,917.488,0.018,123.334,0.018,805.517,0.018,Thu 01:45 PM
440,652.560,0.018,933.478,0.018,125.815,0.018,821.720,0.018,Thu 02:00 PM
441,671.629,0.018,950.868,0.018,128.759,0.019,840.946,0.019,Thu 02:15 PM
442,690.418,0.019,968.444,0.019,131.975,0.019,861.953,0.019,Thu 02:30 PM
443,707.055,0.019,983.465,0.019,135.071,0.019,882.174,0.019,Thu 02:45 PM
444,720.074,0.019,993.716,0.019,137.794,0.020,899.958,0.020,Thu 03:00 PM
445,730.696,0.020,1000.549,0.019,140.631,0.020,918.489,0.020,Thu 03:15 PM
446,738.523,0.020,1003.908,0.019,143.215,0.021,935.363,0.021,Thu 03:30 PM
447,742.036,0.020,1002.414,0.019,144.735,0.021,945.291,0.021,Thu 03:45 PM
448,739.938,0.020,994.925,0.019,144.470,0.021,943.562,0.021,Thu 04:00 PM
449,732.678,0.020,981.961,0.019,142.515,0.021,930.792,0.021,Thu 04:15 PM
450,720.590,0.020,963.674,0.018,139.226,0.020,909.309,0.020,Thu 04:30 PM
451,703.534,0.019,939.741,0.018,134.832,0.019,880.613,0.019,Thu 04:45 PM
452,681.033,0.018,909.239,0.017,129.412,0.019,845.212,0.019,Thu 05:00 PM
453,651.459,0.018,869.492,0.017,122.364,0.018,799.180,0.018,Thu 05:15 PM
454,616.877,0.017,823.979,0.016,114.288,0.016,746.434,0.016,Thu 05:30 PM
455,580.757,0.016,778.537,0.015,106.326,0.015,694.435,0.015,Thu 05:45 PM
456,545.729,0.015,738.205,0.014,99.459,0.014,649.583,0.014,Thu 06:00 PM
457,509.256,0.014,701.515,0.013,93.388,0.013,609.936,0.013,Thu 06:15 PM
458,472.410,0.013,666.850,0.013,87.813,0.013,573.521,0.013,Thu 06:30 PM
459,438.674,0.012,634.176,0.012,82.750,0.012,540.454,0.012,Thu 06:45 PM
460,411.213,0.011,603.532,0.012,78.249,0.011,511.057,0.011,Thu 07:00 PM
461,389.934,0.011,575.321,0.011,74.467,0.011,486.356,0.011,Thu 07:15 PM
462,372.920,0.010,549.080,0.011,71.204,0.010,465.044,0.010,Thu 07:30 PM
463,358.513,0.010,523.977,0.010,68.116,0.010,444.880,0.010,Thu 07:45 PM
464,345.545,0.009,499.443,0.010,64.931,0.009,424.077,0.009,Thu 08:00 PM
465,335.702,0.009,476.457,0.009,61.815,0.009,403.723,0.009,Thu 08:15 PM
466,327.895,0.009,454.319,0.009,58.760,0.008,383.773,0.008,Thu 08:30 PM
467,319.487,0.009,431.458,0.008,55.601,0.008,363.142,0.008,Thu 08:45 PM
468,308.222,0.008,406.437,0.008,52.175,0.008,340.764,0.008,Thu 09:00 PM
469,294.784,0.008,379.162,0.007,48.445,0.007,316.405,0.007,Thu 09:15 PM
470,279.865,0.008,350.651,0.007,44.554,0.006,290.989,0.006,Thu 09:30 PM
471,263.387,0.007,321.872,0.006,40.670,0.006,265.625,0.006,Thu 09:45 PM
472,245.140,0.007,293.590,0.006,36.926,0.005,241.171,0.005,Thu 10:00 PM
473,224.427,0.006,265.172,0.005,33.233,0.005,217.050,0.005,Thu 10:15 PM
474,202.132,0.005,236.809,0.005,29.603,0.004,193.343,0.004,Thu 10:30 PM
475,179.766,0.005,209.315,0.004,26.136,0.004,170.698,0.004,Thu 10:45 PM
476,158.251,0.004,182.998,0.004,22.876,0.003,149.411,0.003,Thu 11:00 PM
477,135.602,0.004,155.980,0.003,19.624,0.003,128.170,0.003,Thu 11:15 PM
478,113.369,0.003,130.083,0.002,16.566,0.002,108.196,0.002,Thu 11:30 PM
479,94.964,0.003,108.842,0.002,14.077,0.002,91.941,0.002,Thu 11:45 PM
480,88.638,0.002,101.297,0.002,13.198,0.002,86.199,0.002,Fri 12:00 AM
481,82.060,0.002,92.976,0.002,12.001,0.002,78.382,0.002,Fri 12:15 AM
482,73.638,0.002,82.391,0.002,10.482,0.002,68.461,0.002,Fri 12:30 AM
483,65.334,0.002,72.328,0.001,9.059,0.001,59.163,0.001,Fri 12:45 AM
484,58.805,0.002,65.159,0.001,8.096,0.001,52.878,0.001,Fri 01:00 AM
485,53.377,0.001,60.190,0.001,7.519,0.001,49.107,0.001,Fri 01:15 AM
486,48.725,0.001,56.666,0.001,7.176,0.001,46.868,0.001,Fri 01:30 AM
487,45.215,0.001,54.586,0.001,7.002,0.001,45.731,0.001,Fri 01:45 AM
488,43.045,0.001,53.766,0.001,6.924,0.001,45.222,0.001,Fri 02:00 AM
489,41.554,0.001,53.359,0.001,6.888,0.001,44.987,0.001,Fri 02:15 AM
490,41.327,0.001,54.408,0.001,7.000,0.001,45.721,0.001,Fri 02:30 AM
491,43.537,0.001,58.655,0.001,7.407,0.001,48.379,0.001,Fri 02:45 AM
492,48.928,0.001,67.073,0.001,8.177,0.001,53.407,0.001,Fri 03:00 AM
493,56.099,0.002,76.804,0.001,9.010,0.001,58.849,0.001,Fri 03:15 AM
494,66.098,0.002,90.329,0.002,10.188,0.001,66.541,0.001,Fri 03:30 AM
495,81.244,0.002,112.696,0.002,12.266,0.002,80.113,0.002,Fri 03:45 AM
496,103.321,0.003,148.462,0.003,15.682,0.002,102.420,0.002,Fri 04:00 AM
497,130.692,0.004,197.391,0.004,20.109,0.003,131.336,0.003,Fri 04:15 AM
498,163.995,0.004,256.848,0.005,25.624,0.004,167.354,0.004,Fri 04:30 AM
499,205.415,0.006,324.654,0.006,32.608,0.005,212.970,0.005,Fri 04:45 AM
500,258.321,0.007,400.501,0.008,41.612,0.006,271.774,0.006,Fri 05:00 AM
501,328.875,0.009,491.999,0.009,53.522,0.008,349.563,0.008,Fri 05:15 AM
502,408.274,0.011,591.124,0.011,67.031,0.010,437.792,0.010,Fri 05:30 AM
503,482.380,0.013,683.017,0.013,80.064,0.012,522.913,0.012,Fri 05:45 AM
504,539.222,0.015,755.225,0.014,90.956,0.013,594.048,0.013,Fri 06:00 AM
505,583.182,0.016,812.842,0.016,100.744,0.015,657.975,0.015,Fri 06:15 AM
506,617.118,0.017,858.270,0.016,109.365,0.016,714.280,0.016,Fri 06:30 AM
507,639.370,0.017,888.701,0.017,115.734,0.017,755.881,0.017,Fri 06:45 AM
508,647.480,0.018,900.369,0.017,118.717,0.017,775.364,0.017,Fri 07:00 AM
509,637.343,0.017,887.944,0.017,117.644,0.017,768.356,0.017,Fri 07:15 AM
510,614.961,0.017,859.565,0.016,113.959,0.016,744.288,0.016,Fri 07:30 AM
511,589.869,0.016,827.977,0.016,109.649,0.016,716.141,0.016,Fri 07:45 AM
512,569.986,0.015,803.644,0.015,106.331,0.015,694.468,0.015,Fri 08:00 AM
513,551.533,0.015,781.243,0.015,103.113,0.015,673.448,0.015,Fri 08:15 AM
514,533.559,0.014,759.867,0.015,99.930,0.014,652.663,0.014,Fri 08:30 AM
515,518.920,0.014,743.964,0.014,97.605,0.014,637.474,0.014,Fri 08:45 AM
516,510.234,0.014,737.752,0.014,96.908,0.014,632.925,0.014,Fri 09:00 AM
517,507.618,0.014,741.970,0.014,97.949,0.014,639.724,0.014,Fri 09:15 AM
518,509.275,0.014,753.151,0.014,100.119,0.014,653.895,0.014,Fri 09:30 AM
519,513.464,0.014,767.294,0.015,102.758,0.015,671.133,0.015,Fri 09:45 AM
520,518.908,0.014,781.254,0.015,105.346,0.015,688.033,0.015,Fri 10:00 AM
521,527.091,0.014,797.123,0.015,108.251,0.016,707.008,0.016,Fri 10:15 AM
522,537.219,0.015,814.636,0.016,111.406,0.016,727.613,0.016,Fri 10:30 AM
523,547.104,0.015,831.485,0.016,114.381,0.016,747.042,0.016,Fri 10:45 AM
524,554.758,0.015,845.645,0.016,116.815,0.017,762.939,0.017,Fri 11:00 AM
525,560.255,0.015,857.531,0.016,118.835,0.017,776.132,0.017,Fri 11:15 AM
526,564.785,0.015,867.972,0.017,120.534,0.017,787.231,0.017,Fri 11:30 AM
527,569.356,0.015,877.337,0.017,121.867,0.018,795.935,0.018,Fri 11:45 AM
528,574.634,0.016,885.681,0.017,122.728,0.018,801.556,0.018,Fri 12:00 PM
529,579.351,0.016,891.755,0.017,122.822,0.018,802.175,0.018,Fri 12:15 PM
530,584.457,0.016,896.873,0.017,122.537,0.018,800.309,0.018,Fri 12:30 PM
531,592.067,0.016,903.446,0.017,122.511,0.018,800.145,0.018,Fri 12:45 PM
532,604.272,0.016,913.710,0.018,123.315,0.018,805.392,0.018,Fri 01:00 PM
533,621.778,0.017,927.785,0.018,124.851,0.018,815.423,0.018,Fri 01:15 PM
534,642.499,0.017,944.123,0.018,126.862,0.018,828.562,0.018,Fri 01:30 PM
535,663.796,0.018,961.178,0.018,129.207,0.019,843.875,0.019,Fri 01:45 PM
536,683.634,0.019,977.929,0.019,131.806,0.019,860.849,0.019,Fri 02:00 PM
537,703.611,0.019,996.147,0.019,134.890,0.019,880.991,0.019,Fri 02:15 PM
538,723.295,0.020,1014.560,0.019,138.260,0.020,902.998,0.020,Fri 02:30 PM
539,740.725,0.020,1030.297,0.020,141.503,0.020,924.183,0.020,Fri 02:45 PM
540,754.364,0.020,1041.036,0.020,144.356,0.021,942.813,0.021,Fri 03:00 PM
541,765.492,0.021,1048.194,0.020,147.328,0.021,962.227,0.021,Fri 03:15 PM
542,773.690,0.021,1051.713,0.020,150.035,0.022,979.904,0.022,Fri 03:30 PM
543,777.371,0.021,1050.148,0.020,151.627,0.022,990.304,0.022,Fri 03:45 PM
544,775.173,0.021,1042.303,0.020,151.350,0.022,988.494,0.022,Fri 04:00 PM
545,767.568,0.021,1028.721,0.020,149.302,0.022,975.116,0.022,Fri 04:15 PM
546,754.904,0.020,1009.563,0.019,145.856,0.021,952.610,0.021,Fri 04:30 PM
547,737.036,0.020,984.491,0.019,141.253,0.020,922.547,0.020,Fri 04:45 PM
548,713.463,0.019,952.536,0.018,135.574,0.020,885.460,0.020,Fri 05:00 PM
549,682.480,0.018,910.896,0.017,128.191,0.018,837.236,0.018,Fri 05:15 PM
550,646.253,0.017,863.216,0.017,119.730,0.017,781.978,0.017,Fri 05:30 PM
551,608.412,0.016,815.610,0.016,111.389,0.016,727.504,0.016,Fri 05:45 PM
552,571.717,0.015,773.357,0.015,104.195,0.015,680.516,0.015,Fri 06:00 PM
553,533.506,0.014,734.921,0.014,97.835,0.014,638.980,0.014,Fri 06:15 PM
554,494.905,0.013,698.605,0.013,91.994,0.013,600.832,0.013,Fri 06:30 PM
555,459.563,0.012,664.375,0.013,86.690,0.012,566.190,0.012,Fri 06:45 PM
556,430.794,0.012,632.271,0.012,81.975,0.012,535.393,0.012,Fri 07:00 PM
557,408.502,0.011,602.718,0.012,78.013,0.011,509.515,0.011,Fri 07:15 PM
558,390.678,0.011,575.227,0.011,74.594,0.011,487.189,0.011,Fri 07:30 PM
559,375.585,0.010,548.928,0.011,71.360,0.010,466.064,0.010,Fri 07:45 PM
560,361.999,0.010,523.226,0.010,68.023,0.010,444.272,0.010,Fri 08:00 PM
561,351.688,0.010,499.145,0.010,64.758,0.009,422.948,0.009,Fri 08:15 PM
562,343.509,0.009,475.953,0.009,61.558,0.009,402.048,0.009,Fri 08:30 PM
563,334.701,0.009,452.004,0.009,58.249,0.008,380.434,0.008,Fri 08:45 PM
564,322.899,0.009,425.791,0.008,54.659,0.008,356.990,0.008,Fri 09:00 PM
565,308.821,0.008,397.218,0.008,50.752,0.007,331.472,0.007,Fri 09:15 PM
566,293.192,0.008,367.349,0.007,46.675,0.007,304.845,0.007,Fri 09:30 PM
567,275.929,0.007,337.199,0.006,42.607,0.006,278.274,0.006,Fri 09:45 PM
568,256.813,0.007,307.571,0.006,38.684,0.006,252.655,0.006,Fri 10:00 PM
569,235.114,0.006,277.800,0.005,34.815,0.005,227.386,0.005,Fri 10:15 PM
570,211.757,0.006,248.085,0.005,31.013,0.004,202.550,0.004,Fri 10:30 PM
571,188.327,0.005,219.283,0.004,27.380,0.004,178.827,0.004,Fri 10:45 PM
572,165.786,0.004,191.712,0.004,23.966,0.003,156.525,0.003,Fri 11:00 PM
573,142.060,0.004,163.407,0.003,20.559,0.003,134.274,0.003,Fri 11:15 PM
574,118.768,0.003,136.278,0.003,17.355,0.002,113.349,0.002,Fri 11:30 PM
575,99.486,0.003,114.025,0.002,14.748,0.002,96.319,0.002,Fri 11:45 PM
576,154.328,0.004,198.820,0.004,26.496,0.004,173.053,0.004,Sat 12:00 AM
577,143.751,0.004,184.824,0.004,24.631,0.004,160.870,0.004,Sat 12:15 AM
578,130.169,0.004,166.809,0.003,22.230,0.003,145.191,0.003,Sat 12:30 AM
579,116.630,0.003,148.561,0.003,19.798,0.003,129.307,0.003,Sat 12:45 AM
580,105.753,0.003,133.298,0.003,17.764,0.003,116.023,0.003,Sat 01:00 AM
581,96.825,0.003,119.903,0.002,15.979,0.002,104.363,0.002,Sat 01:15 AM
582,88.953,0.002,107.543,0.002,14.332,0.002,93.605,0.002,Sat 01:30 AM
583,82.012,0.002,96.562,0.002,12.869,0.002,84.047,0.002,Sat 01:45 AM
584,75.839,0.002,87.217,0.002,11.623,0.002,75.913,0.002,Sat 02:00 AM
585,70.208,0.002,79.260,0.002,10.563,0.002,68.988,0.002,Sat 02:15 AM
586,65.472,0.002,72.803,0.001,9.702,0.001,63.368,0.001,Sat 02:30 AM
587,62.174,0.002,68.180,0.001,9.086,0.001,59.344,0.001,Sat 02:45 AM
588,60.748,0.002,65.634,0.001,8.747,0.001,57.128,0.001,Sat 03:00 AM
589,60.921,0.002,64.837,0.001,8.641,0.001,56.434,0.001,Sat 03:15 AM
590,62.709,0.002,66.000,0.001,8.796,0.001,57.446,0.001,Sat 03:30 AM
591,66.429,0.002,69.629,0.001,9.279,0.001,60.605,0.001,Sat 03:45 AM
592,72.296,0.002,76.151,0.001,10.149,0.001,66.282,0.001,Sat 04:00 AM
593,80.101,0.002,85.365,0.002,11.376,0.002,74.301,0.002,Sat 04:15 AM
594,89.927,0.002,97.223,0.002,12.957,0.002,84.622,0.002,Sat 04:30 AM
595,102.087,0.003,111.885,0.002,14.911,0.002,97.384,0.002,Sat 04:45 AM
596,117.078,0.003,129.688,0.002,17.283,0.002,112.880,0.002,Sat 05:00 AM
597,135.929,0.004,151.304,0.003,20.164,0.003,131.694,0.003,Sat 05:15 AM
598,157.207,0.004,175.793,0.003,23.428,0.003,153.010,0.003,Sat 05:30 AM
599,178.607,0.005,201.601,0.004,26.867,0.004,175.473,0.004,Sat 05:45 AM
600,198.060,0.005,227.356,0.004,30.299,0.004,197.890,0.004,Sat 06:00 AM
601,215.741,0.006,253.243,0.005,33.749,0.005,220.422,0.005,Sat 06:15 AM
602,232.774,0.006,279.941,0.005,37.307,0.005,243.660,0.005,Sat 06:30 AM
603,250.013,0.007,307.868,0.006,41.029,0.006,267.968,0.006,Sat 06:45 AM
604,268.222,0.007,337.436,0.006,44.969,0.006,293.703,0.006,Sat 07:00 AM
605,287.402,0.008,368.705,0.007,49.137,0.007,320.920,0.007,Sat 07:15 AM
606,307.068,0.008,401.354,0.008,53.488,0.008,349.337,0.008,Sat 07:30 AM
607,326.789,0.009,435.033,0.008,57.976,0.008,378.652,0.008,Sat 07:45 AM
608,346.202,0.009,469.576,0.009,62.579,0.009,408.718,0.009,Sat 08:00 AM
609,365.382,0.010,505.647,0.010,67.387,0.010,440.114,0.010,Sat 08:15 AM
610,384.489,0.010,542.642,0.010,72.317,0.010,472.314,0.010,Sat 08:30 AM
611,403.570,0.011,579.346,0.011,77.208,0.011,504.262,0.011,Sat 08:45 AM
612,422.763,0.011,614.831,0.012,81.937,0.012,535.148,0.012,Sat 09:00 AM
613,442.435,0.012,649.903,0.012,86.611,0.012,565.675,0.012,Sat 09:15 AM
