bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
61,530.817,0.014,777.856,0.015,103.663,0.015,677.045,0.015,Sun 03:15 PM
62,529.579,0.014,769.758,0.015,102.584,0.015,669.996,0.015,Sun 03:30 PM
63,527.076,0.014,759.718,0.015,101.246,0.015,661.257,0.015,Sun 03:45 PM
64,522.916,0.014,747.452,0.014,99.611,0.014,650.581,0.014,Sun 04:00 PM
65,517.511,0.014,732.919,0.014,97.675,0.014,637.931,0.014,Sun 04:15 PM
66,510.668,0.014,716.348,0.014,95.466,0.014,623.508,0.014,Sun 04:30 PM
67,501.783,0.014,697.967,0.013,93.017,0.013,607.509,0.013,Sun 04:45 PM
68,490.233,0.013,677.828,0.013,90.333,0.013,589.980,0.013,Sun 05:00 PM
69,475.595,0.013,655.259,0.013,87.325,0.013,570.337,0.013,Sun 05:15 PM
70,458.726,0.012,630.961,0.012,84.087,0.012,549.187,0.012,Sun 05:30 PM
71,440.812,0.012,606.221,0.012,80.790,0.012,527.653,0.012,Sun 05:45 PM
72,422.699,0.011,582.068,0.011,77.571,0.011,506.631,0.011,Sun 06:00 PM
73,403.283,0.011,557.740,0.011,74.329,0.011,485.456,0.011,Sun 06:15 PM
74,383.224,0.010,533.408,0.010,71.086,0.010,464.278,0.010,Sun 06:30 PM
75,364.189,0.010,509.998,0.010,67.966,0.010,443.901,0.010,Sun 06:45 PM
76,347.675,0.009,488.350,0.009,65.081,0.009,425.059,0.009,Sun 07:00 PM
77,333.516,0.009,468.490,0.009,62.435,0.009,407.773,0.009,Sun 07:15 PM
78,320.943,0.009,449.852,0.009,59.951,0.009,391.550,0.009,Sun 07:30 PM
79,309.411,0.008,431.913,0.008,57.560,0.008,375.936,0.008,Sun 07:45 PM
80,298.573,0.008,414.267,0.008,55.209,0.008,360.577,0.008,Sun 08:00 PM
81,289.043,0.008,397.391,0.008,52.960,0.008,345.888,0.008,Sun 08:15 PM
82,280.380,0.008,381.024,0.007,50.778,0.007,331.643,0.007,Sun 08:30 PM
83,271.554,0.007,364.482,0.007,48.574,0.007,317.244,0.007,Sun 08:45 PM
84,261.638,0.007,347.044,0.007,46.250,0.007,302.066,0.007,Sun 09:00 PM
85,250.691,0.007,328.342,0.006,43.758,0.006,285.789,0.006,Sun 09:15 PM
86,239.241,0.006,309.237,0.006,41.211,0.006,269.159,0.006,Sun 09:30 PM
87,227.720,0.006,290.869,0.006,38.764,0.006,253.172,0.006,Sun 09:45 PM
88,216.466,0.006,274.256,0.005,36.550,0.005,238.712,0.005,Sun 10:00 PM
89,205.246,0.006,259.265,0.005,34.552,0.005,225.663,0.005,Sun 10:15 PM
90,194.095,0.005,245.398,0.005,32.704,0.005,213.594,0.005,Sun 10:30 PM
91,183.290,0.005,232.345,0.004,30.964,0.004,202.232,0.004,Sun 10:45 PM
92,172.910,0.005,219.679,0.004,29.276,0.004,191.208,0.004,Sun 11:00 PM
93,162.219,0.004,206.762,0.004,27.555,0.004,179.966,0.004,Sun 11:15 PM
94,151.960,0.004,194.563,0.004,25.929,0.004,169.347,0.004,Sun 11:30 PM
95,143.545,0.004,184.606,0.004,24.602,0.004,160.681,0.004,Sun 11:45 PM
96,84.609,0.002,96.693,0.002,12.598,0.002,82.281,0.002,Mon 12:00 AM
97,78.330,0.002,88.750,0.002,11.456,0.002,74.820,0.002,Mon 12:15 AM
98,70.291,0.002,78.646,0.002,10.006,0.001,65.349,0.001,Mon 12:30 AM
99,62.364,0.002,69.041,0.001,8.647,0.001,56.474,0.001,Mon 12:45 AM
100,56.132,0.002,62.197,0.001,7.728,0.001,50.475,0.001,Mon 01:00 AM
101,50.951,0.001,57.454,0.001,7.177,0.001,46.875,0.001,Mon 01:15 AM
102,46.510,0.001,54.090,0.001,6.850,0.001,44.737,0.001,Mon 01:30 AM
103,43.160,0.001,52.105,0.001,6.684,0.001,43.652,0.001,Mon 01:45 AM
104,41.089,0.001,51.322,0.001,6.609,0.001,43.166,0.001,Mon 02:00 AM
105,39.665,0.001,50.934,0.001,6.575,0.001,42.942,0.001,Mon 02:15 AM
106,39.448,0.001,51.935,0.001,6.682,0.001,43.642,0.001,Mon 02:30 AM
107,41.558,0.001,55.988,0.001,7.071,0.001,46.180,0.001,Mon 02:45 AM
108,46.704,0.001,64.024,0.001,7.806,0.001,50.980,0.001,Mon 03:00 AM
109,53.549,0.001,73.313,0.001,8.601,0.001,56.174,0.001,Mon 03:15 AM
110,63.093,0.002,86.223,0.002,9.725,0.001,63.516,0.001,Mon 03:30 AM
111,77.551,0.002,107.573,0.002,11.709,0.002,76.472,0.002,Mon 03:45 AM
112,98.625,0.003,141.713,0.003,14.969,0.002,97.764,0.002,Mon 04:00 AM
113,124.751,0.003,188.419,0.004,19.195,0.003,125.366,0.003,Mon 04:15 AM
114,156.540,0.004,245.173,0.005,24.459,0.004,159.747,0.004,Mon 04:30 AM
115,196.078,0.005,309.897,0.006,31.126,0.004,203.290,0.004,Mon 04:45 AM
116,246.579,0.007,382.297,0.007,39.720,0.006,259.421,0.006,Mon 05:00 AM
117,313.926,0.008,469.635,0.009,51.089,0.007,333.674,0.007,Mon 05:15 AM
118,389.716,0.011,564.255,0.011,63.984,0.009,417.892,0.009,Mon 05:30 AM
119,460.453,0.012,651.971,0.013,76.425,0.011,499.145,0.011,Mon 05:45 AM
120,514.712,0.014,720.897,0.014,86.821,0.013,567.046,0.013,Mon 06:00 AM
121,556.673,0.015,775.895,0.015,96.164,0.014,628.067,0.014,Mon 06:15 AM
122,589.067,0.016,819.258,0.016,104.393,0.015,681.813,0.015,Mon 06:30 AM
123,610.308,0.017,848.305,0.016,110.473,0.016,721.522,0.016,Mon 06:45 AM
124,618.049,0.017,859.443,0.016,113.321,0.016,740.120,0.016,Mon 07:00 AM
125,608.373,0.016,847.583,0.016,112.297,0.016,733.431,0.016,Mon 07:15 AM
126,587.008,0.016,820.494,0.016,108.779,0.016,710.457,0.016,Mon 07:30 AM
127,563.057,0.015,790.342,0.015,104.665,0.015,683.589,0.015,Mon 07:45 AM
