bin,vol_diff
0,22.81899999999999
1,17.221000000000004
2,14.295000000000002
3,14.328999999999994
4,11.997
5,13.933999999999997
6,12.930999999999997
7,13.099999999999994
8,12.587000000000003
9,8.593000000000004
10,3.8029999999999973
11,0.7340000000000018
12,-3.9979999999999976
13,-4.152000000000001
14,-8.741999999999997
15,-12.048000000000002
16,-17.263000000000005
17,-18.200999999999993
18,-20.935000000000002
19,-22.744
20,-27.069999999999993
21,-31.825999999999993
22,-33.739000000000004
23,-34.762
24,-28.052999999999997
25,-31.77000000000001
26,-29.909999999999997
27,-30.233000000000004
28,-25.419999999999987
29,-30.468999999999994
30,-33.94900000000001
31,-33.48000000000002
32,-32.735000000000014
33,-34.78399999999999
34,-34.76799999999997
35,-30.728999999999985
36,-29.788999999999987
37,-30.27600000000001
38,-29.762
39,-28.545000000000016
40,-23.072000000000003
41,-26.75400000000002
42,-25.502999999999986
43,-22.824000000000012
44,-18.31400000000002
45,-15.115999999999985
46,-11.336999999999989
47,-4.913000000000011
48,3.3519999999999754
49,2.16700000000003
50,2.6369999999999436
51,3.258000000000038
52,2.6760000000000446
53,1.1100000000000136
54,-0.8170000000000073
55,-2.729000000000042
56,-4.3419999999999845
57,0.03899999999998727
58,-1.4329999999999927
59,0.6689999999999827
60,3.6660000000000537
61,4.182999999999993
62,5.421000000000049
63,7.923999999999978
64,12.083999999999946
65,14.489000000000033
66,15.331999999999994
67,18.216999999999985
68,23.766999999999996
69,26.404999999999973
70,29.274
71,35.18799999999999
72,38.30099999999999
73,33.716999999999985
74,33.77600000000001
75,34.81099999999998
76,33.32499999999999
77,29.48399999999998
78,25.057000000000016
79,18.589
80,14.427000000000021
81,14.956999999999994
82,14.620000000000005
83,15.446000000000026
84,16.362000000000023
85,18.308999999999997
86,20.758999999999986
87,23.28
88,25.533999999999992
89,19.75399999999999
90,15.905000000000001
91,14.710000000000008
92,13.090000000000003
93,14.781000000000006
94,19.039999999999992
95,21.455000000000013
96,27.391000000000005
97,18.67
98,14.709000000000003
99,11.636000000000003
100,9.868000000000002
101,7.0489999999999995
102,7.490000000000002
103,6.840000000000003
104,8.911000000000001
105,7.335000000000001
106,7.552
107,1.4420000000000002
108,-3.7040000000000006
109,-6.5489999999999995
110,-13.093000000000004
111,-23.551000000000002
112,-40.625
113,-54.751000000000005
114,-71.53999999999999
115,-91.078
116,-114.57900000000001
117,-146.926
118,-176.716
119,-192.45299999999997
120,-173.712
121,-172.673
122,-151.067
123,-114.30799999999999
124,-56.04899999999998
125,-61.37300000000005
126,-56.00800000000004
127,-51.057000000000016
128,-44.077
129,-45.462999999999965
130,-44.30599999999998
131,-45.33300000000003
132,-53.04199999999997
133,-46.54399999999998
134,-44.12700000000001
135,-44.125
136,-41.322
137,-41.132000000000005
138,-39.799999999999955
139,-37.23599999999999
140,-33.54200000000003
141,-30.788999999999987
142,-27.113000000000056
143,-23.476
144,-21.51400000000001
145,-26.015999999999963
146,-26.890999999999963
147,-30.154999999999973
148,-37.80499999999995
149,-35.51599999999996
150,-39.29399999999998
151,-44.62300000000005
152,-43.559999999999945
153,-23.62900000000002
154,-0.41800000000000637
155,29.94500000000005
156,66.92600000000004
157,91.30399999999997
158,122.47699999999998
159,157.96400000000006
160,202.062
161,209.322
162,221.40999999999997
163,242.466
164,268.967
165,205.54100000000005
166,155.12300000000005
167,117.24300000000005
168,86.27099999999996
169,64.74400000000003
170,51.589999999999975
171,38.32600000000002
172,22.786999999999978
173,17.065999999999974
174,15.079999999999984
175,6.487000000000023
176,-0.5450000000000159
177,1.2980000000000018
178,2.105000000000018
179,2.512999999999977
180,9.77800000000002
181,4.216000000000008
182,3.134999999999991
183,4.6129999999999995
184,6.860000000000014
185,12.573000000000008
186,14.867999999999995
187,26.23400000000001
188,31.748999999999995
189,31.397999999999996
190,33.631
191,33.036
192,27.391000000000005
193,18.67
194,14.709000000000003
195,11.636000000000003
196,9.868000000000002
197,7.0489999999999995
198,7.490000000000002
199,6.840000000000003
200,8.911000000000001
201,7.335000000000001
202,7.552
203,1.4420000000000002
204,-3.7040000000000006
205,-6.5489999999999995
206,-13.093000000000004
207,-23.551000000000002
208,-40.625
209,-54.751000000000005
210,-71.53999999999999
211,-91.078
212,-114.57900000000001
213,-146.926
214,-176.716
215,-192.45299999999997
216,-173.712
217,-172.673
218,-151.067
219,-114.30799999999999
220,-56.04899999999998
221,-61.37300000000005
222,-56.00800000000004
223,-51.057000000000016
224,-44.077
225,-45.462999999999965
226,-44.30599999999998
227,-45.33300000000003
228,-53.04199999999997
229,-46.54399999999998
230,-44.12700000000001
231,-44.125
232,-41.322
233,-41.132000000000005
234,-39.799999999999955
235,-37.23599999999999
236,-33.54200000000003
237,-30.788999999999987
238,-27.113000000000056
239,-23.476
240,-21.51400000000001
241,-26.015999999999963
242,-26.890999999999963
243,-30.154999999999973
244,-37.80499999999995
245,-35.51599999999996
246,-39.29399999999998
247,-44.62300000000005
248,-43.559999999999945
249,-23.62900000000002
250,-0.41800000000000637
251,29.94500000000005
252,66.92600000000004
253,91.30399999999997
254,122.47699999999998
255,157.96400000000006
256,202.062
257,209.322
258,221.40999999999997
259,242.466
260,268.967
261,205.54100000000005
262,155.12300000000005
263,117.24300000000005
264,86.27099999999996
265,64.74400000000003
266,51.589999999999975
267,38.32600000000002
268,22.786999999999978
269,17.065999999999974
270,15.079999999999984
271,6.487000000000023
272,-0.5450000000000159
273,1.2980000000000018
274,2.105000000000018
275,2.512999999999977
276,9.77800000000002
277,4.216000000000008
278,3.134999999999991
