bin,vol_diff,cattlab_pct,avail_pct
548,281.53700000000003,2.69395822,1.9317000000000002
164,268.967,2.57212092,1.8439
260,268.967,2.57212092,1.8439
356,268.967,2.57212092,1.8439
452,268.967,2.57212092,1.8439
547,253.96400000000006,2.68312824,1.9955
163,242.466,2.56129093,1.9047999999999998
259,242.466,2.56129093,1.9047999999999998
355,242.466,2.56129093,1.9047999999999998
451,242.466,2.56129093,1.9047999999999998
546,232.096,2.67229826,2.0439
162,221.40999999999997,2.55046095,1.951
258,221.40999999999997,2.55046095,1.951
354,221.40999999999997,2.55046095,1.951
450,221.40999999999997,2.55046095,1.951
545,219.43200000000002,2.67229826,2.0782
549,215.51999999999998,2.4313311399999997,1.8478
544,211.827,2.67229826,2.0987999999999998
161,209.322,2.55046095,1.9837
257,209.322,2.55046095,1.9837
353,209.322,2.55046095,1.9837
449,209.322,2.55046095,1.9837
165,205.54100000000005,2.32032382,1.7638
261,205.54100000000005,2.32032382,1.7638
357,205.54100000000005,2.32032382,1.7638
453,205.54100000000005,2.32032382,1.7638
503,-202.38,0.7580988000000001,1.306
160,202.062,2.55046095,2.0034
256,202.062,2.55046095,2.0034
352,202.062,2.55046095,2.0034
448,202.062,2.55046095,2.0034
119,-192.45299999999997,0.72560885,1.2467000000000001
215,-192.45299999999997,0.72560885,1.2467000000000001
311,-192.45299999999997,0.72560885,1.2467000000000001
407,-192.45299999999997,0.72560885,1.2467000000000001
502,-185.274,0.60377154,1.1054
504,-181.22199999999998,0.96928346,1.4599000000000002
505,-181.18200000000002,1.08841327,1.5789999999999997
118,-176.716,0.57669658,1.0552000000000001
214,-176.716,0.57669658,1.0552000000000001
310,-176.716,0.57669658,1.0552000000000001
406,-176.716,0.57669658,1.0552000000000001
120,-173.712,0.92325603,1.3936
216,-173.712,0.92325603,1.3936
312,-173.712,0.92325603,1.3936
408,-173.712,0.92325603,1.3936
121,-172.673,1.03967835,1.5072
217,-172.673,1.03967835,1.5072
313,-172.673,1.03967835,1.5072
409,-172.673,1.03967835,1.5072
543,165.62900000000002,2.55316845,2.1047
550,162.74699999999996,2.19036402,1.7496999999999998
506,-158.11800000000005,1.2427405299999998,1.6708
159,157.96400000000006,2.43674613,2.0091
255,157.96400000000006,2.43674613,2.0091
351,157.96400000000006,2.43674613,2.0091
447,157.96400000000006,2.43674613,2.0091
166,155.12300000000005,2.09018668,1.6702000000000001
262,155.12300000000005,2.09018668,1.6702000000000001
358,155.12300000000005,2.09018668,1.6702000000000001
454,155.12300000000005,2.09018668,1.6702000000000001
501,-153.875,0.47381175,0.8904000000000001
122,-151.067,1.18588312,1.5949000000000002
218,-151.067,1.18588312,1.5949000000000002
314,-151.067,1.18588312,1.5949000000000002
410,-151.067,1.18588312,1.5949000000000002
117,-146.926,0.45215178000000006,0.8500000000000001
213,-146.926,0.45215178000000006,0.8500000000000001
309,-146.926,0.45215178000000006,0.8500000000000001
405,-146.926,0.45215178000000006,0.8500000000000001
542,128.30999999999995,2.4421611199999997,2.0948
551,122.58799999999997,1.97917936,1.6473000000000002
158,122.47699999999998,2.3311538,1.9994999999999998
254,122.47699999999998,2.3311538,1.9994999999999998
350,122.47699999999998,2.3311538,1.9994999999999998
446,122.47699999999998,2.3311538,1.9994999999999998
500,-120.32100000000003,0.37363441,0.6994
507,-119.37,1.40789776,1.7311
167,117.24300000000005,1.889832,1.5723999999999998
263,117.24300000000005,1.889832,1.5723999999999998
359,117.24300000000005,1.889832,1.5723999999999998
455,117.24300000000005,1.889832,1.5723999999999998
116,-114.57900000000001,0.35738943,0.6676
212,-114.57900000000001,0.35738943,0.6676
308,-114.57900000000001,0.35738943,0.6676
404,-114.57900000000001,0.35738943,0.6676
123,-114.30799999999999,1.34291787,1.6524
219,-114.30799999999999,1.34291787,1.6524
315,-114.30799999999999,1.34291787,1.6524
411,-114.30799999999999,1.34291787,1.6524
541,95.50800000000004,2.3311538,2.0726
499,-95.41499999999999,0.29782453000000003,0.5562
157,91.30399999999997,2.2255614699999997,1.9784
253,91.30399999999997,2.2255614699999997,1.9784
349,91.30399999999997,2.2255614699999997,1.9784
445,91.30399999999997,2.2255614699999997,1.9784
115,-91.078,0.28428705,0.5309
211,-91.078,0.28428705,0.5309
307,-91.078,0.28428705,0.5309
403,-91.078,0.28428705,0.5309
