day,"sum(""120P04340"")","sum(""120N05397"")","sum(""120+14882"")","sum(""120-07060"")"
Sun,36934.51399999999,52097.983,6942.994999999998,45345.991
Mon,36934.481,52097.999000000025,6943.003000000001,45346.02600000003
Tue,36934.481,52097.999000000025,6943.003000000001,45346.02600000003
Wed,36934.481,52097.999000000025,6943.003000000001,45346.02600000003
Thu,36934.481,52097.999000000025,6943.003000000001,45346.02600000003
Fri,36934.481,52097.999000000025,6943.003000000001,45346.02600000003
Sat,36934.51399999999,52097.983,6942.994999999998,45345.991
