bin,diff
0,0.06179930999999999
1,0.04658688000000002
2,0.03867444000000002
3,0.03878448999999999
4,0.03249454000000002
5,0.03774957000000001
6,0.03498959999999997
7,0.03544463000000001
8,0.03409966000000001
9,0.023232189999999982
10,0.010264730000000008
11,0.00201976
12,-0.010825209999999991
13,-0.01122521
14,-0.02364769999999999
15,-0.032647699999999995
16,-0.0467477
17,-0.049302729999999996
18,-0.056657750000000014
19,-0.061590290000000006
20,-0.07332283000000003
21,-0.08613288
22,-0.09130545999999998
23,-0.09407052999999997
24,-0.07599064000000004
25,-0.08600068999999999
26,-0.08097325999999999
27,-0.08186082999999998
28,-0.06880341999999998
29,-0.08251347000000006
30,-0.09190852999999997
31,-0.09067360000000009
32,-0.08863868000000005
33,-0.0942262499999999
34,-0.09409882000000011
35,-0.08324140999999996
36,-0.08060649000000003
37,-0.08197906000000002
38,-0.08054414000000007
39,-0.0773092099999999
40,-0.062451809999999885
41,-0.07246934999999999
42,-0.06905691999999994
43,-0.061844480000000125
44,-0.04963204999999995
45,-0.04094210000000001
46,-0.03065963999999994
47,-0.013269699999999933
48,0.009120250000000003
49,0.005820249999999999
50,0.007120249999999911
51,0.00882025000000005
52,0.007220250000000011
53,0.0030202499999999743
54,-0.002179750000000022
55,-0.007379750000000018
56,-0.011779750000000082
57,6.523000000008272e-05
58,-0.0038347700000000012
59,0.0017877100000000812
60,0.009910200000000022
61,0.011310200000000034
62,0.014710199999999965
63,0.0214101999999999
64,0.032710199999999925
65,0.039187710000000014
66,0.04154273999999996
67,0.04929775999999997
68,0.06435278999999995
69,0.07146284000000003
70,0.07925789999999999
71,0.09526795000000012
72,0.10365551999999989
73,0.09127561999999999
74,0.09142570999999995
75,0.09429078999999996
76,0.09025586000000005
77,0.07982093999999995
78,0.06779351000000006
79,0.0503585899999999
80,0.03904615000000014
81,0.04047869000000006
82,0.039611230000000025
83,0.04185127
84,0.044283809999999965
85,0.04961634000000001
86,0.056248880000000015
87,0.06298142000000004
88,0.06911396000000006
89,0.05348652999999995
90,0.04307410000000001
91,0.03978414999999992
92,0.035394199999999945
93,0.04002674000000003
94,0.05158177000000007
95,0.05813678999999996
96,0.07413951999999999
97,0.050527079999999974
98,0.03983713000000001
99,0.03145468
100,0.026694719999999988
101,0.01913475000000001
102,0.020304770000000007
103,0.01847479000000002
104,0.024174790000000015
105,0.019852299999999993
106,0.020452300000000007
107,0.003922320000000019
108,-0.010077679999999995
109,-0.017747699999999988
110,-0.035425210000000006
111,-0.06379523
112,-0.10996525
113,-0.1482753
114,-0.19366286999999996
115,-0.24661295000000003
116,-0.31021056999999996
117,-0.39784822000000003
118,-0.47850342000000007
119,-0.5210911500000001
120,-0.4703439700000001
121,-0.46752165000000007
122,-0.4090168800000002
123,-0.30948212999999997
124,-0.1517874199999998
125,-0.1661998500000001
126,-0.15161978000000007
127,-0.1382622
128,-0.11935214999999992
129,-0.12309456999999996
130,-0.11991449999999987
131,-0.12272693000000001
132,-0.14364687000000004
133,-0.1260168800000001
134,-0.11948689999999995
135,-0.11945692000000005
136,-0.11189694999999988
137,-0.11133699000000011
138,-0.10775452999999997
139,-0.10086457999999993
140,-0.09078213000000002
141,-0.0833221700000001
142,-0.07336219999999997
143,-0.06360224
144,-0.05824977000000002
145,-0.07044977000000008
146,-0.07281978000000001
147,-0.08168979999999999
148,-0.10235982000000016
149,-0.09611740000000005
150,-0.10639747000000012
151,-0.12078503000000004
152,-0.11793512000000013
153,-0.06394278999999996
154,-0.0011279700000001863
155,0.08112433000000002
156,0.18119912000000016
157,0.24716146999999994
158,0.3316538000000001
159,0.42764612999999996
160,0.5470609500000001
161,0.56676095
162,0.5994609500000001
163,0.6564909300000001
164,0.72822092
165,0.5565238199999999
166,0.41998667999999967
167,0.31743200000000016
168,0.23353728000000007
169,0.17530253000000007
170,0.13972775000000004
171,0.10377544999999999
172,0.061653130000000056
173,0.04625074999999989
174,0.04080833000000006
175,0.017535930000000047
176,-0.0015139799999999357
177,0.0035260500000000236
178,0.0056735799999999
179,0.006813620000000083
180,0.026483629999999973
181,0.01144120999999991
182,0.008521279999999971
183,0.01250884999999995
184,0.01858891999999999
185,0.03407648000000006
186,0.040226570000000045
187,0.07104411000000005
188,0.08592418000000004
189,0.08505178000000005
190,0.09110186999999997
191,0.08945945
192,0.07413951999999999
193,0.050527079999999974
194,0.03983713000000001
195,0.03145468
196,0.026694719999999988
197,0.01913475000000001
198,0.020304770000000007
199,0.01847479000000002
200,0.024174790000000015
201,0.019852299999999993
202,0.020452300000000007
203,0.003922320000000019
204,-0.010077679999999995
205,-0.017747699999999988
206,-0.035425210000000006
207,-0.06379523
208,-0.10996525
209,-0.1482753
210,-0.19366286999999996
211,-0.24661295000000003
212,-0.31021056999999996
213,-0.39784822000000003
214,-0.47850342000000007
215,-0.5210911500000001
216,-0.4703439700000001
217,-0.46752165000000007
218,-0.4090168800000002
219,-0.30948212999999997
220,-0.1517874199999998
221,-0.1661998500000001
222,-0.15161978000000007
223,-0.1382622
224,-0.11935214999999992
225,-0.12309456999999996
226,-0.11991449999999987
227,-0.12272693000000001
228,-0.14364687000000004
229,-0.1260168800000001
230,-0.11948689999999995
231,-0.11945692000000005
232,-0.11189694999999988
233,-0.11133699000000011
234,-0.10775452999999997
235,-0.10086457999999993
236,-0.09078213000000002
237,-0.0833221700000001
238,-0.07336219999999997
239,-0.06360224
240,-0.05824977000000002
241,-0.07044977000000008
242,-0.07281978000000001
243,-0.08168979999999999
244,-0.10235982000000016
245,-0.09611740000000005
