bin,diff
0,0.08506328410054709
1,0.060642076827676694
2,0.04888658637194676
3,0.03953823180788352
4,0.03395023587034604
5,0.02565240490829268
6,0.02626966952941487
7,0.02407481375206534
8,0.02942938180110477
9,0.024973172497045157
10,0.025528257467298088
11,0.009269942248546645
12,-0.004003501600020706
13,-0.010835045294405793
14,-0.027314907332234323
15,-0.053771970830541194
16,-0.0972769976834642
17,-0.13215673324077634
18,-0.17351330129757855
19,-0.2213168051725508
20,-0.27842713558691357
21,-0.3573257152943184
22,-0.42822130859278673
23,-0.46170556103871574
24,-0.40396494574767916
25,-0.3957346593212545
26,-0.3330702738944227
27,-0.23079617638578465
28,-0.07207284166789063
29,-0.0877355909492199
30,-0.07595008045494267
31,-0.06564558032225132
32,-0.049188351039149536
33,-0.05520482527208359
34,-0.054295423245666274
35,-0.05887555966653446
36,-0.0808188481575447
37,-0.0635437310483491
38,-0.056799137288650936
39,-0.056277130250193874
40,-0.04801649241189554
41,-0.04649698102289945
42,-0.041641580812392665
43,-0.033480422785534536
44,-0.022544427296790515
45,-0.014416970614417934
46,-0.0038962764507470826
47,0.0065046291769388365
48,0.012468289364142349
49,0.0008598972010283035
50,-0.0008759521704975182
51,-0.00877464568417885
52,-0.027980629566479065
53,-0.019635471052052766
54,-0.02731076565769608
55,-0.039129564860064914
56,-0.0338110072906983
57,0.022610721430960545
58,0.08787290839700845
59,0.1722372979047535
60,0.2740331887920555
61,0.34142225961888206
62,0.4268216177531756
63,0.5233497570533177
64,0.642479335230588
65,0.661202886164777
66,0.6923713762176085
67,0.7471742381589566
68,0.8160317498527458
69,0.6404917678269464
70,0.4995359552796219
71,0.39231174050822504
72,0.30393761889725823
73,0.24095099835351408
74,0.20058179501818207
75,0.16031744718871566
76,0.11471256765782045
77,0.09648104612238795
78,0.08890016952530588
79,0.06378780733291023
80,0.043076822666118675
81,0.04680220215314279
82,0.04796951253363213
83,0.04798504793888514
84,0.06622026299366546
85,0.049421069191259326
86,0.04457384179071633
87,0.046443082853133255
88,0.05017420460000488
89,0.06297753928057104
90,0.06631220311113006
91,0.09421032883347485
92,0.10636389482006842
93,0.10250440980063602
94,0.10567249758692032
95,0.10168757198893486
