bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
307,186.741,0.005,295.140,0.006,29.644,0.004,193.609,0.004,Wed 04:45 AM
308,234.837,0.006,364.092,0.007,37.829,0.005,247.068,0.005,Wed 05:00 AM
309,298.977,0.008,447.272,0.009,48.657,0.007,317.785,0.007,Wed 05:15 AM
310,371.158,0.010,537.386,0.010,60.937,0.009,397.993,0.009,Wed 05:30 AM
311,438.527,0.012,620.925,0.012,72.786,0.010,475.376,0.010,Wed 05:45 AM
312,490.202,0.013,686.568,0.013,82.687,0.012,540.044,0.012,Wed 06:00 AM
313,530.165,0.014,738.948,0.014,91.585,0.013,598.159,0.013,Wed 06:15 AM
314,561.017,0.015,780.246,0.015,99.422,0.014,649.346,0.014,Wed 06:30 AM
315,581.246,0.016,807.910,0.016,105.213,0.015,687.164,0.015,Wed 06:45 AM
316,588.618,0.016,818.517,0.016,107.925,0.016,704.876,0.016,Wed 07:00 AM
317,579.403,0.016,807.222,0.015,106.949,0.015,698.505,0.015,Wed 07:15 AM
318,559.055,0.015,781.423,0.015,103.599,0.015,676.626,0.015,Wed 07:30 AM
319,536.245,0.015,752.707,0.014,99.681,0.014,651.037,0.014,Wed 07:45 AM
320,518.169,0.014,730.586,0.014,96.665,0.014,631.334,0.014,Wed 08:00 AM
321,501.393,0.014,710.221,0.014,93.739,0.014,612.225,0.014,Wed 08:15 AM
322,485.053,0.013,690.788,0.013,90.846,0.013,593.330,0.013,Wed 08:30 AM
323,471.746,0.013,676.331,0.013,88.732,0.013,579.522,0.013,Wed 08:45 AM
324,463.849,0.013,670.684,0.013,88.098,0.013,575.386,0.013,Wed 09:00 AM
325,461.471,0.012,674.518,0.013,89.045,0.013,581.567,0.013,Wed 09:15 AM
326,462.978,0.013,684.682,0.013,91.017,0.013,594.450,0.013,Wed 09:30 AM
327,466.786,0.013,697.540,0.013,93.417,0.013,610.121,0.013,Wed 09:45 AM
328,471.735,0.013,710.231,0.014,95.769,0.014,625.485,0.014,Wed 10:00 AM
329,479.173,0.013,724.657,0.014,98.410,0.014,642.734,0.014,Wed 10:15 AM
330,488.381,0.013,740.578,0.014,101.278,0.015,661.467,0.015,Wed 10:30 AM
331,497.367,0.013,755.895,0.015,103.983,0.015,679.129,0.015,Wed 10:45 AM
332,504.326,0.014,768.769,0.015,106.195,0.015,693.581,0.015,Wed 11:00 AM
333,509.323,0.014,779.574,0.015,108.032,0.016,705.575,0.016,Wed 11:15 AM
334,513.441,0.014,789.066,0.015,109.577,0.016,715.664,0.016,Wed 11:30 AM
335,517.596,0.014,797.579,0.015,110.788,0.016,723.577,0.016,Wed 11:45 AM
336,522.394,0.014,805.164,0.015,111.571,0.016,728.688,0.016,Wed 12:00 PM
337,526.682,0.014,810.687,0.016,111.657,0.016,729.250,0.016,Wed 12:15 PM
338,531.325,0.014,815.339,0.016,111.397,0.016,727.554,0.016,Wed 12:30 PM
339,538.243,0.015,821.315,0.016,111.374,0.016,727.404,0.016,Wed 12:45 PM
340,549.338,0.015,830.645,0.016,112.104,0.016,732.175,0.016,Wed 01:00 PM
341,565.253,0.015,843.441,0.016,113.501,0.016,741.294,0.016,Wed 01:15 PM
342,584.090,0.016,858.294,0.016,115.329,0.017,753.238,0.017,Wed 01:30 PM
343,603.451,0.016,873.798,0.017,117.461,0.017,767.159,0.017,Wed 01:45 PM
344,621.486,0.017,889.026,0.017,119.824,0.017,782.590,0.017,Wed 02:00 PM
345,639.646,0.017,905.588,0.017,122.627,0.018,800.901,0.018,Wed 02:15 PM
346,657.541,0.018,922.327,0.018,125.691,0.018,820.908,0.018,Wed 02:30 PM
347,673.386,0.018,936.633,0.018,128.639,0.019,840.166,0.019,Wed 02:45 PM
348,685.785,0.019,946.397,0.018,131.232,0.019,857.103,0.019,Wed 03:00 PM
349,695.901,0.019,952.904,0.018,133.935,0.019,874.752,0.019,Wed 03:15 PM
350,703.355,0.019,956.102,0.018,136.395,0.020,890.822,0.020,Wed 03:30 PM
351,706.701,0.019,954.680,0.018,137.843,0.020,900.277,0.020,Wed 03:45 PM
352,704.703,0.019,947.548,0.018,137.591,0.020,898.631,0.020,Wed 04:00 PM
353,697.789,0.019,935.201,0.018,135.729,0.020,886.469,0.020,Wed 04:15 PM
354,686.276,0.019,917.784,0.018,132.596,0.019,866.009,0.019,Wed 04:30 PM
355,670.032,0.018,894.992,0.017,128.411,0.018,838.679,0.018,Wed 04:45 PM
356,648.603,0.018,865.942,0.017,123.249,0.018,804.964,0.018,Wed 05:00 PM
357,620.437,0.017,828.087,0.016,116.537,0.017,761.124,0.017,Wed 05:15 PM
358,587.502,0.016,784.742,0.015,108.845,0.016,710.889,0.016,Wed 05:30 PM
359,553.102,0.015,741.464,0.014,101.263,0.015,661.367,0.015,Wed 05:45 PM
360,519.742,0.014,703.052,0.013,94.723,0.014,618.651,0.014,Wed 06:00 PM
361,485.005,0.013,668.110,0.013,88.941,0.013,580.891,0.013,Wed 06:15 PM
362,449.914,0.012,635.095,0.012,83.631,0.012,546.211,0.012,Wed 06:30 PM
363,417.785,0.011,603.977,0.012,78.809,0.011,514.718,0.011,Wed 06:45 PM
364,391.631,0.011,574.792,0.011,74.523,0.011,486.721,0.011,Wed 07:00 PM
365,371.365,0.010,547.925,0.011,70.921,0.010,463.196,0.010,Wed 07:15 PM
366,355.162,0.010,522.934,0.010,67.813,0.010,442.899,0.010,Wed 07:30 PM
367,341.441,0.009,499.026,0.010,64.873,0.009,423.695,0.009,Wed 07:45 PM
368,329.090,0.009,475.660,0.009,61.839,0.009,403.883,0.009,Wed 08:00 PM
369,319.716,0.009,453.768,0.009,58.871,0.008,384.498,0.008,Wed 08:15 PM
370,312.281,0.008,432.684,0.008,55.962,0.008,365.498,0.008,Wed 08:30 PM
371,304.274,0.008,410.913,0.008,52.954,0.008,345.849,0.008,Wed 08:45 PM
372,293.544,0.008,387.083,0.007,49.690,0.007,324.537,0.007,Wed 09:00 PM
373,280.747,0.008,361.107,0.007,46.138,0.007,301.338,0.007,Wed 09:15 PM
374,266.538,0.007,333.953,0.006,42.432,0.006,277.132,0.006,Wed 09:30 PM
375,250.844,0.007,306.545,0.006,38.734,0.006,252.976,0.006,Wed 09:45 PM
376,233.467,0.006,279.610,0.005,35.168,0.005,229.687,0.005,Wed 10:00 PM
377,213.740,0.006,252.545,0.005,31.650,0.005,206.714,0.005,Wed 10:15 PM
378,192.506,0.005,225.532,0.004,28.193,0.004,184.137,0.004,Wed 10:30 PM
379,171.206,0.005,199.348,0.004,24.891,0.004,162.570,0.004,Wed 10:45 PM
380,150.715,0.004,174.283,0.003,21.787,0.003,142.296,0.003,Wed 11:00 PM
381,129.145,0.003,148.552,0.003,18.690,0.003,122.067,0.003,Wed 11:15 PM
382,107.971,0.003,123.889,0.002,15.777,0.002,103.044,0.002,Wed 11:30 PM
383,90.442,0.002,103.659,0.002,13.407,0.002,87.563,0.002,Wed 11:45 PM
384,80.580,0.002,92.088,0.002,11.998,0.002,78.362,0.002,Thu 12:00 AM
385,74.600,0.002,84.524,0.002,10.910,0.002,71.257,0.002,Thu 12:15 AM
386,66.944,0.002,74.901,0.001,9.529,0.001,62.237,0.001,Thu 12:30 AM
387,59.394,0.002,65.753,0.001,8.235,0.001,53.785,0.001,Thu 12:45 AM
388,53.459,0.001,59.235,0.001,7.360,0.001,48.071,0.001,Thu 01:00 AM
389,48.525,0.001,54.719,0.001,6.835,0.001,44.643,0.001,Thu 01:15 AM
390,44.296,0.001,51.515,0.001,6.524,0.001,42.607,0.001,Thu 01:30 AM
391,41.104,0.001,49.623,0.001,6.365,0.001,41.573,0.001,Thu 01:45 AM
392,39.132,0.001,48.878,0.001,6.295,0.001,41.111,0.001,Thu 02:00 AM
393,37.777,0.001,48.508,0.001,6.262,0.001,40.898,0.001,Thu 02:15 AM
394,37.570,0.001,49.462,0.001,6.364,0.001,41.564,0.001,Thu 02:30 AM
395,39.579,0.001,53.322,0.001,6.734,0.001,43.981,0.001,Thu 02:45 AM
396,44.480,0.001,60.975,0.001,7.434,0.001,48.552,0.001,Thu 03:00 AM
397,50.999,0.001,69.822,0.001,8.191,0.001,53.499,0.001,Thu 03:15 AM
398,60.089,0.002,82.117,0.002,9.262,0.001,60.492,0.001,Thu 03:30 AM
399,73.858,0.002,102.451,0.002,11.151,0.002,72.830,0.002,Thu 03:45 AM
400,93.928,0.003,134.965,0.003,14.256,0.002,93.109,0.002,Thu 04:00 AM
401,118.811,0.003,179.446,0.003,18.281,0.003,119.396,0.003,Thu 04:15 AM
402,149.086,0.004,233.498,0.004,23.294,0.003,152.140,0.003,Thu 04:30 AM
403,186.741,0.005,295.140,0.006,29.644,0.004,193.609,0.004,Thu 04:45 AM
404,234.837,0.006,364.092,0.007,37.829,0.005,247.068,0.005,Thu 05:00 AM
405,298.977,0.008,447.272,0.009,48.657,0.007,317.785,0.007,Thu 05:15 AM
406,371.158,0.010,537.386,0.010,60.937,0.009,397.993,0.009,Thu 05:30 AM
407,438.527,0.012,620.925,0.012,72.786,0.010,475.376,0.010,Thu 05:45 AM
408,490.202,0.013,686.568,0.013,82.687,0.012,540.044,0.012,Thu 06:00 AM
409,530.165,0.014,738.948,0.014,91.585,0.013,598.159,0.013,Thu 06:15 AM
410,561.017,0.015,780.246,0.015,99.422,0.014,649.346,0.014,Thu 06:30 AM
411,581.246,0.016,807.910,0.016,105.213,0.015,687.164,0.015,Thu 06:45 AM
412,588.618,0.016,818.517,0.016,107.925,0.016,704.876,0.016,Thu 07:00 AM
413,579.403,0.016,807.222,0.015,106.949,0.015,698.505,0.015,Thu 07:15 AM
414,559.055,0.015,781.423,0.015,103.599,0.015,676.626,0.015,Thu 07:30 AM
415,536.245,0.015,752.707,0.014,99.681,0.014,651.037,0.014,Thu 07:45 AM
416,518.169,0.014,730.586,0.014,96.665,0.014,631.334,0.014,Thu 08:00 AM
417,501.393,0.014,710.221,0.014,93.739,0.014,612.225,0.014,Thu 08:15 AM
418,485.053,0.013,690.788,0.013,90.846,0.013,593.330,0.013,Thu 08:30 AM
419,471.746,0.013,676.331,0.013,88.732,0.013,579.522,0.013,Thu 08:45 AM
420,463.849,0.013,670.684,0.013,88.098,0.013,575.386,0.013,Thu 09:00 AM
421,461.471,0.012,674.518,0.013,89.045,0.013,581.567,0.013,Thu 09:15 AM
422,462.978,0.013,684.682,0.013,91.017,0.013,594.450,0.013,Thu 09:30 AM
423,466.786,0.013,697.540,0.013,93.417,0.013,610.121,0.013,Thu 09:45 AM
424,471.735,0.013,710.231,0.014,95.769,0.014,625.485,0.014,Thu 10:00 AM
425,479.173,0.013,724.657,0.014,98.410,0.014,642.734,0.014,Thu 10:15 AM
426,488.381,0.013,740.578,0.014,101.278,0.015,661.467,0.015,Thu 10:30 AM
427,497.367,0.013,755.895,0.015,103.983,0.015,679.129,0.015,Thu 10:45 AM
428,504.326,0.014,768.769,0.015,106.195,0.015,693.581,0.015,Thu 11:00 AM
429,509.323,0.014,779.574,0.015,108.032,0.016,705.575,0.016,Thu 11:15 AM
430,513.441,0.014,789.066,0.015,109.577,0.016,715.664,0.016,Thu 11:30 AM
431,517.596,0.014,797.579,0.015,110.788,0.016,723.577,0.016,Thu 11:45 AM
432,522.394,0.014,805.164,0.015,111.571,0.016,728.688,0.016,Thu 12:00 PM
433,526.682,0.014,810.687,0.016,111.657,0.016,729.250,0.016,Thu 12:15 PM
434,531.325,0.014,815.339,0.016,111.397,0.016,727.554,0.016,Thu 12:30 PM
435,538.243,0.015,821.315,0.016,111.374,0.016,727.404,0.016,Thu 12:45 PM
436,549.338,0.015,830.645,0.016,112.104,0.016,732.175,0.016,Thu 01:00 PM
437,565.253,0.015,843.441,0.016,113.501,0.016,741.294,0.016,Thu 01:15 PM
438,584.090,0.016,858.294,0.016,115.329,0.017,753.238,0.017,Thu 01:30 PM
439,603.451,0.016,873.798,0.017,117.461,0.017,767.159,0.017,Thu 01:45 PM
440,621.486,0.017,889.026,0.017,119.824,0.017,782.590,0.017,Thu 02:00 PM
441,639.646,0.017,905.588,0.017,122.627,0.018,800.901,0.018,Thu 02:15 PM
442,657.541,0.018,922.327,0.018,125.691,0.018,820.908,0.018,Thu 02:30 PM
443,673.386,0.018,936.633,0.018,128.639,0.019,840.166,0.019,Thu 02:45 PM
444,685.785,0.019,946.397,0.018,131.232,0.019,857.103,0.019,Thu 03:00 PM
445,695.901,0.019,952.904,0.018,133.935,0.019,874.752,0.019,Thu 03:15 PM
446,703.355,0.019,956.102,0.018,136.395,0.020,890.822,0.020,Thu 03:30 PM
447,706.701,0.019,954.680,0.018,137.843,0.020,900.277,0.020,Thu 03:45 PM
448,704.703,0.019,947.548,0.018,137.591,0.020,898.631,0.020,Thu 04:00 PM
449,697.789,0.019,935.201,0.018,135.729,0.020,886.469,0.020,Thu 04:15 PM
450,686.276,0.019,917.784,0.018,132.596,0.019,866.009,0.019,Thu 04:30 PM
451,670.032,0.018,894.992,0.017,128.411,0.018,838.679,0.018,Thu 04:45 PM
452,648.603,0.018,865.942,0.017,123.249,0.018,804.964,0.018,Thu 05:00 PM
453,620.437,0.017,828.087,0.016,116.537,0.017,761.124,0.017,Thu 05:15 PM
454,587.502,0.016,784.742,0.015,108.845,0.016,710.889,0.016,Thu 05:30 PM
455,553.102,0.015,741.464,0.014,101.263,0.015,661.367,0.015,Thu 05:45 PM
456,519.742,0.014,703.052,0.013,94.723,0.014,618.651,0.014,Thu 06:00 PM
457,485.005,0.013,668.110,0.013,88.941,0.013,580.891,0.013,Thu 06:15 PM
458,449.914,0.012,635.095,0.012,83.631,0.012,546.211,0.012,Thu 06:30 PM
459,417.785,0.011,603.977,0.012,78.809,0.011,514.718,0.011,Thu 06:45 PM
460,391.631,0.011,574.792,0.011,74.523,0.011,486.721,0.011,Thu 07:00 PM
461,371.365,0.010,547.925,0.011,70.921,0.010,463.196,0.010,Thu 07:15 PM
462,355.162,0.010,522.934,0.010,67.813,0.010,442.899,0.010,Thu 07:30 PM
463,341.441,0.009,499.026,0.010,64.873,0.009,423.695,0.009,Thu 07:45 PM
464,329.090,0.009,475.660,0.009,61.839,0.009,403.883,0.009,Thu 08:00 PM
465,319.716,0.009,453.768,0.009,58.871,0.008,384.498,0.008,Thu 08:15 PM
466,312.281,0.008,432.684,0.008,55.962,0.008,365.498,0.008,Thu 08:30 PM
467,304.274,0.008,410.913,0.008,52.954,0.008,345.849,0.008,Thu 08:45 PM
468,293.544,0.008,387.083,0.007,49.690,0.007,324.537,0.007,Thu 09:00 PM
469,280.747,0.008,361.107,0.007,46.138,0.007,301.338,0.007,Thu 09:15 PM
470,266.538,0.007,333.953,0.006,42.432,0.006,277.132,0.006,Thu 09:30 PM
471,250.844,0.007,306.545,0.006,38.734,0.006,252.976,0.006,Thu 09:45 PM
472,233.467,0.006,279.610,0.005,35.168,0.005,229.687,0.005,Thu 10:00 PM
473,213.740,0.006,252.545,0.005,31.650,0.005,206.714,0.005,Thu 10:15 PM
474,192.506,0.005,225.532,0.004,28.193,0.004,184.137,0.004,Thu 10:30 PM
475,171.206,0.005,199.348,0.004,24.891,0.004,162.570,0.004,Thu 10:45 PM
476,150.715,0.004,174.283,0.003,21.787,0.003,142.296,0.003,Thu 11:00 PM
477,129.145,0.003,148.552,0.003,18.690,0.003,122.067,0.003,Thu 11:15 PM
478,107.971,0.003,123.889,0.002,15.777,0.002,103.044,0.002,Thu 11:30 PM
479,90.442,0.002,103.659,0.002,13.407,0.002,87.563,0.002,Thu 11:45 PM
480,80.580,0.002,92.088,0.002,11.998,0.002,78.362,0.002,Fri 12:00 AM
481,74.600,0.002,84.524,0.002,10.910,0.002,71.257,0.002,Fri 12:15 AM
482,66.944,0.002,74.901,0.001,9.529,0.001,62.237,0.001,Fri 12:30 AM
483,59.394,0.002,65.753,0.001,8.235,0.001,53.785,0.001,Fri 12:45 AM
484,53.459,0.001,59.235,0.001,7.360,0.001,48.071,0.001,Fri 01:00 AM
485,48.525,0.001,54.719,0.001,6.835,0.001,44.643,0.001,Fri 01:15 AM
486,44.296,0.001,51.515,0.001,6.524,0.001,42.607,0.001,Fri 01:30 AM
487,41.104,0.001,49.623,0.001,6.365,0.001,41.573,0.001,Fri 01:45 AM
488,39.132,0.001,48.878,0.001,6.295,0.001,41.111,0.001,Fri 02:00 AM
489,37.777,0.001,48.508,0.001,6.262,0.001,40.898,0.001,Fri 02:15 AM
490,37.570,0.001,49.462,0.001,6.364,0.001,41.564,0.001,Fri 02:30 AM
491,39.579,0.001,53.322,0.001,6.734,0.001,43.981,0.001,Fri 02:45 AM
492,44.480,0.001,60.975,0.001,7.434,0.001,48.552,0.001,Fri 03:00 AM
493,50.999,0.001,69.822,0.001,8.191,0.001,53.499,0.001,Fri 03:15 AM
494,60.089,0.002,82.117,0.002,9.262,0.001,60.492,0.001,Fri 03:30 AM
495,73.858,0.002,102.451,0.002,11.151,0.002,72.830,0.002,Fri 03:45 AM
496,93.928,0.003,134.965,0.003,14.256,0.002,93.109,0.002,Fri 04:00 AM
497,118.811,0.003,179.446,0.003,18.281,0.003,119.396,0.003,Fri 04:15 AM
498,149.086,0.004,233.498,0.004,23.294,0.003,152.140,0.003,Fri 04:30 AM
499,186.741,0.005,295.140,0.006,29.644,0.004,193.609,0.004,Fri 04:45 AM
500,234.837,0.006,364.092,0.007,37.829,0.005,247.068,0.005,Fri 05:00 AM
501,298.977,0.008,447.272,0.009,48.657,0.007,317.785,0.007,Fri 05:15 AM
502,371.158,0.010,537.386,0.010,60.937,0.009,397.993,0.009,Fri 05:30 AM
503,438.527,0.012,620.925,0.012,72.786,0.010,475.376,0.010,Fri 05:45 AM
504,490.202,0.013,686.568,0.013,82.687,0.012,540.044,0.012,Fri 06:00 AM
505,530.165,0.014,738.948,0.014,91.585,0.013,598.159,0.013,Fri 06:15 AM
506,561.017,0.015,780.246,0.015,99.422,0.014,649.346,0.014,Fri 06:30 AM
507,581.246,0.016,807.910,0.016,105.213,0.015,687.164,0.015,Fri 06:45 AM
508,588.618,0.016,818.517,0.016,107.925,0.016,704.876,0.016,Fri 07:00 AM
509,579.403,0.016,807.222,0.015,106.949,0.015,698.505,0.015,Fri 07:15 AM
510,559.055,0.015,781.423,0.015,103.599,0.015,676.626,0.015,Fri 07:30 AM
511,536.245,0.015,752.707,0.014,99.681,0.014,651.037,0.014,Fri 07:45 AM
512,518.169,0.014,730.586,0.014,96.665,0.014,631.334,0.014,Fri 08:00 AM
513,501.393,0.014,710.221,0.014,93.739,0.014,612.225,0.014,Fri 08:15 AM
514,485.053,0.013,690.788,0.013,90.846,0.013,593.330,0.013,Fri 08:30 AM
515,471.746,0.013,676.331,0.013,88.732,0.013,579.522,0.013,Fri 08:45 AM
516,463.849,0.013,670.684,0.013,88.098,0.013,575.386,0.013,Fri 09:00 AM
517,461.471,0.012,674.518,0.013,89.045,0.013,581.567,0.013,Fri 09:15 AM
518,462.978,0.013,684.682,0.013,91.017,0.013,594.450,0.013,Fri 09:30 AM
519,466.786,0.013,697.540,0.013,93.417,0.013,610.121,0.013,Fri 09:45 AM
520,471.735,0.013,710.231,0.014,95.769,0.014,625.485,0.014,Fri 10:00 AM
521,479.173,0.013,724.657,0.014,98.410,0.014,642.734,0.014,Fri 10:15 AM
522,488.381,0.013,740.578,0.014,101.278,0.015,661.467,0.015,Fri 10:30 AM
523,497.367,0.013,755.895,0.015,103.983,0.015,679.129,0.015,Fri 10:45 AM
524,504.326,0.014,768.769,0.015,106.195,0.015,693.581,0.015,Fri 11:00 AM
525,509.323,0.014,779.574,0.015,108.032,0.016,705.575,0.016,Fri 11:15 AM
526,513.441,0.014,789.066,0.015,109.577,0.016,715.664,0.016,Fri 11:30 AM
527,517.596,0.014,797.579,0.015,110.788,0.016,723.577,0.016,Fri 11:45 AM
528,522.394,0.014,805.164,0.015,111.571,0.016,728.688,0.016,Fri 12:00 PM
529,526.682,0.014,810.687,0.016,111.657,0.016,729.250,0.016,Fri 12:15 PM
530,531.325,0.014,815.339,0.016,111.397,0.016,727.554,0.016,Fri 12:30 PM
531,538.243,0.015,821.315,0.016,111.374,0.016,727.404,0.016,Fri 12:45 PM
532,549.338,0.015,830.645,0.016,112.104,0.016,732.175,0.016,Fri 01:00 PM
533,565.253,0.015,843.441,0.016,113.501,0.016,741.294,0.016,Fri 01:15 PM
534,584.090,0.016,858.294,0.016,115.329,0.017,753.238,0.017,Fri 01:30 PM
535,603.451,0.016,873.798,0.017,117.461,0.017,767.159,0.017,Fri 01:45 PM
536,621.486,0.017,889.026,0.017,119.824,0.017,782.590,0.017,Fri 02:00 PM
537,639.646,0.017,905.588,0.017,122.627,0.018,800.901,0.018,Fri 02:15 PM
538,657.541,0.018,922.327,0.018,125.691,0.018,820.908,0.018,Fri 02:30 PM
539,673.386,0.018,936.633,0.018,128.639,0.019,840.166,0.019,Fri 02:45 PM
540,685.785,0.019,946.397,0.018,131.232,0.019,857.103,0.019,Fri 03:00 PM
541,695.901,0.019,952.904,0.018,133.935,0.019,874.752,0.019,Fri 03:15 PM
542,703.355,0.019,956.102,0.018,136.395,0.020,890.822,0.020,Fri 03:30 PM
543,706.701,0.019,954.680,0.018,137.843,0.020,900.277,0.020,Fri 03:45 PM
544,704.703,0.019,947.548,0.018,137.591,0.020,898.631,0.020,Fri 04:00 PM
545,697.789,0.019,935.201,0.018,135.729,0.020,886.469,0.020,Fri 04:15 PM
546,686.276,0.019,917.784,0.018,132.596,0.019,866.009,0.019,Fri 04:30 PM
547,670.032,0.018,894.992,0.017,128.411,0.018,838.679,0.018,Fri 04:45 PM
548,648.603,0.018,865.942,0.017,123.249,0.018,804.964,0.018,Fri 05:00 PM
549,620.437,0.017,828.087,0.016,116.537,0.017,761.124,0.017,Fri 05:15 PM
550,587.502,0.016,784.742,0.015,108.845,0.016,710.889,0.016,Fri 05:30 PM
551,553.102,0.015,741.464,0.014,101.263,0.015,661.367,0.015,Fri 05:45 PM
552,519.742,0.014,703.052,0.013,94.723,0.014,618.651,0.014,Fri 06:00 PM
553,485.005,0.013,668.110,0.013,88.941,0.013,580.891,0.013,Fri 06:15 PM
554,449.914,0.012,635.095,0.012,83.631,0.012,546.211,0.012,Fri 06:30 PM
555,417.785,0.011,603.977,0.012,78.809,0.011,514.718,0.011,Fri 06:45 PM
556,391.631,0.011,574.792,0.011,74.523,0.011,486.721,0.011,Fri 07:00 PM
557,371.365,0.010,547.925,0.011,70.921,0.010,463.196,0.010,Fri 07:15 PM
558,355.162,0.010,522.934,0.010,67.813,0.010,442.899,0.010,Fri 07:30 PM
559,341.441,0.009,499.026,0.010,64.873,0.009,423.695,0.009,Fri 07:45 PM
560,329.090,0.009,475.660,0.009,61.839,0.009,403.883,0.009,Fri 08:00 PM
561,319.716,0.009,453.768,0.009,58.871,0.008,384.498,0.008,Fri 08:15 PM
562,312.281,0.008,432.684,0.008,55.962,0.008,365.498,0.008,Fri 08:30 PM
563,304.274,0.008,410.913,0.008,52.954,0.008,345.849,0.008,Fri 08:45 PM
564,293.544,0.008,387.083,0.007,49.690,0.007,324.537,0.007,Fri 09:00 PM
565,280.747,0.008,361.107,0.007,46.138,0.007,301.338,0.007,Fri 09:15 PM
566,266.538,0.007,333.953,0.006,42.432,0.006,277.132,0.006,Fri 09:30 PM
567,250.844,0.007,306.545,0.006,38.734,0.006,252.976,0.006,Fri 09:45 PM
568,233.467,0.006,279.610,0.005,35.168,0.005,229.687,0.005,Fri 10:00 PM
569,213.740,0.006,252.545,0.005,31.650,0.005,206.714,0.005,Fri 10:15 PM
570,192.506,0.005,225.532,0.004,28.193,0.004,184.137,0.004,Fri 10:30 PM
571,171.206,0.005,199.348,0.004,24.891,0.004,162.570,0.004,Fri 10:45 PM
572,150.715,0.004,174.283,0.003,21.787,0.003,142.296,0.003,Fri 11:00 PM
573,129.145,0.003,148.552,0.003,18.690,0.003,122.067,0.003,Fri 11:15 PM
574,107.971,0.003,123.889,0.002,15.777,0.002,103.044,0.002,Fri 11:30 PM
575,90.442,0.002,103.659,0.002,13.407,0.002,87.563,0.002,Fri 11:45 PM
576,171.476,0.005,220.911,0.004,29.440,0.004,192.281,0.004,Sat 12:00 AM
577,159.723,0.004,205.360,0.004,27.368,0.004,178.745,0.004,Sat 12:15 AM
578,144.632,0.004,185.344,0.004,24.700,0.004,161.323,0.004,Sat 12:30 AM
579,129.588,0.004,165.067,0.003,21.998,0.003,143.674,0.003,Sat 12:45 AM
580,117.503,0.003,148.109,0.003,19.738,0.003,128.914,0.003,Sat 01:00 AM
581,107.583,0.003,133.225,0.003,17.755,0.003,115.959,0.003,Sat 01:15 AM
582,98.837,0.003,119.492,0.002,15.924,0.002,104.006,0.002,Sat 01:30 AM
583,91.125,0.002,107.291,0.002,14.298,0.002,93.386,0.002,Sat 01:45 AM
584,84.266,0.002,96.907,0.002,12.915,0.002,84.348,0.002,Sat 02:00 AM
585,78.009,0.002,88.066,0.002,11.736,0.002,76.653,0.002,Sat 02:15 AM
586,72.746,0.002,80.893,0.002,10.780,0.002,70.409,0.002,Sat 02:30 AM
587,69.082,0.002,75.756,0.001,10.096,0.001,65.938,0.001,Sat 02:45 AM
588,67.498,0.002,72.927,0.001,9.719,0.001,63.475,0.001,Sat 03:00 AM
589,67.690,0.002,72.041,0.001,9.601,0.001,62.704,0.001,Sat 03:15 AM
590,69.677,0.002,73.333,0.001,9.773,0.001,63.829,0.001,Sat 03:30 AM
591,73.810,0.002,77.366,0.001,10.310,0.001,67.339,0.001,Sat 03:45 AM
592,80.329,0.002,84.612,0.002,11.276,0.002,73.646,0.002,Sat 04:00 AM
593,89.001,0.002,94.850,0.002,12.640,0.002,82.557,0.002,Sat 04:15 AM
594,99.919,0.003,108.025,0.002,14.396,0.002,94.025,0.002,Sat 04:30 AM
595,113.430,0.003,124.316,0.002,16.567,0.002,108.205,0.002,Sat 04:45 AM
596,130.087,0.004,144.098,0.003,19.204,0.003,125.423,0.003,Sat 05:00 AM
597,151.033,0.004,168.115,0.003,22.404,0.003,146.327,0.003,Sat 05:15 AM
598,174.674,0.005,195.326,0.004,26.031,0.004,170.011,0.004,Sat 05:30 AM
599,198.453,0.005,224.001,0.004,29.852,0.004,194.970,0.004,Sat 05:45 AM
600,220.067,0.006,252.618,0.005,33.666,0.005,219.878,0.005,Sat 06:00 AM
601,239.712,0.006,281.381,0.005,37.499,0.005,244.914,0.005,Sat 06:15 AM
602,258.638,0.007,311.046,0.006,41.452,0.006,270.734,0.006,Sat 06:30 AM
603,277.792,0.008,342.075,0.007,45.588,0.007,297.742,0.007,Sat 06:45 AM
604,298.024,0.008,374.928,0.007,49.966,0.007,326.337,0.007,Sat 07:00 AM
605,319.336,0.009,409.673,0.008,54.596,0.008,356.578,0.008,Sat 07:15 AM
606,341.186,0.009,445.948,0.009,59.431,0.009,388.153,0.009,Sat 07:30 AM
607,363.099,0.010,483.370,0.009,64.418,0.009,420.725,0.009,Sat 07:45 AM
608,384.669,0.010,521.751,0.010,69.533,0.010,454.131,0.010,Sat 08:00 AM
609,405.980,0.011,561.830,0.011,74.874,0.011,489.016,0.011,Sat 08:15 AM
610,427.210,0.012,602.935,0.012,80.352,0.012,524.794,0.012,Sat 08:30 AM
611,448.411,0.012,643.718,0.012,85.787,0.012,560.291,0.012,Sat 08:45 AM
612,469.737,0.013,683.145,0.013,91.041,0.013,594.608,0.013,Sat 09:00 AM
613,491.595,0.013,722.115,0.014,96.235,0.014,628.527,0.014,Sat 09:15 AM
614,513.452,0.014,760.318,0.015,101.326,0.015,661.780,0.015,Sat 09:30 AM
615,534.431,0.014,796.610,0.015,106.163,0.015,693.368,0.015,Sat 09:45 AM
616,553.840,0.015,830.041,0.016,110.618,0.016,722.466,0.016,Sat 10:00 AM
