bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
70,573.408,0.016,788.701,0.015,105.109,0.015,686.484,0.015,Sun 05:30 PM
71,551.015,0.015,757.776,0.015,100.987,0.015,659.567,0.015,Sun 05:45 PM
72,528.374,0.014,727.585,0.014,96.964,0.014,633.289,0.014,Sun 06:00 PM
73,504.104,0.014,697.175,0.013,92.911,0.013,606.820,0.013,Sun 06:15 PM
74,479.029,0.013,666.761,0.013,88.858,0.013,580.347,0.013,Sun 06:30 PM
75,455.236,0.012,637.497,0.012,84.958,0.012,554.876,0.012,Sun 06:45 PM
76,434.593,0.012,610.437,0.012,81.352,0.012,531.324,0.012,Sun 07:00 PM
77,416.894,0.011,585.613,0.011,78.043,0.011,509.716,0.011,Sun 07:15 PM
78,401.179,0.011,562.315,0.011,74.939,0.011,489.438,0.011,Sun 07:30 PM
79,386.763,0.010,539.892,0.010,71.950,0.010,469.921,0.010,Sun 07:45 PM
80,373.216,0.010,517.833,0.010,69.011,0.010,450.721,0.010,Sun 08:00 PM
81,361.304,0.010,496.739,0.010,66.199,0.010,432.361,0.010,Sun 08:15 PM
82,350.475,0.009,476.280,0.009,63.473,0.009,414.553,0.009,Sun 08:30 PM
83,339.443,0.009,455.602,0.009,60.717,0.009,396.555,0.009,Sun 08:45 PM
84,327.048,0.009,433.804,0.008,57.812,0.008,377.583,0.008,Sun 09:00 PM
85,313.363,0.008,410.428,0.008,54.697,0.008,357.236,0.008,Sun 09:15 PM
86,299.051,0.008,386.546,0.007,51.514,0.007,336.449,0.007,Sun 09:30 PM
87,284.650,0.008,363.587,0.007,48.455,0.007,316.465,0.007,Sun 09:45 PM
88,270.582,0.007,342.820,0.007,45.687,0.007,298.390,0.007,Sun 10:00 PM
89,256.558,0.007,324.081,0.006,43.190,0.006,282.079,0.006,Sun 10:15 PM
90,242.619,0.007,306.748,0.006,40.880,0.006,266.993,0.006,Sun 10:30 PM
91,229.112,0.006,290.431,0.006,38.705,0.006,252.790,0.006,Sun 10:45 PM
92,216.137,0.006,274.598,0.005,36.595,0.005,239.010,0.005,Sun 11:00 PM
93,202.774,0.005,258.453,0.005,34.444,0.005,224.957,0.005,Sun 11:15 PM
94,189.950,0.005,243.204,0.005,32.411,0.005,211.684,0.005,Sun 11:30 PM
95,179.431,0.005,230.758,0.004,30.753,0.004,200.851,0.004,Sun 11:45 PM
96,80.580,0.002,92.088,0.002,11.998,0.002,78.362,0.002,Mon 12:00 AM
97,74.600,0.002,84.524,0.002,10.910,0.002,71.257,0.002,Mon 12:15 AM
98,66.944,0.002,74.901,0.001,9.529,0.001,62.237,0.001,Mon 12:30 AM
99,59.394,0.002,65.753,0.001,8.235,0.001,53.785,0.001,Mon 12:45 AM
100,53.459,0.001,59.235,0.001,7.360,0.001,48.071,0.001,Mon 01:00 AM
101,48.525,0.001,54.719,0.001,6.835,0.001,44.643,0.001,Mon 01:15 AM
102,44.296,0.001,51.515,0.001,6.524,0.001,42.607,0.001,Mon 01:30 AM
103,41.104,0.001,49.623,0.001,6.365,0.001,41.573,0.001,Mon 01:45 AM
104,39.132,0.001,48.878,0.001,6.295,0.001,41.111,0.001,Mon 02:00 AM
105,37.777,0.001,48.508,0.001,6.262,0.001,40.898,0.001,Mon 02:15 AM
106,37.570,0.001,49.462,0.001,6.364,0.001,41.564,0.001,Mon 02:30 AM
107,39.579,0.001,53.322,0.001,6.734,0.001,43.981,0.001,Mon 02:45 AM
108,44.480,0.001,60.975,0.001,7.434,0.001,48.552,0.001,Mon 03:00 AM
109,50.999,0.001,69.822,0.001,8.191,0.001,53.499,0.001,Mon 03:15 AM
110,60.089,0.002,82.117,0.002,9.262,0.001,60.492,0.001,Mon 03:30 AM
111,73.858,0.002,102.451,0.002,11.151,0.002,72.830,0.002,Mon 03:45 AM
112,93.928,0.003,134.965,0.003,14.256,0.002,93.109,0.002,Mon 04:00 AM
113,118.811,0.003,179.446,0.003,18.281,0.003,119.396,0.003,Mon 04:15 AM
114,149.086,0.004,233.498,0.004,23.294,0.003,152.140,0.003,Mon 04:30 AM
115,186.741,0.005,295.140,0.006,29.644,0.004,193.609,0.004,Mon 04:45 AM
116,234.837,0.006,364.092,0.007,37.829,0.005,247.068,0.005,Mon 05:00 AM
117,298.977,0.008,447.272,0.009,48.657,0.007,317.785,0.007,Mon 05:15 AM
118,371.158,0.010,537.386,0.010,60.937,0.009,397.993,0.009,Mon 05:30 AM
119,438.527,0.012,620.925,0.012,72.786,0.010,475.376,0.010,Mon 05:45 AM
120,490.202,0.013,686.568,0.013,82.687,0.012,540.044,0.012,Mon 06:00 AM
121,530.165,0.014,738.948,0.014,91.585,0.013,598.159,0.013,Mon 06:15 AM
122,561.017,0.015,780.246,0.015,99.422,0.014,649.346,0.014,Mon 06:30 AM
123,581.246,0.016,807.910,0.016,105.213,0.015,687.164,0.015,Mon 06:45 AM
124,588.618,0.016,818.517,0.016,107.925,0.016,704.876,0.016,Mon 07:00 AM
125,579.403,0.016,807.222,0.015,106.949,0.015,698.505,0.015,Mon 07:15 AM
126,559.055,0.015,781.423,0.015,103.599,0.015,676.626,0.015,Mon 07:30 AM
127,536.245,0.015,752.707,0.014,99.681,0.014,651.037,0.014,Mon 07:45 AM
128,518.169,0.014,730.586,0.014,96.665,0.014,631.334,0.014,Mon 08:00 AM
129,501.393,0.014,710.221,0.014,93.739,0.014,612.225,0.014,Mon 08:15 AM
130,485.053,0.013,690.788,0.013,90.846,0.013,593.330,0.013,Mon 08:30 AM
131,471.746,0.013,676.331,0.013,88.732,0.013,579.522,0.013,Mon 08:45 AM
132,463.849,0.013,670.684,0.013,88.098,0.013,575.386,0.013,Mon 09:00 AM
133,461.471,0.012,674.518,0.013,89.045,0.013,581.567,0.013,Mon 09:15 AM
134,462.978,0.013,684.682,0.013,91.017,0.013,594.450,0.013,Mon 09:30 AM
135,466.786,0.013,697.540,0.013,93.417,0.013,610.121,0.013,Mon 09:45 AM
136,471.735,0.013,710.231,0.014,95.769,0.014,625.485,0.014,Mon 10:00 AM
137,479.173,0.013,724.657,0.014,98.410,0.014,642.734,0.014,Mon 10:15 AM
138,488.381,0.013,740.578,0.014,101.278,0.015,661.467,0.015,Mon 10:30 AM
139,497.367,0.013,755.895,0.015,103.983,0.015,679.129,0.015,Mon 10:45 AM
140,504.326,0.014,768.769,0.015,106.195,0.015,693.581,0.015,Mon 11:00 AM
141,509.323,0.014,779.574,0.015,108.032,0.016,705.575,0.016,Mon 11:15 AM
142,513.441,0.014,789.066,0.015,109.577,0.016,715.664,0.016,Mon 11:30 AM
143,517.596,0.014,797.579,0.015,110.788,0.016,723.577,0.016,Mon 11:45 AM
144,522.394,0.014,805.164,0.015,111.571,0.016,728.688,0.016,Mon 12:00 PM
145,526.682,0.014,810.687,0.016,111.657,0.016,729.250,0.016,Mon 12:15 PM
146,531.325,0.014,815.339,0.016,111.397,0.016,727.554,0.016,Mon 12:30 PM
147,538.243,0.015,821.315,0.016,111.374,0.016,727.404,0.016,Mon 12:45 PM
148,549.338,0.015,830.645,0.016,112.104,0.016,732.175,0.016,Mon 01:00 PM
149,565.253,0.015,843.441,0.016,113.501,0.016,741.294,0.016,Mon 01:15 PM
150,584.090,0.016,858.294,0.016,115.329,0.017,753.238,0.017,Mon 01:30 PM
151,603.451,0.016,873.798,0.017,117.461,0.017,767.159,0.017,Mon 01:45 PM
152,621.486,0.017,889.026,0.017,119.824,0.017,782.590,0.017,Mon 02:00 PM
153,639.646,0.017,905.588,0.017,122.627,0.018,800.901,0.018,Mon 02:15 PM
154,657.541,0.018,922.327,0.018,125.691,0.018,820.908,0.018,Mon 02:30 PM
155,673.386,0.018,936.633,0.018,128.639,0.019,840.166,0.019,Mon 02:45 PM
156,685.785,0.019,946.397,0.018,131.232,0.019,857.103,0.019,Mon 03:00 PM
157,695.901,0.019,952.904,0.018,133.935,0.019,874.752,0.019,Mon 03:15 PM
158,703.355,0.019,956.102,0.018,136.395,0.020,890.822,0.020,Mon 03:30 PM
159,706.701,0.019,954.680,0.018,137.843,0.020,900.277,0.020,Mon 03:45 PM
160,704.703,0.019,947.548,0.018,137.591,0.020,898.631,0.020,Mon 04:00 PM
161,697.789,0.019,935.201,0.018,135.729,0.020,886.469,0.020,Mon 04:15 PM
162,686.276,0.019,917.784,0.018,132.596,0.019,866.009,0.019,Mon 04:30 PM
163,670.032,0.018,894.992,0.017,128.411,0.018,838.679,0.018,Mon 04:45 PM
164,648.603,0.018,865.942,0.017,123.249,0.018,804.964,0.018,Mon 05:00 PM
165,620.437,0.017,828.087,0.016,116.537,0.017,761.124,0.017,Mon 05:15 PM
166,587.502,0.016,784.742,0.015,108.845,0.016,710.889,0.016,Mon 05:30 PM
167,553.102,0.015,741.464,0.014,101.263,0.015,661.367,0.015,Mon 05:45 PM
168,519.742,0.014,703.052,0.013,94.723,0.014,618.651,0.014,Mon 06:00 PM
169,485.005,0.013,668.110,0.013,88.941,0.013,580.891,0.013,Mon 06:15 PM
170,449.914,0.012,635.095,0.012,83.631,0.012,546.211,0.012,Mon 06:30 PM
171,417.785,0.011,603.977,0.012,78.809,0.011,514.718,0.011,Mon 06:45 PM
172,391.631,0.011,574.792,0.011,74.523,0.011,486.721,0.011,Mon 07:00 PM
173,371.365,0.010,547.925,0.011,70.921,0.010,463.196,0.010,Mon 07:15 PM
174,355.162,0.010,522.934,0.010,67.813,0.010,442.899,0.010,Mon 07:30 PM
175,341.441,0.009,499.026,0.010,64.873,0.009,423.695,0.009,Mon 07:45 PM
176,329.090,0.009,475.660,0.009,61.839,0.009,403.883,0.009,Mon 08:00 PM
177,319.716,0.009,453.768,0.009,58.871,0.008,384.498,0.008,Mon 08:15 PM
178,312.281,0.008,432.684,0.008,55.962,0.008,365.498,0.008,Mon 08:30 PM
179,304.274,0.008,410.913,0.008,52.954,0.008,345.849,0.008,Mon 08:45 PM
180,293.544,0.008,387.083,0.007,49.690,0.007,324.537,0.007,Mon 09:00 PM
181,280.747,0.008,361.107,0.007,46.138,0.007,301.338,0.007,Mon 09:15 PM
182,266.538,0.007,333.953,0.006,42.432,0.006,277.132,0.006,Mon 09:30 PM
183,250.844,0.007,306.545,0.006,38.734,0.006,252.976,0.006,Mon 09:45 PM
184,233.467,0.006,279.610,0.005,35.168,0.005,229.687,0.005,Mon 10:00 PM
185,213.740,0.006,252.545,0.005,31.650,0.005,206.714,0.005,Mon 10:15 PM
186,192.506,0.005,225.532,0.004,28.193,0.004,184.137,0.004,Mon 10:30 PM
187,171.206,0.005,199.348,0.004,24.891,0.004,162.570,0.004,Mon 10:45 PM
188,150.715,0.004,174.283,0.003,21.787,0.003,142.296,0.003,Mon 11:00 PM
189,129.145,0.003,148.552,0.003,18.690,0.003,122.067,0.003,Mon 11:15 PM
190,107.971,0.003,123.889,0.002,15.777,0.002,103.044,0.002,Mon 11:30 PM
191,90.442,0.002,103.659,0.002,13.407,0.002,87.563,0.002,Mon 11:45 PM
192,80.580,0.002,92.088,0.002,11.998,0.002,78.362,0.002,Tue 12:00 AM
193,74.600,0.002,84.524,0.002,10.910,0.002,71.257,0.002,Tue 12:15 AM
194,66.944,0.002,74.901,0.001,9.529,0.001,62.237,0.001,Tue 12:30 AM
