day,"sum(""120P04340"")","sum(""120N05397"")","sum(""120+14882"")","sum(""120-07060"")"
Sun,29547.615999999998,41678.38700000001,5554.400000000001,36276.78899999998
Mon,38781.204,54702.89899999999,7290.151999999999,47613.32
Tue,38781.204,54702.89899999999,7290.151999999999,47613.32
Wed,38781.204,54702.89899999999,7290.151999999999,47613.32
Thu,38781.204,54702.89899999999,7290.151999999999,47613.32
Fri,40627.930999999975,57307.79900000003,7637.300999999998,49880.624
Sat,33241.065,46888.190000000024,6248.696999999998,40811.386000000006
