bin,cattlab_pct,avail_pct
229,0.0118588312,0.013119
230,0.011967131,0.013162
231,0.0120754308,0.01327
232,0.0122920305,0.013411
233,0.0125086301,0.013622
234,0.0128064547,0.013884
235,0.0131313542,0.01414
236,0.0134291787,0.014337
237,0.0136457783,0.014479
238,0.013862378,0.014596
239,0.0140789776,0.014715
240,0.0142685023,0.014851
241,0.0142685023,0.014973
242,0.0143768022,0.015105
243,0.014485102,0.015302
244,0.0145934018,0.015617
245,0.015107826,0.016069
246,0.0155410253,0.016605
247,0.0159471497,0.017155
248,0.0164886488,0.017668
249,0.0175445721,0.018184
250,0.0186817203,0.018693
251,0.0199542433,0.019143
252,0.0213079912,0.019496
253,0.0222556147,0.019784
254,0.023311538,0.019995
255,0.0243674613,0.020091
256,0.0255046095,0.020034
257,0.0255046095,0.019837
258,0.0255046095,0.01951
259,0.0256129093,0.019048
260,0.0257212092,0.018439
261,0.0232032382,0.017638
262,0.0209018668,0.016702
263,0.01889832,0.015724
264,0.0171113728,0.014776
265,0.0155410253,0.013788
266,0.0141872775,0.01279
267,0.0129147545,0.011877
268,0.0117505313,0.011134
269,0.0110195075,0.010557
270,0.0105050833,0.010097
271,0.0098823593,0.009707
272,0.0093408602,0.009356
273,0.0091242605,0.009089
274,0.0089347358,0.008878
275,0.0087181362,0.00865
276,0.0086098363,0.008345
277,0.0080954121,0.007981
278,0.0076622128,0.007577
279,0.0072560885,0.007131
280,0.0068228892,0.006637
281,0.0064167648,0.006076
282,0.0058752657,0.005473
283,0.0055774411,0.004867
284,0.0051442418,0.004285
285,0.0045215178,0.003671
286,0.0039800187,0.003069
287,0.0034655945,0.002571
288,0.0030323952,0.002291
289,0.0026262708,0.002121
290,0.0023013713,0.001903
291,0.0020035468,0.001689
292,0.0017869472,0.00152
293,0.0015703475,0.001379
294,0.0014620477,0.001259
295,0.0013537479,0.001169
296,0.0013537479,0.001112
297,0.001272523,0.001074
298,0.001272523,0.001068
299,0.0011642232,0.001125
300,0.0011642232,0.001265
301,0.001272523,0.00145
302,0.0013537479,0.001708
